NoteOctave,Note,Instrument,Position
E-4,E-,Trumpet,0
D4,D,Trumpet,1
E-4,E-,Trumpet,2
F4,F,Trumpet,3
G4,G,Trumpet,4
F4,F,Trumpet,5
G4,G,Trumpet,6
G#4,G#,Trumpet,7
B-4,B-,Trumpet,8
G#4,G#,Trumpet,9
G4,G,Trumpet,10
F4,F,Trumpet,11
E-4,E-,Trumpet,12
B-3,B-,Trumpet,13
B-3,B-,Trumpet,14
C4,C,Trumpet,15
B-3,B-,Trumpet,16
E-4,E-,Trumpet,17
E-4,E-,Trumpet,18
E-4,E-,Trumpet,19
E-4,E-,Trumpet,20
E-4,E-,Trumpet,21
G4,G,Trumpet,22
G#4,G#,Trumpet,23
B-4,B-,Trumpet,24
G#4,G#,Trumpet,25
C5,C,Trumpet,26
B-4,B-,Trumpet,27
E-4,E-,Trumpet,28
E-4,E-,Trumpet,29
G4,G,Trumpet,30
G#4,G#,Trumpet,31
B-4,B-,Trumpet,32
G#4,G#,Trumpet,33
C5,C,Trumpet,34
B-4,B-,Trumpet,35
B-4,B-,Trumpet,36
G#4,G#,Trumpet,37
G4,G,Trumpet,38
F4,F,Trumpet,39
G4,G,Trumpet,40
F4,F,Trumpet,41
F4,F,Trumpet,42
E-4,E-,Trumpet,43
B-4,B-,Trumpet,44
A4,A,Trumpet,45
B-4,B-,Trumpet,46
C5,C,Trumpet,47
B-4,B-,Trumpet,48
G4,G,Trumpet,49
G#4,G#,Trumpet,50
G#4,G#,Trumpet,51
G4,G,Trumpet,52
G#4,G#,Trumpet,53
C5,C,Trumpet,54
B-4,B-,Trumpet,55
G#4,G#,Trumpet,56
G4,G,Trumpet,57
B-4,B-,Trumpet,58
A4,A,Trumpet,59
B-4,B-,Trumpet,60
C5,C,Trumpet,61
B-4,B-,Trumpet,62
G4,G,Trumpet,63
G#4,G#,Trumpet,64
G#4,G#,Trumpet,65
G4,G,Trumpet,66
G#4,G#,Trumpet,67
C5,C,Trumpet,68
B-4,B-,Trumpet,69
G#4,G#,Trumpet,70
G4,G,Trumpet,71
G4,G,Trumpet,72
G#4,G#,Trumpet,73
B-4,B-,Trumpet,74
C5,C,Trumpet,75
D5,D,Trumpet,76
C5,C,Trumpet,77
B-4,B-,Trumpet,78
B-4,B-,Trumpet,79
G#4,G#,Trumpet,80
G4,G,Trumpet,81
F4,F,Trumpet,82
G4,G,Trumpet,83
F4,F,Trumpet,84
E-4,E-,Trumpet,85
B-3,B-,Horn,0
B-3,B-,Horn,1
C4,C,Horn,2
D4,D,Horn,3
