NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
B3,B,Trumpet,1
D4,D,Trumpet,2
G4,G,Trumpet,3
G4,G,Trumpet,4
G4,G,Trumpet,5
A4,A,Trumpet,6
A4,A,Trumpet,7
B4,B,Trumpet,8
A4,A,Trumpet,9
G4,G,Trumpet,10
B4,B,Trumpet,11
B4,B,Trumpet,12
D5,D,Trumpet,13
C5,C,Trumpet,14
B4,B,Trumpet,15
G4,G,Trumpet,16
A4,A,Trumpet,17
D4,D,Trumpet,18
B3,B,Trumpet,19
D4,D,Trumpet,20
G4,G,Trumpet,21
G4,G,Trumpet,22
A4,A,Trumpet,23
A4,A,Trumpet,24
B4,B,Trumpet,25
A4,A,Trumpet,26
G4,G,Trumpet,27
B4,B,Trumpet,28
D5,D,Trumpet,29
C5,C,Trumpet,30
B4,B,Trumpet,31
A4,A,Trumpet,32
A4,A,Trumpet,33
G4,G,Trumpet,34
G4,G,Trumpet,35
G4,G,Trumpet,36
E4,E,Trumpet,37
G4,G,Trumpet,38
C5,C,Trumpet,39
C5,C,Trumpet,40
C5,C,Trumpet,41
B4,B,Trumpet,42
B4,B,Trumpet,43
A4,A,Trumpet,44
B4,B,Trumpet,45
A4,A,Trumpet,46
A4,A,Trumpet,47
A4,A,Trumpet,48
B4,B,Trumpet,49
G4,G,Trumpet,50
E4,E,Trumpet,51
A4,A,Trumpet,52
F#4,F#,Trumpet,53
E4,E,Trumpet,54
D4,D,Trumpet,55
G4,G,Trumpet,56
E4,E,Trumpet,57
G4,G,Trumpet,58
C5,C,Trumpet,59
C5,C,Trumpet,60
B4,B,Trumpet,61
B4,B,Trumpet,62
B4,B,Trumpet,63
A4,A,Trumpet,64
B4,B,Trumpet,65
A4,A,Trumpet,66
A4,A,Trumpet,67
A4,A,Trumpet,68
B4,B,Trumpet,69
A4,A,Trumpet,70
B4,B,Trumpet,71
A4,A,Trumpet,72
D4,D,Trumpet,73
D4,D,Trumpet,74
B3,B,Trumpet,75
D4,D,Trumpet,76
G4,G,Trumpet,77
G4,G,Trumpet,78
A4,A,Trumpet,79
A4,A,Trumpet,80
A4,A,Trumpet,81
A4,A,Trumpet,82
B4,B,Trumpet,83
A4,A,Trumpet,84
G4,G,Trumpet,85
B4,B,Trumpet,86
G4,G,Trumpet,87
B4,B,Trumpet,88
D5,D,Trumpet,89
C5,C,Trumpet,90
B4,B,Trumpet,91
G4,G,Trumpet,92
G4,G,Trumpet,93
A4,A,Trumpet,94
D4,D,Trumpet,95
B3,B,Trumpet,96
D4,D,Trumpet,97
G4,G,Trumpet,98
G4,G,Trumpet,99
G4,G,Trumpet,100
A4,A,Trumpet,101
A4,A,Trumpet,102
A4,A,Trumpet,103
B4,B,Trumpet,104
B4,B,Trumpet,105
B4,B,Trumpet,106
E5,E,Trumpet,107
D5,D,Trumpet,108
C5,C,Trumpet,109
B4,B,Trumpet,110
A4,A,Trumpet,111
G4,G,Trumpet,112
A4,A,Trumpet,113
B4,B,Trumpet,114
B4,B,Trumpet,115
A4,A,Trumpet,116
A4,A,Trumpet,117
G4,G,Trumpet,118
D4,D,Horn,0
B3,B,Horn,1
D4,D,Horn,2
F#4,F#,Horn,3
D4,D,Horn,4
G4,G,Horn,5
D4,D,Horn,6
F#4,F#,Horn,7
D4,D,Horn,8
D4,D,Horn,9
B3,B,Horn,10
D4,D,Horn,11
D4,D,Horn,12
G4,G,Horn,13
C4,C,Horn,14
D4,D,Horn,15
B3,B,Horn,16
D4,D,Horn,17
G4,G,Horn,18
F#4,F#,Horn,19
E4,E,Horn,20
F#4,F#,Horn,21
D4,D,Horn,22
B3,B,Horn,23
D4,D,Horn,24
F#4,F#,Horn,25
D4,D,Horn,26
G4,G,Horn,27
D4,D,Horn,28
F#4,F#,Horn,29
C4,C,Horn,30
D4,D,Horn,31
B3,B,Horn,32
D4,D,Horn,33
G4,G,Horn,34
D4,D,Horn,35
C4,C,Horn,36
D4,D,Horn,37
G4,G,Horn,38
E4,E,Horn,39
G4,G,Horn,40
G4,G,Horn,41
D4,D,Horn,42
F#4,F#,Horn,43
D4,D,Horn,44
G4,G,Horn,45
F#4,F#,Horn,46
F#4,F#,Horn,47
F#4,F#,Horn,48
G4,G,Horn,49
E4,E,Horn,50
C#4,C#,Horn,51
C#4,C#,Horn,52
D4,D,Horn,53
C#4,C#,Horn,54
D4,D,Horn,55
G4,G,Horn,56
E4,E,Horn,57
G4,G,Horn,58
E4,E,Horn,59
G4,G,Horn,60
D4,D,Horn,61
F#4,F#,Horn,62
G4,G,Horn,63
F#4,F#,Horn,64
F#4,F#,Horn,65
F#4,F#,Horn,66
G4,G,Horn,67
E4,E,Horn,68
C#4,C#,Horn,69
E4,E,Horn,70
D4,D,Horn,71
D4,D,Horn,72
B3,B,Horn,73
D4,D,Horn,74
G4,G,Horn,75
D4,D,Horn,76
F#4,F#,Horn,77
D4,D,Horn,78
G4,G,Horn,79
D4,D,Horn,80
C4,C,Horn,81
G4,G,Horn,82
B3,B,Horn,83
G4,G,Horn,84
D4,D,Horn,85
F#4,F#,Horn,86
E4,E,Horn,87
F#4,F#,Horn,88
D4,D,Horn,89
B3,B,Horn,90
D4,D,Horn,91
E-4,E-,Horn,92
F#4,F#,Horn,93
G#4,G#,Horn,94
E4,E,Horn,95
B4,B,Horn,96
E4,E,Horn,97
E4,E,Horn,98
A4,A,Horn,99
G#4,G#,Horn,100
D4,D,Horn,101
G4,G,Horn,102
D3,D,Bass Trombone,0
G3,G,Bass Trombone,1
F#3,F#,Bass Trombone,2
E3,E,Bass Trombone,3
D3,D,Bass Trombone,4
C3,C,Bass Trombone,5
B2,B,Bass Trombone,6
C3,C,Bass Trombone,7
D3,D,Bass Trombone,8
G2,G,Bass Trombone,9
F3,F,Bass Trombone,10
E3,E,Bass Trombone,11
E-3,E-,Bass Trombone,12
D3,D,Bass Trombone,13
E3,E,Bass Trombone,14
D3,D,Bass Trombone,15
D3,D,Bass Trombone,16
G3,G,Bass Trombone,17
F#3,F#,Bass Trombone,18
E3,E,Bass Trombone,19
D3,D,Bass Trombone,20
C3,C,Bass Trombone,21
B2,B,Bass Trombone,22
C3,C,Bass Trombone,23
D3,D,Bass Trombone,24
G3,G,Bass Trombone,25
F3,F,Bass Trombone,26
E3,E,Bass Trombone,27
E3,E,Bass Trombone,28
D3,D,Bass Trombone,29
D3,D,Bass Trombone,30
D3,D,Bass Trombone,31
G3,G,Bass Trombone,32
G3,G,Bass Trombone,33
E3,E,Bass Trombone,34
G3,G,Bass Trombone,35
C3,C,Bass Trombone,36
C3,C,Bass Trombone,37
E3,E,Bass Trombone,38
G3,G,Bass Trombone,39
G3,G,Bass Trombone,40
A3,A,Bass Trombone,41
G3,G,Bass Trombone,42
A3,A,Bass Trombone,43
F#3,F#,Bass Trombone,44
E3,E,Bass Trombone,45
F#3,F#,Bass Trombone,46
G3,G,Bass Trombone,47
A3,A,Bass Trombone,48
B-3,B-,Bass Trombone,49
A3,A,Bass Trombone,50
A3,A,Bass Trombone,51
G3,G,Bass Trombone,52
E3,E,Bass Trombone,53
G3,G,Bass Trombone,54
C4,C,Bass Trombone,55
E3,E,Bass Trombone,56
G3,G,Bass Trombone,57
G3,G,Bass Trombone,58
G3,G,Bass Trombone,59
A3,A,Bass Trombone,60
G3,G,Bass Trombone,61
A3,A,Bass Trombone,62
D3,D,Bass Trombone,63
