NoteOctave,Note,Instrument,Position
A4,A,Trumpet,0
G4,G,Trumpet,1
F#4,F#,Trumpet,2
D4,D,Trumpet,3
A4,A,Trumpet,4
G4,G,Trumpet,5
F#4,F#,Trumpet,6
D4,D,Trumpet,7
B4,B,Trumpet,8
C#5,C#,Trumpet,9
D5,D,Trumpet,10
E5,E,Trumpet,11
D5,D,Trumpet,12
C#5,C#,Trumpet,13
B4,B,Trumpet,14
A4,A,Trumpet,15
B4,B,Trumpet,16
C#5,C#,Trumpet,17
D5,D,Trumpet,18
E5,E,Trumpet,19
A4,A,Trumpet,20
G4,G,Trumpet,21
F#4,F#,Trumpet,22
D4,D,Trumpet,23
E4,E,Trumpet,24
F#4,F#,Trumpet,25
G4,G,Trumpet,26
A4,A,Trumpet,27
G4,G,Trumpet,28
F#4,F#,Trumpet,29
G4,G,Trumpet,30
A4,A,Trumpet,31
B4,B,Trumpet,32
C#5,C#,Trumpet,33
D5,D,Trumpet,34
E5,E,Trumpet,35
A4,A,Trumpet,36
G4,G,Trumpet,37
F#4,F#,Trumpet,38
D4,D,Trumpet,39
E4,E,Trumpet,40
F#4,F#,Trumpet,41
G4,G,Trumpet,42
A4,A,Trumpet,43
G4,G,Trumpet,44
F#4,F#,Trumpet,45
E4,E,Trumpet,46
D4,D,Trumpet,47
A3,A,Horn,0
D4,D,Horn,1
F#3,F#,Horn,2
A3,A,Horn,3
A3,A,Horn,4
D4,D,Horn,5
D4,D,Horn,6
G4,G,Horn,7
B4,B,Horn,8
G4,G,Horn,9
G4,G,Horn,10
D4,D,Horn,11
D4,D,Horn,12
A3,A,Horn,13
G4,G,Horn,14
D4,D,Horn,15
D4,D,Horn,16
E4,E,Horn,17
D4,D,Horn,18
A3,A,Horn,19
B3,B,Horn,20
D4,D,Horn,21
A3,A,Horn,22
D4,D,Horn,23
D4,D,Horn,24
B3,B,Horn,25
A3,A,Horn,26
E4,E,Horn,27
A3,A,Horn,28
D4,D,Horn,29
D4,D,Horn,30
G4,G,Horn,31
D4,D,Horn,32
E4,E,Horn,33
B4,B,Horn,34
G4,G,Horn,35
D4,D,Horn,36
A3,A,Horn,37
B3,B,Horn,38
D4,D,Horn,39
F#3,F#,Horn,40
B3,B,Horn,41
D4,D,Horn,42
A3,A,Horn,43
B3,B,Horn,44
F#3,F#,Bass Trombone,0
F#3,F#,Bass Trombone,1
F#3,F#,Bass Trombone,2
F#3,F#,Bass Trombone,3
G3,G,Bass Trombone,4
G3,G,Bass Trombone,5
G3,G,Bass Trombone,6
F#3,F#,Bass Trombone,7
G3,G,Bass Trombone,8
G2,G,Bass Trombone,9
A2,A,Bass Trombone,10
