NoteOctave,Note,Instrument,Position
B-4,B-,Trumpet,0
G#4,G#,Trumpet,1
G4,G,Trumpet,2
G#4,G#,Trumpet,3
B-4,B-,Trumpet,4
C5,C,Trumpet,5
B-4,B-,Trumpet,6
B-4,B-,Trumpet,7
G#4,G#,Trumpet,8
G#4,G#,Trumpet,9
G4,G,Trumpet,10
F4,F,Trumpet,11
G4,G,Trumpet,12
G#4,G#,Trumpet,13
B-4,B-,Trumpet,14
G#4,G#,Trumpet,15
G#4,G#,Trumpet,16
G4,G,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
B-4,B-,Trumpet,20
C5,C,Trumpet,21
D5,D,Trumpet,22
E-5,E-,Trumpet,23
C5,C,Trumpet,24
A4,A,Trumpet,25
B-4,B-,Trumpet,26
F4,F,Trumpet,27
G4,G,Trumpet,28
B-4,B-,Trumpet,29
G#4,G#,Trumpet,30
F4,F,Trumpet,31
G4,G,Trumpet,32
C5,C,Trumpet,33
G#4,G#,Trumpet,34
G4,G,Trumpet,35
F4,F,Trumpet,36
F4,F,Trumpet,37
G4,G,Trumpet,38
B-4,B-,Trumpet,39
G#4,G#,Trumpet,40
F4,F,Trumpet,41
G4,G,Trumpet,42
C5,C,Trumpet,43
G#4,G#,Trumpet,44
G4,G,Trumpet,45
F4,F,Trumpet,46
G#4,G#,Trumpet,47
G4,G,Trumpet,48
C5,C,Trumpet,49
B-4,B-,Trumpet,50
B-4,B-,Trumpet,51
G#4,G#,Trumpet,52
G4,G,Trumpet,53
F4,F,Trumpet,54
G4,G,Trumpet,55
C5,C,Trumpet,56
B-4,B-,Trumpet,57
D5,D,Trumpet,58
E-5,E-,Trumpet,59
B-4,B-,Trumpet,60
B-4,B-,Trumpet,61
G#4,G#,Trumpet,62
G4,G,Trumpet,63
F4,F,Trumpet,64
E-4,E-,Trumpet,65
E-2,E-,Tuba,0
G2,G,Tuba,1
B-2,B-,Tuba,2
E-3,E-,Tuba,3
E-2,E-,Tuba,4
G#2,G#,Tuba,5
B-2,B-,Tuba,6
C3,C,Tuba,7
F2,F,Tuba,8
F2,F,Tuba,9
B-2,B-,Tuba,10
B-2,B-,Tuba,11
B-2,B-,Tuba,12
B-2,B-,Tuba,13
B-2,B-,Tuba,14
B-2,B-,Tuba,15
E-2,E-,Tuba,16
E-2,E-,Tuba,17
F2,F,Tuba,18
B-2,B-,Tuba,19
F3,F,Tuba,20
B-2,B-,Tuba,21
E-3,E-,Tuba,22
F3,F,Tuba,23
B-2,B-,Tuba,24
B-2,B-,Tuba,25
B-2,B-,Tuba,26
B-3,B-,Tuba,27
B-2,B-,Tuba,28
E-2,E-,Tuba,29
G#2,G#,Tuba,30
B-2,B-,Tuba,31
B-2,B-,Tuba,32
B-2,B-,Tuba,33
G#2,G#,Tuba,34
G2,G,Tuba,35
F2,F,Tuba,36
B-2,B-,Tuba,37
E-3,E-,Tuba,38
C3,C,Tuba,39
G#2,G#,Tuba,40
B-2,B-,Tuba,41
B-2,B-,Tuba,42
B-2,B-,Tuba,43
E-3,E-,Tuba,44
D3,D,Tuba,45
E-3,E-,Tuba,46
G#2,G#,Tuba,47
B-2,B-,Tuba,48
B-2,B-,Tuba,49
E-3,E-,Tuba,50
G#2,G#,Tuba,51
B-2,B-,Tuba,52
C3,C,Tuba,53
D3,D,Tuba,54
E-3,E-,Tuba,55
B-2,B-,Tuba,56
B2,B,Tuba,57
C3,C,Tuba,58
G2,G,Tuba,59
G#2,G#,Tuba,60
B-2,B-,Tuba,61
B-2,B-,Tuba,62
E-2,E-,Tuba,63
E-4,E-,Horn,0
D4,D,Horn,1
E-4,E-,Horn,2
G#3,G#,Horn,3
B-3,B-,Horn,4
C4,C,Horn,5
D4,D,Horn,6
E4,E,Horn,7
E4,E,Horn,8
F4,F,Horn,9
F4,F,Horn,10
D4,D,Horn,11
B-3,B-,Horn,12
B-3,B-,Horn,13
D4,D,Horn,14
G3,G,Horn,15
G#3,G#,Horn,16
B-3,B-,Horn,17
C4,C,Horn,18
D4,D,Horn,19
D4,D,Horn,20
E-4,E-,Horn,21
E-4,E-,Horn,22
C4,C,Horn,23
D4,D,Horn,24
F4,F,Horn,25
F4,F,Horn,26
G4,G,Horn,27
F4,F,Horn,28
F4,F,Horn,29
D4,D,Horn,30
E-4,E-,Horn,31
D4,D,Horn,32
E-4,E-,Horn,33
B-3,B-,Horn,34
C4,C,Horn,35
B-3,B-,Horn,36
B-3,B-,Horn,37
B-3,B-,Horn,38
B-3,B-,Horn,39
C4,C,Horn,40
E-4,E-,Horn,41
E-4,E-,Horn,42
C4,C,Horn,43
B-3,B-,Horn,44
B-3,B-,Horn,45
D4,D,Horn,46
E-4,E-,Horn,47
F4,F,Horn,48
E-4,E-,Horn,49
C4,C,Horn,50
B-3,B-,Horn,51
B-3,B-,Horn,52
B-3,B-,Horn,53
E-4,E-,Horn,54
F4,F,Horn,55
G4,G,Horn,56
F4,F,Horn,57
E-4,E-,Horn,58
C4,C,Horn,59
B-3,B-,Horn,60
G#3,G#,Horn,61
B-3,B-,Horn,62
G4,G,Trumpet,0
F4,F,Trumpet,1
E-4,E-,Trumpet,2
F4,F,Trumpet,3
G4,G,Trumpet,4
G#4,G#,Trumpet,5
G4,G,Trumpet,6
G4,G,Trumpet,7
F4,F,Trumpet,8
F4,F,Trumpet,9
E-4,E-,Trumpet,10
D4,D,Trumpet,11
E-4,E-,Trumpet,12
F4,F,Trumpet,13
G4,G,Trumpet,14
F4,F,Trumpet,15
F4,F,Trumpet,16
E-4,E-,Trumpet,17
E-4,E-,Trumpet,18
E-4,E-,Trumpet,19
F4,F,Trumpet,20
A4,A,Trumpet,21
B-4,B-,Trumpet,22
G4,G,Trumpet,23
F4,F,Trumpet,24
F4,F,Trumpet,25
D4,D,Trumpet,26
E-4,E-,Trumpet,27
G4,G,Trumpet,28
F4,F,Trumpet,29
D4,D,Trumpet,30
E-4,E-,Trumpet,31
G#4,G#,Trumpet,32
F4,F,Trumpet,33
E-4,E-,Trumpet,34
D4,D,Trumpet,35
D4,D,Trumpet,36
E-4,E-,Trumpet,37
G4,G,Trumpet,38
F4,F,Trumpet,39
D4,D,Trumpet,40
E-4,E-,Trumpet,41
F4,F,Trumpet,42
G#4,G#,Trumpet,43
F4,F,Trumpet,44
E-4,E-,Trumpet,45
D4,D,Trumpet,46
F4,F,Trumpet,47
E-4,E-,Trumpet,48
G#4,G#,Trumpet,49
G#4,G#,Trumpet,50
G4,G,Trumpet,51
G4,G,Trumpet,52
F4,F,Trumpet,53
E-4,E-,Trumpet,54
D4,D,Trumpet,55
E-4,E-,Trumpet,56
G#4,G#,Trumpet,57
G4,G,Trumpet,58
G#4,G#,Trumpet,59
G4,G,Trumpet,60
G4,G,Trumpet,61
F4,F,Trumpet,62
E-4,E-,Trumpet,63
D4,D,Trumpet,64
E-4,E-,Trumpet,65
E-3,E-,Bass Trombone,0
G3,G,Bass Trombone,1
B-3,B-,Bass Trombone,2
E-3,E-,Bass Trombone,3
F3,F,Bass Trombone,4
G3,G,Bass Trombone,5
G#3,G#,Bass Trombone,6
B-3,B-,Bass Trombone,7
C4,C,Bass Trombone,8
E3,E,Bass Trombone,9
F3,F,Bass Trombone,10
F3,F,Bass Trombone,11
B-2,B-,Bass Trombone,12
D3,D,Bass Trombone,13
E-3,E-,Bass Trombone,14
F3,F,Bass Trombone,15
B-3,B-,Bass Trombone,16
B-2,B-,Bass Trombone,17
B-2,B-,Bass Trombone,18
B-2,B-,Bass Trombone,19
D3,D,Bass Trombone,20
E-3,E-,Bass Trombone,21
E-3,E-,Bass Trombone,22
F3,F,Bass Trombone,23
F3,F,Bass Trombone,24
A3,A,Bass Trombone,25
B-3,B-,Bass Trombone,26
C4,C,Bass Trombone,27
E-4,E-,Bass Trombone,28
D4,D,Bass Trombone,29
B-3,B-,Bass Trombone,30
B-3,B-,Bass Trombone,31
B-3,B-,Bass Trombone,32
B-3,B-,Bass Trombone,33
E-3,E-,Bass Trombone,34
G#2,G#,Bass Trombone,35
B-2,B-,Bass Trombone,36
B-2,B-,Bass Trombone,37
B-3,B-,Bass Trombone,38
G#3,G#,Bass Trombone,39
G3,G,Bass Trombone,40
F3,F,Bass Trombone,41
F#3,F#,Bass Trombone,42
B-3,B-,Bass Trombone,43
E-3,E-,Bass Trombone,44
C3,C,Bass Trombone,45
G#2,G#,Bass Trombone,46
B-2,B-,Bass Trombone,47
B-2,B-,Bass Trombone,48
B-2,B-,Bass Trombone,49
E-3,E-,Bass Trombone,50
D3,D,Bass Trombone,51
E-3,E-,Bass Trombone,52
G#3,G#,Bass Trombone,53
B-3,B-,Bass Trombone,54
B-3,B-,Bass Trombone,55
B-3,B-,Bass Trombone,56
G#3,G#,Bass Trombone,57
B-3,B-,Bass Trombone,58
C4,C,Bass Trombone,59
D4,D,Bass Trombone,60
E-4,E-,Bass Trombone,61
B-3,B-,Bass Trombone,62
B3,B,Bass Trombone,63
C4,C,Bass Trombone,64
G#3,G#,Bass Trombone,65
B-3,B-,Bass Trombone,66
G#3,G#,Bass Trombone,67
G3,G,Bass Trombone,68
E-3,E-,Timpani,0
E-3,E-,Timpani,1
E-3,E-,Timpani,2
E-3,E-,Timpani,3
E-3,E-,Timpani,4
E-3,E-,Timpani,5
E-3,E-,Timpani,6
E-3,E-,Timpani,7
E-3,E-,Timpani,8
E-3,E-,Timpani,9
E-3,E-,Timpani,10
E-3,E-,Timpani,11
E-3,E-,Timpani,12
E-3,E-,Timpani,13
E-3,E-,Timpani,14
E-3,E-,Timpani,15
E-3,E-,Timpani,16
E-3,E-,Timpani,17
E-3,E-,Timpani,18
E-3,E-,Timpani,19
E-3,E-,Timpani,20
E-2,E-,Timpani,21
B-2,B-,Timpani,22
B-2,B-,Timpani,23
B-2,B-,Timpani,24
B-2,B-,Timpani,25
B-2,B-,Timpani,26
B-2,B-,Timpani,27
B-2,B-,Timpani,28
B-2,B-,Timpani,29
B-2,B-,Timpani,30
B-2,B-,Timpani,31
B-2,B-,Timpani,32
B-2,B-,Timpani,33
B-2,B-,Timpani,34
B-2,B-,Timpani,35
B-2,B-,Timpani,36
B-2,B-,Timpani,37
B-2,B-,Timpani,38
B-2,B-,Timpani,39
B-2,B-,Timpani,40
B-2,B-,Timpani,41
B-2,B-,Timpani,42
B-2,B-,Timpani,43
B-2,B-,Timpani,44
B-2,B-,Timpani,45
B-2,B-,Timpani,46
B-2,B-,Timpani,47
B-2,B-,Timpani,48
B-2,B-,Timpani,49
B-2,B-,Timpani,50
E-3,E-,Timpani,51
E-3,E-,Timpani,52
B-2,B-,Timpani,53
B-2,B-,Timpani,54
B-2,B-,Timpani,55
B-2,B-,Timpani,56
B-2,B-,Timpani,57
B-2,B-,Timpani,58
B-2,B-,Timpani,59
B-2,B-,Timpani,60
B-2,B-,Timpani,61
B-2,B-,Timpani,62
B-2,B-,Timpani,63
B-2,B-,Timpani,64
B-2,B-,Timpani,65
B-2,B-,Timpani,66
B-2,B-,Timpani,67
B-2,B-,Timpani,68
E-3,E-,Timpani,69
B-2,B-,Timpani,70
B-2,B-,Timpani,71
B-2,B-,Timpani,72
B-2,B-,Timpani,73
B-2,B-,Timpani,74
B-2,B-,Timpani,75
B-2,B-,Timpani,76
B-2,B-,Timpani,77
B-2,B-,Timpani,78
B-2,B-,Timpani,79
B-2,B-,Timpani,80
B-2,B-,Timpani,81
B-2,B-,Timpani,82
B-2,B-,Timpani,83
B-2,B-,Timpani,84
B-2,B-,Timpani,85
B-2,B-,Timpani,86
B-2,B-,Timpani,87
G#2,G#,Timpani,88
B-2,B-,Timpani,89
B-2,B-,Timpani,90
B-2,B-,Timpani,91
B-2,B-,Timpani,92
B-2,B-,Timpani,93
B-2,B-,Timpani,94
B-2,B-,Timpani,95
E-3,E-,Timpani,96
E-3,E-,Timpani,97
E-3,E-,Timpani,98
E-3,E-,Timpani,99
E-3,E-,Timpani,100
E-3,E-,Timpani,101
E-3,E-,Timpani,102
E-3,E-,Timpani,103
G#2,G#,Timpani,104
B-2,B-,Timpani,105
B-2,B-,Timpani,106
G#2,G#,Timpani,107
B-2,B-,Timpani,108
B-2,B-,Timpani,109
B-2,B-,Timpani,110
B-2,B-,Timpani,111
B-2,B-,Timpani,112
B-2,B-,Timpani,113
B-2,B-,Timpani,114
E-3,E-,Timpani,115
E-3,E-,Timpani,116
E-3,E-,Timpani,117
E-3,E-,Timpani,118
E-3,E-,Timpani,119
E-3,E-,Timpani,120
E-3,E-,Timpani,121
E-3,E-,Timpani,122
B-2,B-,Harp,0
F3,F,Harp,1
B-3,B-,Harp,2
D4,D,Harp,3
F4,F,Harp,4
B-4,B-,Harp,5
F4,F,Harp,6
D4,D,Harp,7
F4,F,Harp,8
B-2,B-,Harp,9
F3,F,Harp,10
B-3,B-,Harp,11
D4,D,Harp,12
F4,F,Harp,13
B-4,B-,Harp,14
F4,F,Harp,15
D4,D,Harp,16
F4,F,Harp,17
B-2,B-,Harp,18
F3,F,Harp,19
B-3,B-,Harp,20
E-4,E-,Harp,21
F4,F,Harp,22
B-4,B-,Harp,23
D4,D,Harp,24
F4,F,Harp,25
B-4,B-,Harp,26
E-2,E-,Harp,27
B-2,B-,Harp,28
E-3,E-,Harp,29
G3,G,Harp,30
B-3,B-,Harp,31
E-4,E-,Harp,32
G4,G,Harp,33
F2,F,Harp,34
C3,C,Harp,35
F3,F,Harp,36
A3,A,Harp,37
C4,C,Harp,38
F4,F,Harp,39
C4,C,Harp,40
A3,A,Harp,41
C4,C,Harp,42
C3,C,Harp,43
F3,F,Harp,44
A3,A,Harp,45
C4,C,Harp,46
F4,F,Harp,47
A4,A,Harp,48
B-2,B-,Harp,49
D3,D,Harp,50
F3,F,Harp,51
C3,C,Harp,52
E-3,E-,Harp,53
G3,G,Harp,54
C4,C,Harp,55
E-4,E-,Harp,56
G4,G,Harp,57
F3,F,Harp,58
A3,A,Harp,59
C4,C,Harp,60
F4,F,Harp,61
B-2,B-,Harp,62
F3,F,Harp,63
B-3,B-,Harp,64
D4,D,Harp,65
F4,F,Harp,66
B-4,B-,Harp,67
B-2,B-,Harp,68
F3,F,Harp,69
B-3,B-,Harp,70
D4,D,Harp,71
F4,F,Harp,72
B-4,B-,Harp,73
B-2,B-,Harp,74
F3,F,Harp,75
B-3,B-,Harp,76
D4,D,Harp,77
F4,F,Harp,78
B-4,B-,Harp,79
E-3,E-,Harp,80
G3,G,Harp,81
B-3,B-,Harp,82
E-4,E-,Harp,83
G4,G,Harp,84
E-4,E-,Harp,85
G#2,G#,Harp,86
E-3,E-,Harp,87
G#3,G#,Harp,88
B-2,B-,Harp,89
E-3,E-,Harp,90
G3,G,Harp,91
B-2,B-,Harp,92
D3,D,Harp,93
F3,F,Harp,94
B-3,B-,Harp,95
D4,D,Harp,96
B-2,B-,Harp,97
D3,D,Harp,98
F3,F,Harp,99
B-3,B-,Harp,100
D4,D,Harp,101
F4,F,Harp,102
E-3,E-,Harp,103
G3,G,Harp,104
B-3,B-,Harp,105
F2,F,Harp,106
C3,C,Harp,107
F3,F,Harp,108
G#3,G#,Harp,109
C4,C,Harp,110
F4,F,Harp,111
B-2,B-,Harp,112
G#3,G#,Harp,113
E-3,E-,Harp,114
G3,G,Harp,115
B-3,B-,Harp,116
E-4,E-,Harp,117
G4,G,Harp,118
B-3,B-,Harp,119
G#2,G#,Harp,120
E-3,E-,Harp,121
G#3,G#,Harp,122
B-2,B-,Harp,123
E-3,E-,Harp,124
G3,G,Harp,125
B-2,B-,Harp,126
D3,D,Harp,127
F3,F,Harp,128
B-3,B-,Harp,129
B-2,B-,Harp,130
D3,D,Harp,131
F3,F,Harp,132
B-3,B-,Harp,133
D4,D,Harp,134
F4,F,Harp,135
E-3,E-,Harp,136
G3,G,Harp,137
B-3,B-,Harp,138
B-2,B-,Harp,139
D3,D,Harp,140
F3,F,Harp,141
B-3,B-,Harp,142
D4,D,Harp,143
F4,F,Harp,144
E-3,E-,Harp,145
G3,G,Harp,146
B-3,B-,Harp,147
G#2,G#,Harp,148
C3,C,Harp,149
E-3,E-,Harp,150
B-2,B-,Harp,151
E-3,E-,Harp,152
G3,G,Harp,153
B-2,B-,Harp,154
D3,D,Harp,155
F3,F,Harp,156
B-2,B-,Harp,157
E-3,E-,Harp,158
G3,G,Harp,159
B-3,B-,Harp,160
E-4,E-,Harp,161
G4,G,Harp,162
E-4,E-,Harp,163
G#2,G#,Harp,164
C3,C,Harp,165
E-3,E-,Harp,166
G#3,G#,Harp,167
C4,C,Harp,168
E-3,E-,Harp,169
G3,G,Harp,170
B-3,B-,Harp,171
B-2,B-,Harp,172
D3,D,Harp,173
F3,F,Harp,174
B2,B,Harp,175
D3,D,Harp,176
F3,F,Harp,177
C3,C,Harp,178
E-3,E-,Harp,179
G3,G,Harp,180
G#2,G#,Harp,181
E-3,E-,Harp,182
B-2,B-,Harp,183
D3,D,Harp,184
F3,F,Harp,185
B-3,B-,Harp,186
B-2,B-,Harp,187
D4,D,Harp,188
E-3,E-,Harp,189
G3,G,Harp,190
B-3,B-,Harp,191
E-4,E-,Harp,192
G4,G,Harp,193
B-4,B-,Harp,194
E-2,E-,StringInstrument,0
G2,G,StringInstrument,1
B-2,B-,StringInstrument,2
E-3,E-,StringInstrument,3
E-2,E-,StringInstrument,4
G#2,G#,StringInstrument,5
B-2,B-,StringInstrument,6
C3,C,StringInstrument,7
F2,F,StringInstrument,8
F2,F,StringInstrument,9
B-2,B-,StringInstrument,10
B-2,B-,StringInstrument,11
B-2,B-,StringInstrument,12
B-2,B-,StringInstrument,13
B-2,B-,StringInstrument,14
B-2,B-,StringInstrument,15
E-2,E-,StringInstrument,16
E-2,E-,StringInstrument,17
F2,F,StringInstrument,18
B-2,B-,StringInstrument,19
F3,F,StringInstrument,20
B-2,B-,StringInstrument,21
E-3,E-,StringInstrument,22
F3,F,StringInstrument,23
B-2,B-,StringInstrument,24
B-2,B-,StringInstrument,25
B-2,B-,StringInstrument,26
B-2,B-,StringInstrument,27
B-2,B-,StringInstrument,28
E-2,E-,StringInstrument,29
G#2,G#,StringInstrument,30
B-2,B-,StringInstrument,31
B-2,B-,StringInstrument,32
B-2,B-,StringInstrument,33
G#2,G#,StringInstrument,34
G2,G,StringInstrument,35
F2,F,StringInstrument,36
B-2,B-,StringInstrument,37
E-3,E-,StringInstrument,38
C3,C,StringInstrument,39
G#2,G#,StringInstrument,40
B-2,B-,StringInstrument,41
B-2,B-,StringInstrument,42
B-2,B-,StringInstrument,43
E-3,E-,StringInstrument,44
D3,D,StringInstrument,45
E-3,E-,StringInstrument,46
G#2,G#,StringInstrument,47
B-2,B-,StringInstrument,48
B-2,B-,StringInstrument,49
E-3,E-,StringInstrument,50
G#2,G#,StringInstrument,51
B-2,B-,StringInstrument,52
C3,C,StringInstrument,53
D3,D,StringInstrument,54
E-3,E-,StringInstrument,55
B-2,B-,StringInstrument,56
B2,B,StringInstrument,57
C3,C,StringInstrument,58
G2,G,StringInstrument,59
G#2,G#,StringInstrument,60
B-2,B-,StringInstrument,61
B-2,B-,StringInstrument,62
B-4,B-,StringInstrument,0
G#4,G#,StringInstrument,1
G4,G,StringInstrument,2
G#4,G#,StringInstrument,3
B-4,B-,StringInstrument,4
C5,C,StringInstrument,5
B-4,B-,StringInstrument,6
B-4,B-,StringInstrument,7
G#4,G#,StringInstrument,8
G#4,G#,StringInstrument,9
G4,G,StringInstrument,10
F4,F,StringInstrument,11
G4,G,StringInstrument,12
G#4,G#,StringInstrument,13
B-4,B-,StringInstrument,14
G#4,G#,StringInstrument,15
G#4,G#,StringInstrument,16
G4,G,StringInstrument,17
G4,G,StringInstrument,18
A4,A,StringInstrument,19
B-4,B-,StringInstrument,20
