NoteOctave,Note,Instrument,Position
F#4,F#,Trumpet,0
A4,A,Trumpet,1
A4,A,Trumpet,2
D5,D,Trumpet,3
A4,A,Trumpet,4
G4,G,Trumpet,5
F#4,F#,Trumpet,6
E4,E,Trumpet,7
E4,E,Trumpet,8
F#4,F#,Trumpet,9
G4,G,Trumpet,10
F#4,F#,Trumpet,11
A4,A,Trumpet,12
A4,A,Trumpet,13
D5,D,Trumpet,14
C#5,C#,Trumpet,15
B4,B,Trumpet,16
A4,A,Trumpet,17
D5,D,Trumpet,18
D4,D,Trumpet,19
A4,A,Trumpet,20
G4,G,Trumpet,21
F#4,F#,Trumpet,22
E4,E,Trumpet,23
E4,E,Trumpet,24
A4,A,Trumpet,25
A4,A,Trumpet,26
G4,G,Trumpet,27
F#4,F#,Trumpet,28
G#4,G#,Trumpet,29
A4,A,Trumpet,30
B4,B,Trumpet,31
C#5,C#,Trumpet,32
A4,A,Trumpet,33
B4,B,Trumpet,34
G#4,G#,Trumpet,35
A4,A,Trumpet,36
F#4,F#,Trumpet,37
A4,A,Trumpet,38
A4,A,Trumpet,39
D5,D,Trumpet,40
C#5,C#,Trumpet,41
B4,B,Trumpet,42
A4,A,Trumpet,43
D5,D,Trumpet,44
D4,D,Trumpet,45
A4,A,Trumpet,46
G4,G,Trumpet,47
F#4,F#,Trumpet,48
E4,E,Trumpet,49
E4,E,Trumpet,50
A4,A,Trumpet,51
B4,B,Trumpet,52
C#5,C#,Trumpet,53
E4,E,Trumpet,54
C#5,C#,Trumpet,55
B4,B,Trumpet,56
A4,A,Trumpet,57
B4,B,Trumpet,58
A4,A,Trumpet,59
A4,A,Trumpet,60
A4,A,Trumpet,61
G4,G,Trumpet,62
F#4,F#,Trumpet,63
F#4,F#,Trumpet,64
B4,B,Trumpet,65
A4,A,Trumpet,66
G4,G,Trumpet,67
A4,A,Trumpet,68
B4,B,Trumpet,69
B4,B,Trumpet,70
B4,B,Trumpet,71
B-4,B-,Trumpet,72
B-4,B-,Trumpet,73
B4,B,Trumpet,74
C#5,C#,Trumpet,75
D5,D,Trumpet,76
G#4,G#,Trumpet,77
F#4,F#,Trumpet,78
E4,E,Trumpet,79
E4,E,Trumpet,80
F#4,F#,Trumpet,81
G#4,G#,Trumpet,82
A4,A,Trumpet,83
B4,B,Trumpet,84
C#5,C#,Trumpet,85
C#5,C#,Trumpet,86
C#5,C#,Trumpet,87
D5,D,Trumpet,88
F#4,F#,Trumpet,89
G#4,G#,Trumpet,90
E4,E,Trumpet,91
A4,A,Trumpet,92
F#4,F#,Trumpet,93
A4,A,Trumpet,94
A4,A,Trumpet,95
D5,D,Trumpet,96
C#5,C#,Trumpet,97
B4,B,Trumpet,98
A4,A,Trumpet,99
D5,D,Trumpet,100
D4,D,Trumpet,101
A4,A,Trumpet,102
G4,G,Trumpet,103
F#4,F#,Trumpet,104
E4,E,Trumpet,105
