NoteOctave,Note,Instrument,Position
B-2,B-,Acoustic Bass,0
B-2,B-,Acoustic Bass,1
B-2,B-,Acoustic Bass,2
B-2,B-,Acoustic Bass,3
G2,G,Acoustic Bass,4
G2,G,Acoustic Bass,5
F2,F,Acoustic Bass,6
F2,F,Acoustic Bass,7
B-2,B-,Acoustic Bass,8
B-2,B-,Acoustic Bass,9
F2,F,Acoustic Bass,10
B-2,B-,Acoustic Bass,11
B-2,B-,Acoustic Bass,12
B-2,B-,Acoustic Bass,13
B-2,B-,Acoustic Bass,14
B-2,B-,Acoustic Bass,15
B-2,B-,Acoustic Bass,16
B-2,B-,Acoustic Bass,17
F3,F,Acoustic Bass,18
E-3,E-,Acoustic Bass,19
D3,D,Acoustic Bass,20
F2,F,Acoustic Bass,21
G2,G,Acoustic Bass,22
A2,A,Acoustic Bass,23
B-2,B-,Acoustic Bass,24
B-2,B-,Acoustic Bass,25
B-2,B-,Acoustic Bass,26
B-2,B-,Acoustic Bass,27
G2,G,Acoustic Bass,28
G2,G,Acoustic Bass,29
F2,F,Acoustic Bass,30
F2,F,Acoustic Bass,31
B-2,B-,Acoustic Bass,32
B-2,B-,Acoustic Bass,33
F2,F,Acoustic Bass,34
B-2,B-,Acoustic Bass,35
B-2,B-,Acoustic Bass,36
B-2,B-,Acoustic Bass,37
B-2,B-,Acoustic Bass,38
B-2,B-,Acoustic Bass,39
B-2,B-,Acoustic Bass,40
B-2,B-,Acoustic Bass,41
