NoteOctave,Note,Instrument,Position
B4,B,Trumpet,0
A4,A,Trumpet,1
G4,G,Trumpet,2
G4,G,Trumpet,3
A4,A,Trumpet,4
A4,A,Trumpet,5
B4,B,Trumpet,6
A4,A,Trumpet,7
G4,G,Trumpet,8
D4,D,Trumpet,9
E4,E,Trumpet,10
A4,A,Trumpet,11
G4,G,Trumpet,12
F#4,F#,Trumpet,13
G4,G,Trumpet,14
B4,B,Trumpet,15
A4,A,Trumpet,16
G4,G,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
A4,A,Trumpet,20
B4,B,Trumpet,21
A4,A,Trumpet,22
G4,G,Trumpet,23
B4,B,Trumpet,24
A4,A,Trumpet,25
G4,G,Trumpet,26
F#4,F#,Trumpet,27
E4,E,Trumpet,28
D4,D,Trumpet,29
D4,D,Trumpet,30
D5,D,Trumpet,31
D5,D,Trumpet,32
C5,C,Trumpet,33
B4,B,Trumpet,34
A4,A,Trumpet,35
G4,G,Trumpet,36
F#4,F#,Trumpet,37
D4,D,Trumpet,38
D5,D,Trumpet,39
D5,D,Trumpet,40
C5,C,Trumpet,41
B4,B,Trumpet,42
A4,A,Trumpet,43
F#4,F#,Trumpet,44
G4,G,Trumpet,45
D4,D,Trumpet,46
G4,G,Trumpet,47
A4,A,Trumpet,48
B4,B,Trumpet,49
A4,A,Trumpet,50
G4,G,Trumpet,51
D4,D,Trumpet,52
E4,E,Trumpet,53
A4,A,Trumpet,54
G4,G,Trumpet,55
F#4,F#,Trumpet,56
G4,G,Trumpet,57
D5,D,Trumpet,58
D5,D,Trumpet,59
D5,D,Trumpet,60
D5,D,Trumpet,61
D5,D,Trumpet,62
D5,D,Trumpet,63
E5,E,Trumpet,64
D5,D,Trumpet,65
B4,B,Trumpet,66
C5,C,Trumpet,67
C5,C,Trumpet,68
B4,B,Trumpet,69
B4,B,Trumpet,70
A4,A,Trumpet,71
D5,D,Trumpet,72
D5,D,Trumpet,73
D5,D,Trumpet,74
D5,D,Trumpet,75
D5,D,Trumpet,76
D5,D,Trumpet,77
E5,E,Trumpet,78
D5,D,Trumpet,79
B4,B,Trumpet,80
C5,C,Trumpet,81
C5,C,Trumpet,82
B4,B,Trumpet,83
B4,B,Trumpet,84
A4,A,Trumpet,85
D4,D,Trumpet,86
G4,G,Trumpet,87
D4,D,Trumpet,88
G4,G,Trumpet,89
A4,A,Trumpet,90
B4,B,Trumpet,91
A4,A,Trumpet,92
G4,G,Trumpet,93
D4,D,Trumpet,94
E4,E,Trumpet,95
A4,A,Trumpet,96
G4,G,Trumpet,97
E4,E,Trumpet,98
D4,D,Trumpet,99
D4,D,Trumpet,100
G4,G,Trumpet,101
D4,D,Trumpet,102
G4,G,Trumpet,103
A4,A,Trumpet,104
B4,B,Trumpet,105
B4,B,Trumpet,106
A4,A,Trumpet,107
G4,G,Trumpet,108
D4,D,Trumpet,109
