NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
D4,D,Trumpet,1
E-4,E-,Trumpet,2
F4,F,Trumpet,3
G4,G,Trumpet,4
A4,A,Trumpet,5
B-4,B-,Trumpet,6
A4,A,Trumpet,7
B-4,B-,Trumpet,8
D5,D,Trumpet,9
F4,F,Trumpet,10
G4,G,Trumpet,11
F4,F,Trumpet,12
A4,A,Trumpet,13
B-4,B-,Trumpet,14
C5,C,Trumpet,15
C5,C,Trumpet,16
C5,C,Trumpet,17
C5,C,Trumpet,18
C5,C,Trumpet,19
B-4,B-,Trumpet,20
A4,A,Trumpet,21
B-4,B-,Trumpet,22
A4,A,Trumpet,23
B-4,B-,Trumpet,24
G4,G,Trumpet,25
F4,F,Trumpet,26
G4,G,Trumpet,27
A4,A,Trumpet,28
B-4,B-,Trumpet,29
A4,A,Trumpet,30
B-4,B-,Trumpet,31
C5,C,Trumpet,32
A4,A,Trumpet,33
A4,A,Trumpet,34
A4,A,Trumpet,35
G4,G,Trumpet,36
F4,F,Trumpet,37
F4,F,Trumpet,38
A4,A,Trumpet,39
C5,C,Trumpet,40
C5,C,Trumpet,41
B-4,B-,Trumpet,42
G4,G,Trumpet,43
F4,F,Trumpet,44
G4,G,Trumpet,45
F4,F,Trumpet,46
F4,F,Trumpet,47
F4,F,Trumpet,48
F4,F,Trumpet,49
F4,F,Trumpet,50
G4,G,Trumpet,51
A4,A,Trumpet,52
C5,C,Trumpet,53
B-4,B-,Trumpet,54
B-4,B-,Trumpet,55
A4,A,Trumpet,56
A4,A,Trumpet,57
A4,A,Trumpet,58
A4,A,Trumpet,59
B-4,B-,Trumpet,60
A4,A,Trumpet,61
B-4,B-,Trumpet,62
D5,D,Trumpet,63
C5,C,Trumpet,64
F4,F,Trumpet,65
F4,F,Trumpet,66
F4,F,Trumpet,67
B-4,B-,Trumpet,68
B-4,B-,Trumpet,69
B-4,B-,Trumpet,70
B-4,B-,Trumpet,71
B-4,B-,Trumpet,72
C5,C,Trumpet,73
B-4,B-,Trumpet,74
A4,A,Trumpet,75
B-4,B-,Trumpet,76
C5,C,Trumpet,77
C5,C,Trumpet,78
B-4,B-,Trumpet,79
B-4,B-,Trumpet,80
