NoteOctave,Note,Instrument,Position
C4,C,Trumpet,0
F4,F,Trumpet,1
C4,C,Trumpet,2
F4,F,Trumpet,3
A4,A,Trumpet,4
F4,F,Trumpet,5
A4,A,Trumpet,6
C5,C,Trumpet,7
C5,C,Trumpet,8
C5,C,Trumpet,9
B-4,B-,Trumpet,10
A4,A,Trumpet,11
A4,A,Trumpet,12
A4,A,Trumpet,13
G4,G,Trumpet,14
F4,F,Trumpet,15
G4,G,Trumpet,16
A4,A,Trumpet,17
A4,A,Trumpet,18
A4,A,Trumpet,19
F4,F,Trumpet,20
D5,D,Trumpet,21
D5,D,Trumpet,22
D5,D,Trumpet,23
C5,C,Trumpet,24
C5,C,Trumpet,25
B-4,B-,Trumpet,26
B-4,B-,Trumpet,27
B-4,B-,Trumpet,28
A4,A,Trumpet,29
A4,A,Trumpet,30
G4,G,Trumpet,31
F4,F,Trumpet,32
E4,E,Trumpet,33
F4,F,Trumpet,34
G4,G,Trumpet,35
A4,A,Trumpet,36
G4,G,Trumpet,37
G4,G,Trumpet,38
G4,G,Trumpet,39
C4,C,Trumpet,40
D4,D,Trumpet,41
E4,E,Trumpet,42
E4,E,Trumpet,43
F4,F,Trumpet,44
G4,G,Trumpet,45
G#4,G#,Trumpet,46
G#4,G#,Trumpet,47
G4,G,Trumpet,48
F4,F,Trumpet,49
G4,G,Trumpet,50
G#4,G#,Trumpet,51
G4,G,Trumpet,52
F4,F,Trumpet,53
G#4,G#,Trumpet,54
G4,G,Trumpet,55
F4,F,Trumpet,56
C4,C,Trumpet,57
C4,C,Trumpet,58
C4,C,Trumpet,59
C4,C,Trumpet,60
C4,C,Trumpet,61
F4,F,Trumpet,62
G4,G,Trumpet,63
A4,A,Trumpet,64
G4,G,Trumpet,65
F4,F,Trumpet,66
A4,A,Trumpet,67
B-4,B-,Trumpet,68
C5,C,Trumpet,69
D5,D,Trumpet,70
C5,C,Trumpet,71
B-4,B-,Trumpet,72
A4,A,Trumpet,73
B-4,B-,Trumpet,74
A4,A,Trumpet,75
G4,G,Trumpet,76
F4,F,Trumpet,77
E4,E,Trumpet,78
F4,F,Trumpet,79
C4,C,Trumpet,80
F4,F,Trumpet,81
G4,G,Trumpet,82
A4,A,Trumpet,83
G4,G,Trumpet,84
F4,F,Trumpet,85
C5,C,Trumpet,86
B-4,B-,Trumpet,87
A4,A,Trumpet,88
F4,F,Trumpet,89
D5,D,Trumpet,90
D5,D,Trumpet,91
C5,C,Trumpet,92
C5,C,Trumpet,93
B-4,B-,Trumpet,94
B-4,B-,Trumpet,95
A4,A,Trumpet,96
F4,F,Trumpet,97
D5,D,Trumpet,98
D5,D,Trumpet,99
C5,C,Trumpet,100
C5,C,Trumpet,101
A4,A,Trumpet,102
B-4,B-,Trumpet,103
A4,A,Trumpet,104
G4,G,Trumpet,105
F4,F,Trumpet,106
C5,C,Trumpet,107
F4,F,Trumpet,108
A4,A,Trumpet,109
F4,F,Trumpet,110
C5,C,Trumpet,111
B-4,B-,Trumpet,112
B-4,B-,Trumpet,113
A4,A,Trumpet,114
G4,G,Trumpet,115
F4,F,Trumpet,116
G3,G,Horn,0
E3,E,Horn,1
A3,A,Horn,2
C4,C,Horn,3
D4,D,Horn,4
F4,F,Horn,5
G4,G,Horn,6
C4,C,Horn,7
G4,G,Horn,8
E4,E,Horn,9
C4,C,Horn,10
F4,F,Horn,11
D4,D,Horn,12
D4,D,Horn,13
B-3,B-,Horn,14
G4,G,Horn,15
F4,F,Horn,16
D4,D,Horn,17
A3,A,Horn,18
B-4,B-,Horn,19
G4,G,Horn,20
C4,C,Horn,21
G4,G,Horn,22
D4,D,Horn,23
E4,E,Horn,24
C4,C,Horn,25
G4,G,Horn,26
F4,F,Horn,27
D4,D,Horn,28
D4,D,Horn,29
B3,B,Horn,30
C4,C,Horn,31
G3,G,Horn,32
B3,B,Horn,33
D4,D,Horn,34
B-3,B-,Horn,35
F3,F,Horn,36
G3,G,Horn,37
C4,C,Horn,38
C4,C,Horn,39
A3,A,Horn,40
B-3,B-,Horn,41
E-4,E-,Horn,42
E-4,E-,Horn,43
C4,C,Horn,44
E4,E,Horn,45
C4,C,Horn,46
B-3,B-,Horn,47
G#3,G#,Horn,48
C#4,C#,Horn,49
B-3,B-,Horn,50
E4,E,Horn,51
C4,C,Horn,52
F4,F,Horn,53
B-3,B-,Horn,54
G3,G,Horn,55
B-3,B-,Horn,56
G3,G,Horn,57
A3,A,Horn,58
F3,F,Horn,59
A4,A,Horn,60
B-4,B-,Horn,61
F4,F,Horn,62
D4,D,Horn,63
C4,C,Horn,64
B-3,B-,Horn,65
B-3,B-,Horn,66
C4,C,Horn,67
E4,E,Horn,68
C4,C,Horn,69
F4,F,Horn,70
G4,G,Horn,71
F4,F,Horn,72
C4,C,Horn,73
C4,C,Horn,74
E4,E,Horn,75
G4,G,Horn,76
F4,F,Horn,77
C4,C,Horn,78
C4,C,Horn,79
F4,F,Horn,80
A4,A,Horn,81
D4,D,Horn,82
G4,G,Horn,83
B-3,B-,Horn,84
C4,C,Horn,85
E4,E,Horn,86
F4,F,Horn,87
E-4,E-,Horn,88
F4,F,Horn,89
F4,F,Horn,90
A4,A,Horn,91
C4,C,Horn,92
D4,D,Horn,93
F#4,F#,Horn,94
G4,G,Horn,95
D4,D,Horn,96
F#4,F#,Horn,97
D4,D,Horn,98
D4,D,Horn,99
C#4,C#,Horn,100
B-3,B-,Horn,101
C4,C,Horn,102
A3,A,Horn,103
F4,F,Horn,104
A4,A,Horn,105
F4,F,Horn,106
C4,C,Horn,107
E4,E,Horn,108
B-3,B-,Horn,109
C3,C,Bass Trombone,0
F3,F,Bass Trombone,1
D3,D,Bass Trombone,2
C3,C,Bass Trombone,3
D3,D,Bass Trombone,4
E3,E,Bass Trombone,5
C3,C,Bass Trombone,6
F3,F,Bass Trombone,7
D3,D,Bass Trombone,8
B-2,B-,Bass Trombone,9
B-2,B-,Bass Trombone,10
A2,A,Bass Trombone,11
A2,A,Bass Trombone,12
D3,D,Bass Trombone,13
D3,D,Bass Trombone,14
B-2,B-,Bass Trombone,15
E3,E,Bass Trombone,16
F3,F,Bass Trombone,17
D3,D,Bass Trombone,18
G3,G,Bass Trombone,19
C3,C,Bass Trombone,20
F3,F,Bass Trombone,21
D3,D,Bass Trombone,22
G2,G,Bass Trombone,23
C3,C,Bass Trombone,24
E3,E,Bass Trombone,25
G3,G,Bass Trombone,26
C3,C,Bass Trombone,27
B-2,B-,Bass Trombone,28
B-2,B-,Bass Trombone,29
F3,F,Bass Trombone,30
E-3,E-,Bass Trombone,31
G#2,G#,Bass Trombone,32
C3,C,Bass Trombone,33
C#3,C#,Bass Trombone,34
C3,C,Bass Trombone,35
F2,F,Bass Trombone,36
G2,G,Bass Trombone,37
C3,C,Bass Trombone,38
C3,C,Bass Trombone,39
C3,C,Bass Trombone,40
C3,C,Bass Trombone,41
C3,C,Bass Trombone,42
F3,F,Bass Trombone,43
C3,C,Bass Trombone,44
F3,F,Bass Trombone,45
F3,F,Bass Trombone,46
C3,C,Bass Trombone,47
F3,F,Bass Trombone,48
B-2,B-,Bass Trombone,49
C3,C,Bass Trombone,50
C3,C,Bass Trombone,51
F3,F,Bass Trombone,52
C3,C,Bass Trombone,53
F2,F,Bass Trombone,54
C3,C,Bass Trombone,55
F3,F,Bass Trombone,56
F3,F,Bass Trombone,57
F3,F,Bass Trombone,58
F3,F,Bass Trombone,59
C3,C,Bass Trombone,60
F3,F,Bass Trombone,61
C3,C,Bass Trombone,62
C3,C,Bass Trombone,63
F3,F,Bass Trombone,64
C3,C,Bass Trombone,65
C3,C,Bass Trombone,66
C3,C,Bass Trombone,67
C3,C,Bass Trombone,68
C3,C,Bass Trombone,69
C3,C,Bass Trombone,70
C3,C,Bass Trombone,71
C3,C,Bass Trombone,72
C3,C,Bass Trombone,73
C3,C,Bass Trombone,74
F3,F,Bass Trombone,75
F3,F,Bass Trombone,76
F3,F,Bass Trombone,77
F3,F,Bass Trombone,78
F3,F,Bass Trombone,79
F3,F,Bass Trombone,80
F3,F,Bass Trombone,81
B-2,B-,Bass Trombone,82
