NoteOctave,Note,Instrument,Position
C5,C,Sitar,0
B4,B,Sitar,1
G4,G,Sitar,2
B4,B,Sitar,3
C5,C,Sitar,4
D5,D,Sitar,5
C5,C,Sitar,6
D5,D,Sitar,7
C5,C,Sitar,8
B4,B,Sitar,9
G4,G,Sitar,10
B4,B,Sitar,11
C5,C,Sitar,12
D5,D,Sitar,13
C5,C,Sitar,14
E5,E,Sitar,15
D5,D,Sitar,16
C5,C,Sitar,17
B4,B,Sitar,18
C5,C,Sitar,19
D5,D,Sitar,20
B4,B,Sitar,21
B4,B,Sitar,22
C5,C,Sitar,23
B4,B,Sitar,24
G4,G,Sitar,25
B4,B,Sitar,26
C5,C,Sitar,27
D5,D,Sitar,28
C5,C,Sitar,29
D5,D,Sitar,30
C5,C,Sitar,31
B4,B,Sitar,32
G4,G,Sitar,33
B4,B,Sitar,34
C5,C,Sitar,35
D5,D,Sitar,36
C5,C,Sitar,37
E5,E,Sitar,38
D5,D,Sitar,39
C5,C,Sitar,40
B4,B,Sitar,41
C5,C,Sitar,42
D5,D,Sitar,43
B4,B,Sitar,44
B4,B,Sitar,45
C5,C,Sitar,46
D5,D,Sitar,47
C5,C,Sitar,48
E5,E,Sitar,49
D5,D,Sitar,50
C5,C,Sitar,51
B4,B,Sitar,52
C5,C,Sitar,53
D5,D,Sitar,54
B4,B,Sitar,55
B4,B,Sitar,56
C5,C,Sitar,57
F5,F,Sitar,58
C5,C,Sitar,59
F5,F,Sitar,60
C5,C,Sitar,61
D5,D,Sitar,62
C5,C,Sitar,63
D5,D,Sitar,64
C5,C,Sitar,65
B4,B,Sitar,66
G4,G,Sitar,67
B4,B,Sitar,68
C5,C,Sitar,69
D5,D,Sitar,70
C5,C,Sitar,71
E5,E,Sitar,72
D5,D,Sitar,73
C5,C,Sitar,74
B4,B,Sitar,75
C5,C,Sitar,76
D5,D,Sitar,77
B4,B,Sitar,78
B4,B,Sitar,79
C5,C,Sitar,80
F5,F,Sitar,81
C5,C,Sitar,82
F5,F,Sitar,83
C5,C,Sitar,84
D5,D,Sitar,85
C5,C,Sitar,86
D5,D,Sitar,87
C5,C,Sitar,88
B4,B,Sitar,89
G4,G,Sitar,90
B4,B,Sitar,91
C5,C,Sitar,92
D5,D,Sitar,93
C5,C,Sitar,94
E5,E,Sitar,95
D5,D,Sitar,96
C5,C,Sitar,97
B4,B,Sitar,98
C5,C,Sitar,99
D5,D,Sitar,100
B4,B,Sitar,101
B4,B,Sitar,102
C5,C,Sitar,103
D5,D,Sitar,104
B4,B,Sitar,105
G4,G,Sitar,106
B4,B,Sitar,107
C5,C,Sitar,108
D5,D,Sitar,109
C5,C,Sitar,110
B4,B,Sitar,111
C5,C,Shakuhachi,0
B4,B,Shakuhachi,1
G4,G,Shakuhachi,2
B4,B,Shakuhachi,3
C5,C,Shakuhachi,4
D5,D,Shakuhachi,5
C5,C,Shakuhachi,6
D5,D,Shakuhachi,7
C5,C,Shakuhachi,8
B4,B,Shakuhachi,9
G4,G,Shakuhachi,10
B4,B,Shakuhachi,11
C5,C,Shakuhachi,12
D5,D,Shakuhachi,13
C5,C,Shakuhachi,14
E5,E,Shakuhachi,15
D5,D,Shakuhachi,16
C5,C,Shakuhachi,17
B4,B,Shakuhachi,18
C5,C,Shakuhachi,19
D5,D,Shakuhachi,20
B4,B,Shakuhachi,21
B4,B,Shakuhachi,22
C5,C,Shakuhachi,23
B4,B,Shakuhachi,24
G4,G,Shakuhachi,25
B4,B,Shakuhachi,26
C5,C,Shakuhachi,27
D5,D,Shakuhachi,28
C5,C,Shakuhachi,29
D5,D,Shakuhachi,30
C5,C,Shakuhachi,31
B4,B,Shakuhachi,32
G4,G,Shakuhachi,33
B4,B,Shakuhachi,34
C5,C,Shakuhachi,35
D5,D,Shakuhachi,36
C5,C,Shakuhachi,37
E5,E,Shakuhachi,38
D5,D,Shakuhachi,39
C5,C,Shakuhachi,40
B4,B,Shakuhachi,41
C5,C,Shakuhachi,42
D5,D,Shakuhachi,43
B4,B,Shakuhachi,44
B4,B,Shakuhachi,45
C5,C,Shakuhachi,46
D5,D,Shakuhachi,47
C5,C,Shakuhachi,48
E5,E,Shakuhachi,49
D5,D,Shakuhachi,50
C5,C,Shakuhachi,51
B4,B,Shakuhachi,52
C5,C,Shakuhachi,53
D5,D,Shakuhachi,54
B4,B,Shakuhachi,55
B4,B,Shakuhachi,56
C5,C,Shakuhachi,57
F5,F,Shakuhachi,58
C5,C,Shakuhachi,59
F5,F,Shakuhachi,60
C5,C,Shakuhachi,61
D5,D,Shakuhachi,62
C5,C,Shakuhachi,63
D5,D,Shakuhachi,64
C5,C,Shakuhachi,65
B4,B,Shakuhachi,66
G4,G,Shakuhachi,67
B4,B,Shakuhachi,68
C5,C,Shakuhachi,69
D5,D,Shakuhachi,70
C5,C,Shakuhachi,71
E5,E,Shakuhachi,72
D5,D,Shakuhachi,73
C5,C,Shakuhachi,74
B4,B,Shakuhachi,75
C5,C,Shakuhachi,76
D5,D,Shakuhachi,77
B4,B,Shakuhachi,78
B4,B,Shakuhachi,79
C5,C,Shakuhachi,80
F5,F,Shakuhachi,81
C5,C,Shakuhachi,82
F5,F,Shakuhachi,83
C5,C,Shakuhachi,84
D5,D,Shakuhachi,85
C5,C,Shakuhachi,86
D5,D,Shakuhachi,87
C5,C,Shakuhachi,88
B4,B,Shakuhachi,89
G4,G,Shakuhachi,90
B4,B,Shakuhachi,91
C5,C,Shakuhachi,92
D5,D,Shakuhachi,93
C5,C,Shakuhachi,94
E5,E,Shakuhachi,95
D5,D,Shakuhachi,96
C5,C,Shakuhachi,97
B4,B,Shakuhachi,98
C5,C,Shakuhachi,99
D5,D,Shakuhachi,100
B4,B,Shakuhachi,101
B4,B,Shakuhachi,102
C5,C,Shakuhachi,103
D5,D,Shakuhachi,104
B4,B,Shakuhachi,105
G4,G,Shakuhachi,106
B4,B,Shakuhachi,107
C5,C,Shakuhachi,108
D5,D,Shakuhachi,109
C5,C,Shakuhachi,110
B4,B,Shakuhachi,111
