NoteOctave,Note,Instrument,Position
C5,C,Trumpet,0
A4,A,Trumpet,1
G4,G,Trumpet,2
F4,F,Trumpet,3
F4,F,Trumpet,4
F4,F,Trumpet,5
G4,G,Trumpet,6
A4,A,Trumpet,7
B-4,B-,Trumpet,8
C5,C,Trumpet,9
F5,F,Trumpet,10
D5,D,Trumpet,11
C5,C,Trumpet,12
B-4,B-,Trumpet,13
A4,A,Trumpet,14
B-4,B-,Trumpet,15
C5,C,Trumpet,16
B-4,B-,Trumpet,17
A4,A,Trumpet,18
B-4,B-,Trumpet,19
A4,A,Trumpet,20
G4,G,Trumpet,21
C5,C,Trumpet,22
A4,A,Trumpet,23
G4,G,Trumpet,24
F4,F,Trumpet,25
F4,F,Trumpet,26
F4,F,Trumpet,27
A4,A,Trumpet,28
B-4,B-,Trumpet,29
C5,C,Trumpet,30
D5,D,Trumpet,31
F5,F,Trumpet,32
E5,E,Trumpet,33
D5,D,Trumpet,34
C5,C,Trumpet,35
B-4,B-,Trumpet,36
A4,A,Trumpet,37
B-4,B-,Trumpet,38
D5,D,Trumpet,39
C5,C,Trumpet,40
A4,A,Trumpet,41
G4,G,Trumpet,42
F4,F,Trumpet,43
A4,A,Trumpet,44
B-4,B-,Trumpet,45
C5,C,Trumpet,46
D5,D,Trumpet,47
B-4,B-,Trumpet,48
D5,D,Trumpet,49
C5,C,Trumpet,50
B-4,B-,Trumpet,51
A4,A,Trumpet,52
B-4,B-,Trumpet,53
D5,D,Trumpet,54
C5,C,Trumpet,55
B-4,B-,Trumpet,56
E5,E,Trumpet,57
E5,E,Trumpet,58
F5,F,Trumpet,59
D5,D,Trumpet,60
B-4,B-,Trumpet,61
A4,A,Trumpet,62
C5,C,Trumpet,63
G4,G,Trumpet,64
E4,E,Trumpet,65
F4,F,Trumpet,66
C4,C,Horn,0
A4,A,Horn,1
F4,F,Horn,2
C4,C,Horn,3
F4,F,Horn,4
B-3,B-,Horn,5
E4,E,Horn,6
B-3,B-,Horn,7
C4,C,Horn,8
C4,C,Horn,9
F4,F,Horn,10
A4,A,Horn,11
F4,F,Horn,12
F#4,F#,Horn,13
D4,D,Horn,14
G4,G,Horn,15
D4,D,Horn,16
G4,G,Horn,17
C4,C,Horn,18
C4,C,Horn,19
F4,F,Horn,20
C4,C,Horn,21
E4,E,Horn,22
F4,F,Horn,23
B-3,B-,Horn,24
E4,E,Horn,25
A3,A,Horn,26
D4,D,Horn,27
F4,F,Horn,28
B-3,B-,Horn,29
F4,F,Horn,30
D4,D,Horn,31
F4,F,Horn,32
C4,C,Horn,33
