NoteOctave,Note,Instrument,Position
E-5,E-,Trumpet,0
E-5,E-,Trumpet,1
C5,C,Trumpet,2
C5,C,Trumpet,3
G#4,G#,Trumpet,4
B-4,B-,Trumpet,5
B-4,B-,Trumpet,6
C5,C,Trumpet,7
B-4,B-,Trumpet,8
B-4,B-,Trumpet,9
G4,G,Trumpet,10
E-4,E-,Trumpet,11
C5,C,Trumpet,12
C5,C,Trumpet,13
C5,C,Trumpet,14
G#4,G#,Trumpet,15
G#4,G#,Trumpet,16
G#4,G#,Trumpet,17
G#4,G#,Trumpet,18
G#4,G#,Trumpet,19
G#4,G#,Trumpet,20
G#4,G#,Trumpet,21
G#4,G#,Trumpet,22
F4,F,Trumpet,23
G#4,G#,Trumpet,24
E-4,E-,Trumpet,25
E-4,E-,Trumpet,26
E-4,E-,Trumpet,27
E-4,E-,Trumpet,28
E-4,E-,Trumpet,29
E-4,E-,Trumpet,30
E-4,E-,Trumpet,31
G#4,G#,Trumpet,32
G#4,G#,Trumpet,33
F4,F,Trumpet,34
F4,F,Trumpet,35
G#4,G#,Trumpet,36
G4,G,Trumpet,37
G4,G,Trumpet,38
E-4,E-,Trumpet,39
E-4,E-,Trumpet,40
G#4,G#,Trumpet,41
G#4,G#,Trumpet,42
F4,F,Trumpet,43
F4,F,Trumpet,44
F4,F,Trumpet,45
F4,F,Trumpet,46
G4,G,Trumpet,47
E-4,E-,Trumpet,48
E-4,E-,Trumpet,49
E-4,E-,Trumpet,50
E-4,E-,Trumpet,51
E-4,E-,Trumpet,52
G#4,G#,Trumpet,53
G#4,G#,Trumpet,54
G#4,G#,Trumpet,55
G#4,G#,Trumpet,56
G#4,G#,Trumpet,57
G#4,G#,Trumpet,58
B-4,B-,Trumpet,59
B-4,B-,Trumpet,60
B-4,B-,Trumpet,61
B-4,B-,Trumpet,62
B-4,B-,Trumpet,63
B-4,B-,Trumpet,64
C5,C,Trumpet,65
C5,C,Trumpet,66
C5,C,Trumpet,67
C5,C,Trumpet,68
C5,C,Trumpet,69
C5,C,Trumpet,70
C5,C,Trumpet,71
C5,C,Trumpet,72
F5,F,Trumpet,73
E-5,E-,Trumpet,74
E-5,E-,Trumpet,75
E-5,E-,Trumpet,76
E-5,E-,Trumpet,77
B-4,B-,Trumpet,78
B-4,B-,Trumpet,79
B-4,B-,Trumpet,80
C5,C,Trumpet,81
B-4,B-,Trumpet,82
C5,C,Trumpet,83
G#4,G#,Trumpet,84
G#4,G#,Trumpet,85
G#4,G#,Trumpet,86
B-4,B-,Trumpet,87
B-4,B-,Trumpet,88
B-4,B-,Trumpet,89
G#4,G#,Trumpet,90
B-4,B-,Trumpet,91
G#4,G#,Trumpet,92
B-4,B-,Trumpet,93
G#4,G#,Trumpet,94
F4,F,Trumpet,95
G#4,G#,Trumpet,96
G#4,G#,Trumpet,97
F4,F,Trumpet,98
F4,F,Trumpet,99
F4,F,Trumpet,100
F4,F,Trumpet,101
F4,F,Trumpet,102
F4,F,Trumpet,103
G#4,G#,Trumpet,104
G#4,G#,Trumpet,105
E-4,E-,Trumpet,106
E-4,E-,Trumpet,107
E-4,E-,Trumpet,108
E-4,E-,Trumpet,109
E-4,E-,Trumpet,110
E-4,E-,Trumpet,111
E-5,E-,Trumpet,112
E-5,E-,Trumpet,113
C5,C,Trumpet,114
C5,C,Trumpet,115
G#4,G#,Trumpet,116
B-4,B-,Trumpet,117
C5,C,Trumpet,118
B-4,B-,Trumpet,119
C5,C,Trumpet,120
B-4,B-,Trumpet,121
C5,C,Trumpet,122
B-4,B-,Trumpet,123
B-4,B-,Trumpet,124
G#4,G#,Trumpet,125
B-4,B-,Trumpet,126
B-4,B-,Trumpet,127
B-4,B-,Trumpet,128
B-4,B-,Trumpet,129
G#4,G#,Trumpet,130
B-4,B-,Trumpet,131
G#4,G#,Trumpet,132
G#4,G#,Trumpet,133
F4,F,Trumpet,134
F4,F,Trumpet,135
F4,F,Trumpet,136
F4,F,Trumpet,137
F4,F,Trumpet,138
F4,F,Trumpet,139
F4,F,Trumpet,140
G4,G,Trumpet,141
E-4,E-,Trumpet,142
E-4,E-,Trumpet,143
E-4,E-,Trumpet,144
B-4,B-,Trumpet,145
B-4,B-,Trumpet,146
B-4,B-,Trumpet,147
G#4,G#,Trumpet,148
B-4,B-,Trumpet,149
G#4,G#,Trumpet,150
G#4,G#,Trumpet,151
F4,F,Trumpet,152
G#4,G#,Trumpet,153
G#4,G#,Trumpet,154
F4,F,Trumpet,155
F4,F,Trumpet,156
G#4,G#,Trumpet,157
G#4,G#,Trumpet,158
E-4,E-,Trumpet,159
E-4,E-,Trumpet,160
E-5,E-,Trumpet,161
E-5,E-,Trumpet,162
C5,C,Trumpet,163
C5,C,Trumpet,164
G#4,G#,Trumpet,165
B-4,B-,Trumpet,166
C5,C,Trumpet,167
B-4,B-,Trumpet,168
C5,C,Trumpet,169
C5,C,Trumpet,170
G#4,G#,Trumpet,171
C5,C,Trumpet,172
C5,C,Trumpet,173
G#4,G#,Trumpet,174
F4,F,Trumpet,175
B-4,B-,Trumpet,176
B-4,B-,Trumpet,177
B-4,B-,Trumpet,178
B-4,B-,Trumpet,179
C5,C,Trumpet,180
C5,C,Trumpet,181
G#4,G#,Trumpet,182
C5,C,Trumpet,183
C5,C,Trumpet,184
C5,C,Trumpet,185
G#4,G#,Trumpet,186
G#4,G#,Trumpet,187
F4,F,Trumpet,188
F4,F,Trumpet,189
F4,F,Trumpet,190
F4,F,Trumpet,191
G4,G,Trumpet,192
E-4,E-,Trumpet,193
F4,F,Trumpet,194
F4,F,Trumpet,195
G4,G,Trumpet,196
E-4,E-,Trumpet,197
F4,F,Trumpet,198
F4,F,Trumpet,199
F4,F,Trumpet,200
G4,G,Trumpet,201
E-4,E-,Trumpet,202
E-4,E-,Trumpet,203
E-4,E-,Trumpet,204
G#4,G#,Trumpet,205
G#4,G#,Trumpet,206
G#4,G#,Trumpet,207
G#4,G#,Trumpet,208
E-4,E-,Trumpet,209
B-4,B-,Trumpet,210
G#4,G#,Trumpet,211
G#4,G#,Trumpet,212
G#4,G#,Trumpet,213
B-4,B-,Trumpet,214
G#4,G#,Trumpet,215
F4,F,Trumpet,216
E-4,E-,Trumpet,217
B-4,B-,Trumpet,218
B-4,B-,Trumpet,219
B-4,B-,Trumpet,220
G4,G,Trumpet,221
E-4,E-,Trumpet,222
B-4,B-,Trumpet,223
B-4,B-,Trumpet,224
C5,C,Trumpet,225
B-4,B-,Trumpet,226
G4,G,Trumpet,227
E-4,E-,Trumpet,228
F4,F,Trumpet,229
E-4,E-,Trumpet,230
C4,C,Horn,0
C4,C,Horn,1
G#3,G#,Horn,2
B-3,B-,Horn,3
B-3,B-,Horn,4
C4,C,Horn,5
B-3,B-,Horn,6
B-3,B-,Horn,7
G3,G,Horn,8
E-3,E-,Horn,9
G#4,G#,Horn,10
E-4,E-,Horn,11
E-4,E-,Horn,12
E-4,E-,Horn,13
E-4,E-,Horn,14
B-4,B-,Horn,15
G#4,G#,Horn,16
G#4,G#,Horn,17
F4,F,Horn,18
F4,F,Horn,19
G#4,G#,Horn,20
G4,G,Horn,21
G4,G,Horn,22
E-4,E-,Horn,23
E-4,E-,Horn,24
G#4,G#,Horn,25
G#4,G#,Horn,26
F4,F,Horn,27
