NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
D4,D,Trumpet,1
F4,F,Trumpet,2
B-4,B-,Trumpet,3
B-4,B-,Trumpet,4
B-4,B-,Trumpet,5
C5,C,Trumpet,6
C5,C,Trumpet,7
F5,F,Trumpet,8
E-5,E-,Trumpet,9
D5,D,Trumpet,10
B-4,B-,Trumpet,11
D5,D,Trumpet,12
B-4,B-,Trumpet,13
G4,G,Trumpet,14
B-4,B-,Trumpet,15
A4,A,Trumpet,16
C5,C,Trumpet,17
B-4,B-,Trumpet,18
G4,G,Trumpet,19
E4,E,Trumpet,20
G4,G,Trumpet,21
F4,F,Trumpet,22
F4,F,Trumpet,23
D4,D,Trumpet,24
F4,F,Trumpet,25
B-4,B-,Trumpet,26
B-4,B-,Trumpet,27
B-4,B-,Trumpet,28
C5,C,Trumpet,29
F5,F,Trumpet,30
E-5,E-,Trumpet,31
D5,D,Trumpet,32
B-4,B-,Trumpet,33
D5,D,Trumpet,34
B-4,B-,Trumpet,35
G4,G,Trumpet,36
B-4,B-,Trumpet,37
B-4,B-,Trumpet,38
B-4,B-,Trumpet,39
A4,A,Trumpet,40
G4,G,Trumpet,41
A4,A,Trumpet,42
C5,C,Trumpet,43
B-4,B-,Trumpet,44
F4,F,Trumpet,45
G4,G,Trumpet,46
A4,A,Trumpet,47
B-4,B-,Trumpet,48
B-4,B-,Trumpet,49
A4,A,Trumpet,50
B-4,B-,Trumpet,51
G4,G,Trumpet,52
B-4,B-,Trumpet,53
A4,A,Trumpet,54
B-4,B-,Trumpet,55
C5,C,Trumpet,56
F4,F,Trumpet,57
A4,A,Trumpet,58
B-4,B-,Trumpet,59
C5,C,Trumpet,60
C5,C,Trumpet,61
C5,C,Trumpet,62
C5,C,Trumpet,63
D5,D,Trumpet,64
E-5,E-,Trumpet,65
C5,C,Trumpet,66
D5,D,Trumpet,67
F4,F,Trumpet,68
E-4,E-,Trumpet,69
F4,F,Trumpet,70
G4,G,Trumpet,71
F4,F,Trumpet,72
B-4,B-,Trumpet,73
A4,A,Trumpet,74
G4,G,Trumpet,75
B-4,B-,Trumpet,76
A4,A,Trumpet,77
B-4,B-,Trumpet,78
C5,C,Trumpet,79
