NoteOctave,Note,Instrument,Position
G4,G,Bass clarinet,0
C5,C,Bass clarinet,1
C5,C,Bass clarinet,2
B4,B,Bass clarinet,3
B4,B,Bass clarinet,4
A4,A,Bass clarinet,5
A4,A,Bass clarinet,6
G4,G,Bass clarinet,7
G4,G,Bass clarinet,8
F#4,F#,Bass clarinet,9
G4,G,Bass clarinet,10
F4,F,Bass clarinet,11
E4,E,Bass clarinet,12
D4,D,Bass clarinet,13
E4,E,Bass clarinet,14
F4,F,Bass clarinet,15
G4,G,Bass clarinet,16
A4,A,Bass clarinet,17
G4,G,Bass clarinet,18
F4,F,Bass clarinet,19
E4,E,Bass clarinet,20
F4,F,Bass clarinet,21
G4,G,Bass clarinet,22
F4,F,Bass clarinet,23
E4,E,Bass clarinet,24
D4,D,Bass clarinet,25
G4,G,Bass clarinet,26
C5,C,Bass clarinet,27
C5,C,Bass clarinet,28
B4,B,Bass clarinet,29
B4,B,Bass clarinet,30
A4,A,Bass clarinet,31
A4,A,Bass clarinet,32
G4,G,Bass clarinet,33
G4,G,Bass clarinet,34
F#4,F#,Bass clarinet,35
G4,G,Bass clarinet,36
F4,F,Bass clarinet,37
E4,E,Bass clarinet,38
G4,G,Bass clarinet,39
C5,C,Bass clarinet,40
B4,B,Bass clarinet,41
B-4,B-,Bass clarinet,42
B4,B,Bass clarinet,43
C5,C,Bass clarinet,44
A4,A,Bass clarinet,45
G#4,G#,Bass clarinet,46
A4,A,Bass clarinet,47
B4,B,Bass clarinet,48
G4,G,Bass clarinet,49
G4,G,Bass clarinet,50
G4,G,Bass clarinet,51
G4,G,Bass clarinet,52
G4,G,Bass clarinet,53
G4,G,Bass clarinet,54
G#4,G#,Bass clarinet,55
G4,G,Bass clarinet,56
F4,F,Bass clarinet,57
G4,G,Bass clarinet,58
G#4,G#,Bass clarinet,59
G4,G,Bass clarinet,60
F4,F,Bass clarinet,61
G#4,G#,Bass clarinet,62
G#4,G#,Bass clarinet,63
G#4,G#,Bass clarinet,64
G#4,G#,Bass clarinet,65
G#4,G#,Bass clarinet,66
B-4,B-,Bass clarinet,67
G#4,G#,Bass clarinet,68
G4,G,Bass clarinet,69
G#4,G#,Bass clarinet,70
B-4,B-,Bass clarinet,71
G4,G,Bass clarinet,72
G4,G,Bass clarinet,73
C5,C,Bass clarinet,74
C5,C,Bass clarinet,75
C5,C,Bass clarinet,76
C5,C,Bass clarinet,77
B-4,B-,Bass clarinet,78
G#4,G#,Bass clarinet,79
G#4,G#,Bass clarinet,80
G4,G,Bass clarinet,81
F#4,F#,Bass clarinet,82
G4,G,Bass clarinet,83
E4,E,Bass clarinet,84
E4,E,Bass clarinet,85
E4,E,Bass clarinet,86
D4,D,Bass clarinet,87
E4,E,Bass clarinet,88
D4,D,Bass clarinet,89
E4,E,Bass clarinet,90
D4,D,Bass clarinet,91
E4,E,Bass clarinet,92
F4,F,Bass clarinet,93
G4,G,Bass clarinet,94
A4,A,Bass clarinet,95
D4,D,Bass clarinet,96
D4,D,Bass clarinet,97
D4,D,Bass clarinet,98
C4,C,Bass clarinet,99
D4,D,Bass clarinet,100
C4,C,Bass clarinet,101
D4,D,Bass clarinet,102
E4,E,Bass clarinet,103
F4,F,Bass clarinet,104
F#4,F#,Bass clarinet,105
A4,A,Bass clarinet,106
G4,G,Bass clarinet,107
A4,A,Bass clarinet,108
B4,B,Bass clarinet,109
C5,C,Bass clarinet,110
B4,B,Bass clarinet,111
A4,A,Bass clarinet,112
B4,B,Bass clarinet,113
A4,A,Bass clarinet,114
G4,G,Bass clarinet,115
G4,G,Bass clarinet,116
F4,F,Bass clarinet,117
G4,G,Bass clarinet,118
A4,A,Bass clarinet,119
G4,G,Bass clarinet,120
F4,F,Bass clarinet,121
G4,G,Bass clarinet,122
E4,E,Bass clarinet,123
A4,A,Bass clarinet,124
B4,B,Bass clarinet,125
C5,C,Bass clarinet,126
B4,B,Bass clarinet,127
A4,A,Bass clarinet,128
G4,G,Bass clarinet,129
C5,C,Bass clarinet,130
C5,C,Bass clarinet,131
B4,B,Bass clarinet,132
A4,A,Bass clarinet,133
A4,A,Bass clarinet,134
G4,G,Bass clarinet,135
F4,F,Bass clarinet,136
F4,F,Bass clarinet,137
E4,E,Bass clarinet,138
D4,D,Bass clarinet,139
C4,C,Bass clarinet,140
B4,B,Bass clarinet,141
C5,C,Bass clarinet,142
D5,D,Bass clarinet,143
D5,D,Bass clarinet,144
B4,B,Bass clarinet,145
C5,C,Bass clarinet,146
C5,C,Bass clarinet,147
B4,B,Bass clarinet,148
C5,C,Bass clarinet,149
D5,D,Bass clarinet,150
B4,B,Bass clarinet,151
B4,B,Bass clarinet,152
B4,B,Bass clarinet,153
C5,C,Bass clarinet,154
D5,D,Bass clarinet,155
D5,D,Bass clarinet,156
B4,B,Bass clarinet,157
C5,C,Bass clarinet,158
C5,C,Bass clarinet,159
B4,B,Bass clarinet,160
C5,C,Bass clarinet,161
D5,D,Bass clarinet,162
B4,B,Bass clarinet,163
E4,E,Bass clarinet,164
F4,F,Bass clarinet,165
G4,G,Bass clarinet,166
G4,G,Bass clarinet,167
A4,A,Bass clarinet,168
B-4,B-,Bass clarinet,169
B-4,B-,Bass clarinet,170
B-4,B-,Bass clarinet,171
B-4,B-,Bass clarinet,172
A4,A,Bass clarinet,173
F#4,F#,Bass clarinet,174
G4,G,Bass clarinet,175
A4,A,Bass clarinet,176
