NoteOctave,Note,Instrument,Position
E-3,E-,Acoustic Bass,0
E-2,E-,Acoustic Bass,1
C2,C,Acoustic Bass,2
C2,C,Acoustic Bass,3
C2,C,Acoustic Bass,4
C2,C,Acoustic Bass,5
C2,C,Acoustic Bass,6
C2,C,Acoustic Bass,7
C2,C,Acoustic Bass,8
C2,C,Acoustic Bass,9
C2,C,Acoustic Bass,10
F2,F,Acoustic Bass,11
F2,F,Acoustic Bass,12
F2,F,Acoustic Bass,13
F2,F,Acoustic Bass,14
F2,F,Acoustic Bass,15
F2,F,Acoustic Bass,16
F3,F,Acoustic Bass,17
F2,F,Acoustic Bass,18
B-2,B-,Acoustic Bass,19
B-2,B-,Acoustic Bass,20
E-2,E-,Acoustic Bass,21
E-2,E-,Acoustic Bass,22
E-2,E-,Acoustic Bass,23
E-2,E-,Acoustic Bass,24
E-2,E-,Acoustic Bass,25
E-2,E-,Acoustic Bass,26
E-2,E-,Acoustic Bass,27
E-2,E-,Acoustic Bass,28
E-2,E-,Acoustic Bass,29
E-2,E-,Acoustic Bass,30
E-2,E-,Acoustic Bass,31
E-2,E-,Acoustic Bass,32
B-2,B-,Acoustic Bass,33
B-2,B-,Acoustic Bass,34
B-2,B-,Acoustic Bass,35
B-2,B-,Acoustic Bass,36
E-2,E-,Acoustic Bass,37
E-2,E-,Acoustic Bass,38
E-2,E-,Acoustic Bass,39
E-2,E-,Acoustic Bass,40
E-2,E-,Acoustic Bass,41
E-2,E-,Acoustic Bass,42
E-2,E-,Acoustic Bass,43
E-2,E-,Acoustic Bass,44
E-2,E-,Acoustic Bass,45
E-2,E-,Acoustic Bass,46
E-2,E-,Acoustic Bass,47
E-2,E-,Acoustic Bass,48
D2,D,Acoustic Bass,49
D2,D,Acoustic Bass,50
D2,D,Acoustic Bass,51
D2,D,Acoustic Bass,52
G2,G,Acoustic Bass,53
G2,G,Acoustic Bass,54
G2,G,Acoustic Bass,55
G2,G,Acoustic Bass,56
B-2,B-,Acoustic Bass,57
B-2,B-,Acoustic Bass,58
B-2,B-,Acoustic Bass,59
B-2,B-,Acoustic Bass,60
E-2,E-,Acoustic Bass,61
E-2,E-,Acoustic Bass,62
E-2,E-,Acoustic Bass,63
E-2,E-,Acoustic Bass,64
C2,C,Acoustic Bass,65
C2,C,Acoustic Bass,66
C2,C,Acoustic Bass,67
C2,C,Acoustic Bass,68
C2,C,Acoustic Bass,69
C2,C,Acoustic Bass,70
E-2,E-,Acoustic Bass,71
D2,D,Acoustic Bass,72
C2,C,Acoustic Bass,73
D2,D,Acoustic Bass,74
G2,G,Acoustic Bass,75
G2,G,Acoustic Bass,76
G2,G,Acoustic Bass,77
G2,G,Acoustic Bass,78
G2,G,Acoustic Bass,79
G#2,G#,Acoustic Bass,80
G#2,G#,Acoustic Bass,81
G#2,G#,Acoustic Bass,82
G#2,G#,Acoustic Bass,83
G#2,G#,Acoustic Bass,84
G#2,G#,Acoustic Bass,85
C3,C,Acoustic Bass,86
B-2,B-,Acoustic Bass,87
G#2,G#,Acoustic Bass,88
B-2,B-,Acoustic Bass,89
E-2,E-,Acoustic Bass,90
E-2,E-,Acoustic Bass,91
E-2,E-,Acoustic Bass,92
E-2,E-,Acoustic Bass,93
E-2,E-,Acoustic Bass,94
E-2,E-,Acoustic Bass,95
E-2,E-,Acoustic Bass,96
E-2,E-,Acoustic Bass,97
E-2,E-,Acoustic Bass,98
G#2,G#,Acoustic Bass,99
G#2,G#,Acoustic Bass,100
A2,A,Acoustic Bass,101
A2,A,Acoustic Bass,102
B-2,B-,Acoustic Bass,103
B-2,B-,Acoustic Bass,104
B-2,B-,Acoustic Bass,105
B-2,B-,Acoustic Bass,106
E-2,E-,Acoustic Bass,107
E-2,E-,Acoustic Bass,108
E-2,E-,Acoustic Bass,109
G#2,G#,Acoustic Bass,110
G#2,G#,Acoustic Bass,111
G#2,G#,Acoustic Bass,112
G#2,G#,Acoustic Bass,113
E-2,E-,Acoustic Bass,114
G#2,G#,Acoustic Bass,115
G#2,G#,Acoustic Bass,116
G#2,G#,Acoustic Bass,117
G#2,G#,Acoustic Bass,118
G#2,G#,Acoustic Bass,119
F2,F,Acoustic Bass,120
F2,F,Acoustic Bass,121
F2,F,Acoustic Bass,122
F2,F,Acoustic Bass,123
F2,F,Acoustic Bass,124
B-2,B-,Acoustic Bass,125
B-2,B-,Acoustic Bass,126
B-2,B-,Acoustic Bass,127
B-2,B-,Acoustic Bass,128
B-2,B-,Acoustic Bass,129
B-2,B-,Acoustic Bass,130
B-2,B-,Acoustic Bass,131
B-2,B-,Acoustic Bass,132
B-2,B-,Acoustic Bass,133
F2,F,Acoustic Bass,134
B-2,B-,Acoustic Bass,135
B-2,B-,Acoustic Bass,136
B-2,B-,Acoustic Bass,137
B-2,B-,Acoustic Bass,138
B-2,B-,Acoustic Bass,139
E-2,E-,Acoustic Bass,140
E-2,E-,Acoustic Bass,141
E-2,E-,Acoustic Bass,142
E-2,E-,Acoustic Bass,143
E-2,E-,Acoustic Bass,144
G#2,G#,Acoustic Bass,145
G#2,G#,Acoustic Bass,146
G#2,G#,Acoustic Bass,147
G#2,G#,Acoustic Bass,148
B-2,B-,Acoustic Bass,149
B-2,B-,Acoustic Bass,150
E-2,E-,Acoustic Bass,151
E-2,E-,Acoustic Bass,152
C2,C,Acoustic Bass,153
C2,C,Acoustic Bass,154
F2,F,Acoustic Bass,155
F2,F,Acoustic Bass,156
B-2,B-,Acoustic Bass,157
B-2,B-,Acoustic Bass,158
B-2,B-,Acoustic Bass,159
B-2,B-,Acoustic Bass,160
B-2,B-,Acoustic Bass,161
E-2,E-,Acoustic Bass,162
E-2,E-,Acoustic Bass,163
E-2,E-,Acoustic Bass,164
E-2,E-,Acoustic Bass,165
E-2,E-,Acoustic Bass,166
B-2,B-,Acoustic Bass,167
B-2,B-,Acoustic Bass,168
E-3,E-,Acoustic Bass,169
E-2,E-,Acoustic Bass,170
E-2,E-,Acoustic Bass,171
E-3,E-,Acoustic Bass,172
E-2,E-,Acoustic Bass,173
C2,C,Acoustic Bass,174
C2,C,Acoustic Bass,175
C2,C,Acoustic Bass,176
C2,C,Acoustic Bass,177
C2,C,Acoustic Bass,178
C2,C,Acoustic Bass,179
C2,C,Acoustic Bass,180
C2,C,Acoustic Bass,181
C2,C,Acoustic Bass,182
F2,F,Acoustic Bass,183
F2,F,Acoustic Bass,184
F2,F,Acoustic Bass,185
F2,F,Acoustic Bass,186
F2,F,Acoustic Bass,187
F2,F,Acoustic Bass,188
F3,F,Acoustic Bass,189
F2,F,Acoustic Bass,190
B-2,B-,Acoustic Bass,191
B-2,B-,Acoustic Bass,192
E-2,E-,Acoustic Bass,193
E-2,E-,Acoustic Bass,194
E-2,E-,Acoustic Bass,195
E-2,E-,Acoustic Bass,196
E-2,E-,Acoustic Bass,197
E-2,E-,Acoustic Bass,198
E-2,E-,Acoustic Bass,199
E-2,E-,Acoustic Bass,200
E-2,E-,Acoustic Bass,201
E-2,E-,Acoustic Bass,202
E-2,E-,Acoustic Bass,203
E-2,E-,Acoustic Bass,204
B-2,B-,Acoustic Bass,205
B-2,B-,Acoustic Bass,206
B-2,B-,Acoustic Bass,207
B-2,B-,Acoustic Bass,208
E-2,E-,Acoustic Bass,209
E-2,E-,Acoustic Bass,210
E-2,E-,Acoustic Bass,211
E-2,E-,Acoustic Bass,212
E-2,E-,Acoustic Bass,213
E-2,E-,Acoustic Bass,214
E-2,E-,Acoustic Bass,215
E-2,E-,Acoustic Bass,216
E-2,E-,Acoustic Bass,217
E-2,E-,Acoustic Bass,218
E-2,E-,Acoustic Bass,219
E-2,E-,Acoustic Bass,220
D2,D,Acoustic Bass,221
D2,D,Acoustic Bass,222
D2,D,Acoustic Bass,223
D2,D,Acoustic Bass,224
G2,G,Acoustic Bass,225
G2,G,Acoustic Bass,226
G2,G,Acoustic Bass,227
G2,G,Acoustic Bass,228
B-2,B-,Acoustic Bass,229
B-2,B-,Acoustic Bass,230
B-2,B-,Acoustic Bass,231
B-2,B-,Acoustic Bass,232
E-2,E-,Acoustic Bass,233
E-2,E-,Acoustic Bass,234
E-2,E-,Acoustic Bass,235
E-2,E-,Acoustic Bass,236
C2,C,Acoustic Bass,237
C2,C,Acoustic Bass,238
C2,C,Acoustic Bass,239
C2,C,Acoustic Bass,240
C2,C,Acoustic Bass,241
C2,C,Acoustic Bass,242
E-2,E-,Acoustic Bass,243
D2,D,Acoustic Bass,244
C2,C,Acoustic Bass,245
D2,D,Acoustic Bass,246
G2,G,Acoustic Bass,247
G2,G,Acoustic Bass,248
G2,G,Acoustic Bass,249
G2,G,Acoustic Bass,250
G2,G,Acoustic Bass,251
G#2,G#,Acoustic Bass,252
G#2,G#,Acoustic Bass,253
G#2,G#,Acoustic Bass,254
G#2,G#,Acoustic Bass,255
G#2,G#,Acoustic Bass,256
G#2,G#,Acoustic Bass,257
C3,C,Acoustic Bass,258
B-2,B-,Acoustic Bass,259
G#2,G#,Acoustic Bass,260
B-2,B-,Acoustic Bass,261
E-2,E-,Acoustic Bass,262
E-2,E-,Acoustic Bass,263
E-2,E-,Acoustic Bass,264
E-2,E-,Acoustic Bass,265
E-2,E-,Acoustic Bass,266
E-2,E-,Acoustic Bass,267
E-2,E-,Acoustic Bass,268
E-2,E-,Acoustic Bass,269
E-2,E-,Acoustic Bass,270
G#2,G#,Acoustic Bass,271
G#2,G#,Acoustic Bass,272
A2,A,Acoustic Bass,273
A2,A,Acoustic Bass,274
B-2,B-,Acoustic Bass,275
B-2,B-,Acoustic Bass,276
B-2,B-,Acoustic Bass,277
B-2,B-,Acoustic Bass,278
E-2,E-,Acoustic Bass,279
E-2,E-,Acoustic Bass,280
E-2,E-,Acoustic Bass,281
E-4,E-,Reed Organ,0
E-3,E-,Reed Organ,1
F4,F,Reed Organ,2
F3,F,Reed Organ,3
B-2,B-,Reed Organ,4
B-2,B-,Reed Organ,5
B-2,B-,Reed Organ,6
B-2,B-,Reed Organ,7
B-2,B-,Reed Organ,8
E-4,E-,Reed Organ,9
E-3,E-,Reed Organ,10
F4,F,Reed Organ,11
F3,F,Reed Organ,12
B-2,B-,Reed Organ,13
B-2,B-,Reed Organ,14
B-2,B-,Reed Organ,15
B-2,B-,Reed Organ,16
