NoteOctave,Note,Instrument,Position
B-3,B-,Harmonica,0
B-3,B-,Harmonica,1
B-3,B-,Harmonica,2
B-3,B-,Harmonica,3
E-4,E-,Harmonica,4
E-4,E-,Harmonica,5
G4,G,Harmonica,6
F4,F,Harmonica,7
D4,D,Harmonica,8
F4,F,Harmonica,9
E4,E,Harmonica,10
D4,D,Harmonica,11
F4,F,Harmonica,12
E-4,E-,Harmonica,13
B-3,B-,Harmonica,14
B-3,B-,Harmonica,15
B-3,B-,Harmonica,16
B-3,B-,Harmonica,17
E-4,E-,Harmonica,18
E-4,E-,Harmonica,19
G4,G,Harmonica,20
E-4,E-,Harmonica,21
D4,D,Harmonica,22
B-3,B-,Harmonica,23
E-4,E-,Harmonica,24
B-3,B-,Harmonica,25
B-3,B-,Harmonica,26
E-4,E-,Harmonica,27
B-3,B-,Harmonica,28
B-3,B-,Harmonica,29
G4,G,Harmonica,30
E-4,E-,Harmonica,31
E-4,E-,Harmonica,32
G4,G,Harmonica,33
F4,F,Harmonica,34
D4,D,Harmonica,35
F4,F,Harmonica,36
E4,E,Harmonica,37
D4,D,Harmonica,38
F4,F,Harmonica,39
E-4,E-,Harmonica,40
B-3,B-,Harmonica,41
B-3,B-,Harmonica,42
E-4,E-,Harmonica,43
B-3,B-,Harmonica,44
B-3,B-,Harmonica,45
G4,G,Harmonica,46
E-4,E-,Harmonica,47
E-4,E-,Harmonica,48
G4,G,Harmonica,49
E-4,E-,Harmonica,50
D4,D,Harmonica,51
B-3,B-,Harmonica,52
E-4,E-,Harmonica,53
C5,C,Harmonica,54
C5,C,Harmonica,55
B-4,B-,Harmonica,56
E-4,E-,Harmonica,57
E-4,E-,Harmonica,58
C5,C,Harmonica,59
C5,C,Harmonica,60
B4,B,Harmonica,61
B4,B,Harmonica,62
B4,B,Harmonica,63
B4,B,Harmonica,64
C5,C,Harmonica,65
D5,D,Harmonica,66
B-3,B-,Harmonica,67
C4,C,Harmonica,68
D4,D,Harmonica,69
E-4,E-,Harmonica,70
F4,F,Harmonica,71
G4,G,Harmonica,72
E-4,E-,Harmonica,73
E-4,E-,Harmonica,74
B-4,B-,Harmonica,75
G4,G,Harmonica,76
B-4,B-,Harmonica,77
F4,F,Harmonica,78
B-3,B-,Harmonica,79
C4,C,Harmonica,80
D4,D,Harmonica,81
E-4,E-,Harmonica,82
F4,F,Harmonica,83
G4,G,Harmonica,84
E-4,E-,Harmonica,85
E-4,E-,Harmonica,86
F4,F,Harmonica,87
F4,F,Harmonica,88
G4,G,Harmonica,89
B-4,B-,Harmonica,90
B-4,B-,Harmonica,91
D4,D,Harmonica,92
G#4,G#,Harmonica,93
G4,G,Harmonica,94
F4,F,Harmonica,95
E-4,E-,Harmonica,96
G4,G,Harmonica,97
B-4,B-,Harmonica,98
B-4,B-,Harmonica,99
D4,D,Harmonica,100
G#4,G#,Harmonica,101
G4,G,Harmonica,102
F4,F,Harmonica,103
B-3,B-,Harmonica,104
B-3,B-,Harmonica,105
E-4,E-,Harmonica,106
B-3,B-,Harmonica,107
B-3,B-,Harmonica,108
G4,G,Harmonica,109
E-4,E-,Harmonica,110
E-4,E-,Harmonica,111
G4,G,Harmonica,112
F4,F,Harmonica,113
D4,D,Harmonica,114
F4,F,Harmonica,115
E4,E,Harmonica,116
D4,D,Harmonica,117
F4,F,Harmonica,118
E-4,E-,Harmonica,119
B-3,B-,Harmonica,120
B-3,B-,Harmonica,121
E-4,E-,Harmonica,122
B-3,B-,Harmonica,123
B-3,B-,Harmonica,124
G4,G,Harmonica,125
E-4,E-,Harmonica,126
E-4,E-,Harmonica,127
G4,G,Harmonica,128
E-4,E-,Harmonica,129
F4,F,Harmonica,130
D4,D,Harmonica,131
B-3,B-,Harmonica,132
E-4,E-,Harmonica,133
E-2,E-,Acoustic Bass,0
B-2,B-,Acoustic Bass,1
E-2,E-,Acoustic Bass,2
B-2,B-,Acoustic Bass,3
E-2,E-,Acoustic Bass,4
B-2,B-,Acoustic Bass,5
B-2,B-,Acoustic Bass,6
B-2,B-,Acoustic Bass,7
B-2,B-,Acoustic Bass,8
B-2,B-,Acoustic Bass,9
B-2,B-,Acoustic Bass,10
B-2,B-,Acoustic Bass,11
E-2,E-,Acoustic Bass,12
B-2,B-,Acoustic Bass,13
B-2,B-,Acoustic Bass,14
B-2,B-,Acoustic Bass,15
E-2,E-,Acoustic Bass,16
B-2,B-,Acoustic Bass,17
E-2,E-,Acoustic Bass,18
B-2,B-,Acoustic Bass,19
G#2,G#,Acoustic Bass,20
E-3,E-,Acoustic Bass,21
E-3,E-,Acoustic Bass,22
E-3,E-,Acoustic Bass,23
E-3,E-,Acoustic Bass,24
B-2,B-,Acoustic Bass,25
B-2,B-,Acoustic Bass,26
F3,F,Acoustic Bass,27
E-3,E-,Acoustic Bass,28
E-2,E-,Acoustic Bass,29
E-2,E-,Acoustic Bass,30
E-2,E-,Acoustic Bass,31
E-2,E-,Acoustic Bass,32
B-2,B-,Acoustic Bass,33
E-2,E-,Acoustic Bass,34
B-2,B-,Acoustic Bass,35
E-2,E-,Acoustic Bass,36
B-2,B-,Acoustic Bass,37
B-2,B-,Acoustic Bass,38
B-2,B-,Acoustic Bass,39
B-2,B-,Acoustic Bass,40
B-2,B-,Acoustic Bass,41
B-2,B-,Acoustic Bass,42
B-2,B-,Acoustic Bass,43
E-2,E-,Acoustic Bass,44
B-2,B-,Acoustic Bass,45
B-2,B-,Acoustic Bass,46
B-2,B-,Acoustic Bass,47
E-2,E-,Acoustic Bass,48
B-2,B-,Acoustic Bass,49
E-2,E-,Acoustic Bass,50
B-2,B-,Acoustic Bass,51
G#2,G#,Acoustic Bass,52
E-3,E-,Acoustic Bass,53
E-3,E-,Acoustic Bass,54
E-3,E-,Acoustic Bass,55
E-3,E-,Acoustic Bass,56
E-3,E-,Acoustic Bass,57
B-2,B-,Acoustic Bass,58
F3,F,Acoustic Bass,59
E-3,E-,Acoustic Bass,60
E-2,E-,Acoustic Bass,61
E-2,E-,Acoustic Bass,62
E-2,E-,Acoustic Bass,63
B-2,B-,Acoustic Bass,64
F3,F,Acoustic Bass,65
B-2,B-,Acoustic Bass,66
E-3,E-,Acoustic Bass,67
E-3,E-,Acoustic Bass,68
E-2,E-,Acoustic Bass,69
D3,D,Acoustic Bass,70
D3,D,Acoustic Bass,71
D3,D,Acoustic Bass,72
D3,D,Acoustic Bass,73
G2,G,Acoustic Bass,74
G2,G,Acoustic Bass,75
G2,G,Acoustic Bass,76
E-2,E-,Acoustic Bass,77
B-2,B-,Acoustic Bass,78
F2,F,Acoustic Bass,79
D3,D,Acoustic Bass,80
G2,G,Acoustic Bass,81
E-3,E-,Acoustic Bass,82
G#2,G#,Acoustic Bass,83
E-3,E-,Acoustic Bass,84
B-2,B-,Acoustic Bass,85
E-3,E-,Acoustic Bass,86
B-2,B-,Acoustic Bass,87
B-2,B-,Acoustic Bass,88
E-2,E-,Acoustic Bass,89
B-2,B-,Acoustic Bass,90
G#2,G#,Acoustic Bass,91
E-3,E-,Acoustic Bass,92
B-2,B-,Acoustic Bass,93
E-3,E-,Acoustic Bass,94
B-2,B-,Acoustic Bass,95
B-2,B-,Acoustic Bass,96
E-2,E-,Acoustic Bass,97
E-2,E-,Acoustic Bass,98
E-2,E-,Acoustic Bass,99
E-2,E-,Acoustic Bass,100
B-2,B-,Acoustic Bass,101
D3,D,Acoustic Bass,102
B-2,B-,Acoustic Bass,103
E-3,E-,Acoustic Bass,104
B-2,B-,Acoustic Bass,105
D3,D,Acoustic Bass,106
D3,D,Acoustic Bass,107
D3,D,Acoustic Bass,108
B-2,B-,Acoustic Bass,109
D3,D,Acoustic Bass,110
F2,F,Acoustic Bass,111
C3,C,Acoustic Bass,112
B-2,B-,Acoustic Bass,113
B-2,B-,Acoustic Bass,114
B-2,B-,Acoustic Bass,115
A2,A,Acoustic Bass,116
G#2,G#,Acoustic Bass,117
G2,G,Acoustic Bass,118
F2,F,Acoustic Bass,119
E-2,E-,Acoustic Bass,120
E-2,E-,Acoustic Bass,121
F2,F,Acoustic Bass,122
F2,F,Acoustic Bass,123
G2,G,Acoustic Bass,124
B-2,B-,Acoustic Bass,125
G#2,G#,Acoustic Bass,126
E-3,E-,Acoustic Bass,127
B-2,B-,Acoustic Bass,128
E-3,E-,Acoustic Bass,129
B-2,B-,Acoustic Bass,130
D3,D,Acoustic Bass,131
E-3,E-,Acoustic Bass,132
E-3,E-,Acoustic Bass,133
G#2,G#,Acoustic Bass,134
G#2,G#,Acoustic Bass,135
B-2,B-,Acoustic Bass,136
E-3,E-,Acoustic Bass,137
B-2,B-,Acoustic Bass,138
D3,D,Acoustic Bass,139
E-2,E-,Acoustic Bass,140
E-2,E-,Acoustic Bass,141
E-2,E-,Acoustic Bass,142
E-2,E-,Acoustic Bass,143
E-2,E-,Acoustic Bass,144
B-2,B-,Acoustic Bass,145
