NoteOctave,Note,Instrument,Position
B-4,B-,StringInstrument,0
B-3,B-,StringInstrument,1
B-4,B-,StringInstrument,2
B-3,B-,StringInstrument,3
E-5,E-,StringInstrument,4
E-4,E-,StringInstrument,5
B-4,B-,StringInstrument,6
B-3,B-,StringInstrument,7
B-1,B-,StringInstrument,8
F4,F,StringInstrument,9
B-3,B-,StringInstrument,10
E-5,E-,StringInstrument,11
G5,G,StringInstrument,12
F5,F,StringInstrument,13
C3,C,StringInstrument,14
B-2,B-,StringInstrument,15
G#2,G#,StringInstrument,16
B-2,B-,StringInstrument,17
G#2,G#,StringInstrument,18
G2,G,StringInstrument,19
G#2,G#,StringInstrument,20
G2,G,StringInstrument,21
F2,F,StringInstrument,22
G2,G,StringInstrument,23
F2,F,StringInstrument,24
B-3,B-,StringInstrument,25
B-4,B-,StringInstrument,26
B-3,B-,StringInstrument,27
E-5,E-,StringInstrument,28
E-4,E-,StringInstrument,29
B-4,B-,StringInstrument,30
B-3,B-,StringInstrument,31
B-1,B-,StringInstrument,32
F5,F,StringInstrument,33
B-4,B-,StringInstrument,34
B-4,B-,StringInstrument,35
B-3,B-,StringInstrument,36
G2,G,StringInstrument,37
G3,G,StringInstrument,38
E-3,E-,StringInstrument,39
E-2,E-,StringInstrument,40
E-4,E-,StringInstrument,41
E-2,E-,StringInstrument,42
E-3,E-,StringInstrument,43
B-2,B-,StringInstrument,44
E-3,E-,StringInstrument,45
B-2,B-,StringInstrument,46
B-2,B-,StringInstrument,47
E-5,E-,StringInstrument,48
D3,D,StringInstrument,49
D5,D,StringInstrument,50
B-2,B-,StringInstrument,51
G#4,G#,StringInstrument,52
E-4,E-,StringInstrument,53
B-3,B-,StringInstrument,54
F2,F,StringInstrument,55
F3,F,StringInstrument,56
E-2,E-,StringInstrument,57
E-3,E-,StringInstrument,58
B-2,B-,StringInstrument,59
E-5,E-,StringInstrument,60
G5,G,StringInstrument,61
G3,G,StringInstrument,62
G2,G,StringInstrument,63
E-6,E-,StringInstrument,64
B-2,B-,StringInstrument,65
E-2,E-,StringInstrument,66
G5,G,StringInstrument,67
B-2,B-,StringInstrument,68
F3,F,StringInstrument,69
F2,F,StringInstrument,70
G#5,G#,StringInstrument,71
D2,D,StringInstrument,72
D3,D,StringInstrument,73
G4,G,StringInstrument,74
E-5,E-,StringInstrument,75
D5,D,StringInstrument,76
C3,C,StringInstrument,77
C5,C,StringInstrument,78
C5,C,StringInstrument,79
G4,G,StringInstrument,80
F5,F,StringInstrument,81
D5,D,StringInstrument,82
E-2,E-,StringInstrument,83
G5,G,StringInstrument,84
C3,C,StringInstrument,85
G4,G,StringInstrument,86
C5,C,StringInstrument,87
G4,G,StringInstrument,88
G5,G,StringInstrument,89
G5,G,StringInstrument,90
D2,D,StringInstrument,91
G5,G,StringInstrument,92
G4,G,StringInstrument,93
F5,F,StringInstrument,94
E-5,E-,StringInstrument,95
B-2,B-,StringInstrument,96
D5,D,StringInstrument,97
G#4,G#,StringInstrument,98
F3,F,StringInstrument,99
G5,G,StringInstrument,100
D5,D,StringInstrument,101
D3,D,StringInstrument,102
G5,G,StringInstrument,103
F5,F,StringInstrument,104
G#4,G#,StringInstrument,105
E-2,E-,StringInstrument,106
G4,G,StringInstrument,107
E-5,E-,StringInstrument,108
F2,F,StringInstrument,109
G4,G,StringInstrument,110
B-4,B-,StringInstrument,111
E-4,E-,StringInstrument,112
E-5,E-,StringInstrument,113
B-4,B-,StringInstrument,114
B-5,B-,StringInstrument,115
B-2,B-,StringInstrument,116
B-1,B-,StringInstrument,117
D6,D,StringInstrument,118
B-5,B-,StringInstrument,119
G#5,G#,StringInstrument,120
B-5,B-,StringInstrument,121
G5,G,StringInstrument,122
F5,F,StringInstrument,123
B-2,B-,StringInstrument,124
B-1,B-,StringInstrument,125
G#5,G#,StringInstrument,126
D5,D,StringInstrument,127
B-5,B-,StringInstrument,128
E-5,E-,StringInstrument,129
E-5,E-,StringInstrument,130
D5,D,StringInstrument,131
C5,C,StringInstrument,132
C3,C,StringInstrument,133
G4,G,StringInstrument,134
C5,C,StringInstrument,135
D5,D,StringInstrument,136
F5,F,StringInstrument,137
E-5,E-,StringInstrument,138
E-2,E-,StringInstrument,139
G4,G,StringInstrument,140
C3,C,StringInstrument,141
C5,C,StringInstrument,142
G4,G,StringInstrument,143
G5,G,StringInstrument,144
D2,D,StringInstrument,145
G5,G,StringInstrument,146
G5,G,StringInstrument,147
G4,G,StringInstrument,148
F5,F,StringInstrument,149
E-5,E-,StringInstrument,150
D5,D,StringInstrument,151
B-2,B-,StringInstrument,152
F3,F,StringInstrument,153
G#4,G#,StringInstrument,154
G5,G,StringInstrument,155
D3,D,StringInstrument,156
D5,D,StringInstrument,157
G#4,G#,StringInstrument,158
F5,F,StringInstrument,159
E-2,E-,StringInstrument,160
G4,G,StringInstrument,161
F2,F,StringInstrument,162
E-5,E-,StringInstrument,163
G4,G,StringInstrument,164
B-4,B-,StringInstrument,165
E-5,E-,StringInstrument,166
E-4,E-,StringInstrument,167
