NoteOctave,Note,Instrument,Position
A4,A,Pan Flute,0
B4,B,Pan Flute,1
A4,A,Pan Flute,2
E4,E,Pan Flute,3
G4,G,Pan Flute,4
F#4,F#,Pan Flute,5
E4,E,Pan Flute,6
D4,D,Pan Flute,7
D4,D,Pan Flute,8
D4,D,Pan Flute,9
D4,D,Pan Flute,10
G4,G,Pan Flute,11
G4,G,Pan Flute,12
A4,A,Pan Flute,13
B4,B,Pan Flute,14
A4,A,Pan Flute,15
F#4,F#,Pan Flute,16
D4,D,Pan Flute,17
D4,D,Pan Flute,18
D4,D,Pan Flute,19
D4,D,Pan Flute,20
G4,G,Pan Flute,21
G4,G,Pan Flute,22
B4,B,Pan Flute,23
D5,D,Pan Flute,24
C#5,C#,Pan Flute,25
B4,B,Pan Flute,26
B4,B,Pan Flute,27
A4,A,Pan Flute,28
A4,A,Pan Flute,29
A4,A,Pan Flute,30
A4,A,Pan Flute,31
B4,B,Pan Flute,32
A4,A,Pan Flute,33
G4,G,Pan Flute,34
F#4,F#,Pan Flute,35
A4,A,Pan Flute,36
A4,A,Pan Flute,37
C#5,C#,Pan Flute,38
B4,B,Pan Flute,39
A4,A,Pan Flute,40
G4,G,Pan Flute,41
F#4,F#,Pan Flute,42
F#4,F#,Pan Flute,43
F#4,F#,Pan Flute,44
F#4,F#,Pan Flute,45
F#4,F#,Pan Flute,46
G#4,G#,Pan Flute,47
B-4,B-,Pan Flute,48
B-4,B-,Pan Flute,49
B4,B,Pan Flute,50
B4,B,Pan Flute,51
B4,B,Pan Flute,52
B4,B,Pan Flute,53
B4,B,Pan Flute,54
A4,A,Pan Flute,55
A4,A,Pan Flute,56
G4,G,Pan Flute,57
A4,A,Pan Flute,58
F#4,F#,Pan Flute,59
D5,D,Pan Flute,60
C#5,C#,Pan Flute,61
B4,B,Pan Flute,62
B4,B,Pan Flute,63
A4,A,Pan Flute,64
E4,E,Pan Flute,65
F#4,F#,Pan Flute,66
D4,D,Pan Flute,67
F#4,F#,Pan Flute,68
G#4,G#,Pan Flute,69
A4,A,Pan Flute,70
A4,A,Pan Flute,71
