NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
G4,G,Trumpet,1
E4,E,Trumpet,2
D4,D,Trumpet,3
G4,G,Trumpet,4
A4,A,Trumpet,5
G4,G,Trumpet,6
B4,B,Trumpet,7
D5,D,Trumpet,8
E5,E,Trumpet,9
D5,D,Trumpet,10
B4,B,Trumpet,11
A4,A,Trumpet,12
B4,B,Trumpet,13
G4,G,Trumpet,14
G4,G,Trumpet,15
B4,B,Trumpet,16
G4,G,Trumpet,17
A4,A,Trumpet,18
G4,G,Trumpet,19
D4,D,Trumpet,20
D4,D,Trumpet,21
E4,E,Trumpet,22
D4,D,Trumpet,23
G4,G,Trumpet,24
D4,D,Trumpet,25
G4,G,Trumpet,26
B4,B,Trumpet,27
A4,A,Trumpet,28
G4,G,Trumpet,29
G4,G,Trumpet,30
D4,D,Trumpet,31
G4,G,Trumpet,32
E4,E,Trumpet,33
D4,D,Trumpet,34
G4,G,Trumpet,35
A4,A,Trumpet,36
G4,G,Trumpet,37
B4,B,Trumpet,38
D5,D,Trumpet,39
E5,E,Trumpet,40
D5,D,Trumpet,41
B4,B,Trumpet,42
A4,A,Trumpet,43
B4,B,Trumpet,44
G4,G,Trumpet,45
G4,G,Trumpet,46
B4,B,Trumpet,47
G4,G,Trumpet,48
A4,A,Trumpet,49
G4,G,Trumpet,50
D4,D,Trumpet,51
D4,D,Trumpet,52
E4,E,Trumpet,53
D4,D,Trumpet,54
G4,G,Trumpet,55
D4,D,Trumpet,56
G4,G,Trumpet,57
B4,B,Trumpet,58
A4,A,Trumpet,59
G4,G,Trumpet,60
G4,G,Trumpet,61
D5,D,Trumpet,62
E5,E,Trumpet,63
B4,B,Trumpet,64
A4,A,Trumpet,65
G4,G,Trumpet,66
A4,A,Trumpet,67
A4,A,Trumpet,68
G4,G,Trumpet,69
G4,G,Trumpet,70
G4,G,Horn,0
D4,D,Horn,1
E3,E,Horn,2
G3,G,Horn,3
B3,B,Horn,4
D4,D,Horn,5
F#4,F#,Horn,6
A3,A,Horn,7
C4,C,Horn,8
E3,E,Horn,9
G3,G,Horn,10
B3,B,Horn,11
D4,D,Horn,12
F#4,F#,Horn,13
D4,D,Horn,14
F#4,F#,Horn,15
D4,D,Horn,16
C3,C,Bass Trombone,0
C3,C,Bass Trombone,1
C3,C,Bass Trombone,2
G3,G,Bass Trombone,3
