NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
D4,D,Trumpet,1
G4,G,Trumpet,2
B4,B,Trumpet,3
G4,G,Trumpet,4
D5,D,Trumpet,5
E5,E,Trumpet,6
D5,D,Trumpet,7
C#5,C#,Trumpet,8
D5,D,Trumpet,9
B4,B,Trumpet,10
C5,C,Trumpet,11
B4,B,Trumpet,12
A4,A,Trumpet,13
B4,B,Trumpet,14
A4,A,Trumpet,15
G4,G,Trumpet,16
D4,D,Trumpet,17
D4,D,Trumpet,18
G4,G,Trumpet,19
B4,B,Trumpet,20
G4,G,Trumpet,21
D5,D,Trumpet,22
E5,E,Trumpet,23
D5,D,Trumpet,24
C#5,C#,Trumpet,25
D5,D,Trumpet,26
B4,B,Trumpet,27
G4,G,Trumpet,28
G4,G,Trumpet,29
F#4,F#,Trumpet,30
B4,B,Trumpet,31
F#4,F#,Trumpet,32
D5,D,Trumpet,33
C#5,C#,Trumpet,34
D5,D,Trumpet,35
C#5,C#,Trumpet,36
B4,B,Trumpet,37
B3,B,Trumpet,38
D4,D,Trumpet,39
D4,D,Trumpet,40
A4,A,Trumpet,41
G#4,G#,Trumpet,42
A4,A,Trumpet,43
B4,B,Trumpet,44
C5,C,Trumpet,45
C#5,C#,Trumpet,46
C#5,C#,Trumpet,47
D5,D,Trumpet,48
B4,B,Trumpet,49
D4,D,Trumpet,50
D4,D,Trumpet,51
A4,A,Trumpet,52
G#4,G#,Trumpet,53
A4,A,Trumpet,54
B4,B,Trumpet,55
C5,C,Trumpet,56
C#5,C#,Trumpet,57
C#5,C#,Trumpet,58
D5,D,Trumpet,59
D4,D,Trumpet,60
D4,D,Trumpet,61
G4,G,Trumpet,62
B4,B,Trumpet,63
G4,G,Trumpet,64
D5,D,Trumpet,65
G4,G,Trumpet,66
G4,G,Trumpet,67
G5,G,Trumpet,68
E5,E,Trumpet,69
C5,C,Trumpet,70
A4,A,Trumpet,71
D5,D,Trumpet,72
G4,G,Trumpet,73
B4,B,Trumpet,74
C5,C,Trumpet,75
D4,D,Trumpet,76
F#4,F#,Trumpet,77
G4,G,Trumpet,78
G4,G,Trumpet,79
G4,G,Trumpet,80
G4,G,Trumpet,81
C4,C,Trumpet,82
E4,E,Trumpet,83
G4,G,Trumpet,84
G4,G,Trumpet,85
G4,G,Trumpet,86
F#4,F#,Trumpet,87
G4,G,Trumpet,88
A4,A,Trumpet,89
G4,G,Trumpet,90
C5,C,Trumpet,91
G4,G,Trumpet,92
G4,G,Trumpet,93
C5,C,Trumpet,94
B4,B,Trumpet,95
F4,F,Trumpet,96
A4,A,Trumpet,97
G4,G,Trumpet,98
D4,D,Trumpet,99
F4,F,Trumpet,100
E4,E,Trumpet,101
D4,D,Trumpet,102
C4,C,Trumpet,103
C4,C,Trumpet,104
E4,E,Trumpet,105
G4,G,Trumpet,106
G4,G,Trumpet,107
G4,G,Trumpet,108
G4,G,Trumpet,109
F#4,F#,Trumpet,110
G4,G,Trumpet,111
A4,A,Trumpet,112
G4,G,Trumpet,113
E5,E,Trumpet,114
C5,C,Trumpet,115
C5,C,Trumpet,116
C5,C,Trumpet,117
