NoteOctave,Note,Instrument,Position
C#4,C#,Pan Flute,0
E-4,E-,Pan Flute,1
F#4,F#,Pan Flute,2
F4,F,Pan Flute,3
F4,F,Pan Flute,4
F4,F,Pan Flute,5
F#4,F#,Pan Flute,6
F#4,F#,Pan Flute,7
B-4,B-,Pan Flute,8
G#4,G#,Pan Flute,9
G#4,G#,Pan Flute,10
C#5,C#,Pan Flute,11
C5,C,Pan Flute,12
C5,C,Pan Flute,13
B-4,B-,Pan Flute,14
G#4,G#,Pan Flute,15
F#4,F#,Pan Flute,16
F#4,F#,Pan Flute,17
F#4,F#,Pan Flute,18
C5,C,Pan Flute,19
B-4,B-,Pan Flute,20
B-4,B-,Pan Flute,21
G#4,G#,Pan Flute,22
F#4,F#,Pan Flute,23
F4,F,Pan Flute,24
C#4,C#,Pan Flute,25
E-4,E-,Pan Flute,26
F#4,F#,Pan Flute,27
F4,F,Pan Flute,28
F4,F,Pan Flute,29
F4,F,Pan Flute,30
F#4,F#,Pan Flute,31
F#4,F#,Pan Flute,32
B-4,B-,Pan Flute,33
G#4,G#,Pan Flute,34
G#4,G#,Pan Flute,35
B-4,B-,Pan Flute,36
C5,C,Pan Flute,37
C#5,C#,Pan Flute,38
C#5,C#,Pan Flute,39
F5,F,Pan Flute,40
E-5,E-,Pan Flute,41
C5,C,Pan Flute,42
C#5,C#,Pan Flute,43
B-4,B-,Pan Flute,44
G#4,G#,Pan Flute,45
C#4,C#,Pan Flute,46
E-4,E-,Pan Flute,47
F#4,F#,Pan Flute,48
F4,F,Pan Flute,49
F4,F,Pan Flute,50
F4,F,Pan Flute,51
F#4,F#,Pan Flute,52
F#4,F#,Pan Flute,53
B-4,B-,Pan Flute,54
G#4,G#,Pan Flute,55
G#4,G#,Pan Flute,56
C#5,C#,Pan Flute,57
C5,C,Pan Flute,58
C5,C,Pan Flute,59
B-4,B-,Pan Flute,60
G#4,G#,Pan Flute,61
F#4,F#,Pan Flute,62
F#4,F#,Pan Flute,63
F#4,F#,Pan Flute,64
C5,C,Pan Flute,65
B-4,B-,Pan Flute,66
B-4,B-,Pan Flute,67
G#4,G#,Pan Flute,68
F#4,F#,Pan Flute,69
F4,F,Pan Flute,70
C#4,C#,Pan Flute,71
E-4,E-,Pan Flute,72
F#4,F#,Pan Flute,73
F4,F,Pan Flute,74
F4,F,Pan Flute,75
F4,F,Pan Flute,76
F#4,F#,Pan Flute,77
F#4,F#,Pan Flute,78
B-4,B-,Pan Flute,79
G#4,G#,Pan Flute,80
G#4,G#,Pan Flute,81
B-4,B-,Pan Flute,82
C5,C,Pan Flute,83
C#5,C#,Pan Flute,84
C5,C,Pan Flute,85
C#5,C#,Pan Flute,86
D5,D,Pan Flute,87
E-5,E-,Pan Flute,88
B-4,B-,Pan Flute,89
B-4,B-,Pan Flute,90
C5,C,Pan Flute,91
G#4,G#,Pan Flute,92
C#5,C#,Pan Flute,93
G#4,G#,Pan Flute,94
B-4,B-,Pan Flute,95
C5,C,Pan Flute,96
C#5,C#,Pan Flute,97
G#4,G#,Pan Flute,98
B-4,B-,Pan Flute,99
C5,C,Pan Flute,100
C#5,C#,Pan Flute,101
C5,C,Pan Flute,102
C5,C,Pan Flute,103
C#5,C#,Pan Flute,104
C5,C,Pan Flute,105
C5,C,Pan Flute,106
C#5,C#,Pan Flute,107
E-4,E-,Pan Flute,108
E-4,E-,Pan Flute,109
G#4,G#,Pan Flute,110
G#4,G#,Pan Flute,111
G4,G,Pan Flute,112
B-4,B-,Pan Flute,113
G#4,G#,Pan Flute,114
F4,F,Pan Flute,115
E-4,E-,Pan Flute,116
C4,C,Pan Flute,117
E-4,E-,Pan Flute,118
B-4,B-,Pan Flute,119
G#4,G#,Pan Flute,120
G#4,G#,Pan Flute,121
G4,G,Pan Flute,122
C#4,C#,Pan Flute,123
C4,C,Pan Flute,124
C#4,C#,Pan Flute,125
G#4,G#,Pan Flute,126
G4,G,Pan Flute,127
F4,F,Pan Flute,128
E-4,E-,Pan Flute,129
E-4,E-,Pan Flute,130
E-4,E-,Pan Flute,131
G#4,G#,Pan Flute,132
G#4,G#,Pan Flute,133
G4,G,Pan Flute,134
G#4,G#,Pan Flute,135
B-4,B-,Pan Flute,136
G#4,G#,Pan Flute,137
F4,F,Pan Flute,138
E-4,E-,Pan Flute,139
C4,C,Pan Flute,140
E-4,E-,Pan Flute,141
F4,F,Pan Flute,142
F#4,F#,Pan Flute,143
G4,G,Pan Flute,144
F4,F,Pan Flute,145
E-4,E-,Pan Flute,146
D4,D,Pan Flute,147
E-4,E-,Pan Flute,148
D4,D,Pan Flute,149
C4,C,Pan Flute,150
C4,C,Pan Flute,151
C4,C,Pan Flute,152
C#4,C#,Pan Flute,153
C4,C,Pan Flute,154
B-3,B-,Pan Flute,155
C4,C,Pan Flute,156
C#4,C#,Pan Flute,157
E-4,E-,Pan Flute,158
F4,F,Pan Flute,159
G4,G,Pan Flute,160
G4,G,Pan Flute,161
G#4,G#,Pan Flute,162
G#4,G#,Pan Flute,163
B-4,B-,Pan Flute,164
G#4,G#,Pan Flute,165
G4,G,Pan Flute,166
C#5,C#,Pan Flute,167
C#5,C#,Pan Flute,168
F4,F,Pan Flute,169
G4,G,Pan Flute,170
F4,F,Pan Flute,171
E-4,E-,Pan Flute,172
C5,C,Pan Flute,173
C5,C,Pan Flute,174
C4,C,Pan Flute,175
C4,C,Pan Flute,176
C#4,C#,Pan Flute,177
C4,C,Pan Flute,178
B-3,B-,Pan Flute,179
C4,C,Pan Flute,180
C#4,C#,Pan Flute,181
E-4,E-,Pan Flute,182
F4,F,Pan Flute,183
G4,G,Pan Flute,184
G4,G,Pan Flute,185
B-4,B-,Pan Flute,186
G#4,G#,Pan Flute,187
G#4,G#,Pan Flute,188
B-4,B-,Pan Flute,189
C5,C,Pan Flute,190
G#4,G#,Pan Flute,191
F4,F,Pan Flute,192
E-4,E-,Pan Flute,193
C#4,C#,Pan Flute,194
B-3,B-,Pan Flute,195
G#3,G#,Pan Flute,196
G#4,G#,Pan Flute,197
G#4,G#,Pan Flute,198
G#4,G#,Pan Flute,199
F4,F,Pan Flute,200
G4,G,Pan Flute,201
G#4,G#,Pan Flute,202
C#4,C#,Pan Flute,203
F4,F,Pan Flute,204
E-4,E-,Pan Flute,205
C4,C,Pan Flute,206
G#4,G#,Pan Flute,207
G#4,G#,Pan Flute,208
G#4,G#,Pan Flute,209
E4,E,Pan Flute,210
F#4,F#,Pan Flute,211
G#4,G#,Pan Flute,212
C#4,C#,Pan Flute,213
E4,E,Pan Flute,214
E-4,E-,Pan Flute,215
E-4,E-,Pan Flute,216
E-4,E-,Pan Flute,217
E-4,E-,Pan Flute,218
D4,D,Pan Flute,219
E-4,E-,Pan Flute,220
A4,A,Pan Flute,221
F#4,F#,Pan Flute,222
E-4,E-,Pan Flute,223
E4,E,Pan Flute,224
B3,B,Pan Flute,225
E4,E,Pan Flute,226
E-4,E-,Pan Flute,227
D4,D,Pan Flute,228
C#4,C#,Pan Flute,229
D4,D,Pan Flute,230
B4,B,Pan Flute,231
B-4,B-,Pan Flute,232
G#4,G#,Pan Flute,233
E-4,E-,Pan Flute,234
D4,D,Pan Flute,235
E-4,E-,Pan Flute,236
C5,C,Pan Flute,237
B-4,B-,Pan Flute,238
G#4,G#,Pan Flute,239
G4,G,Pan Flute,240
F4,F,Pan Flute,241
C4,C,Pan Flute,242
E-4,E-,Pan Flute,243
C#4,C#,Pan Flute,244
B-3,B-,Pan Flute,245
G#3,G#,Pan Flute,246
C#4,C#,Pan Flute,247
E-4,E-,Pan Flute,248
F#4,F#,Pan Flute,249
F4,F,Pan Flute,250
F4,F,Pan Flute,251
F4,F,Pan Flute,252
F#4,F#,Pan Flute,253
F#4,F#,Pan Flute,254
B-4,B-,Pan Flute,255
G#4,G#,Pan Flute,256
G#4,G#,Pan Flute,257
C#5,C#,Pan Flute,258
C5,C,Pan Flute,259
C5,C,Pan Flute,260
B-4,B-,Pan Flute,261
G#4,G#,Pan Flute,262
F#4,F#,Pan Flute,263
F#4,F#,Pan Flute,264
F#4,F#,Pan Flute,265
C5,C,Pan Flute,266
B-4,B-,Pan Flute,267
B-4,B-,Pan Flute,268
G#4,G#,Pan Flute,269
F#4,F#,Pan Flute,270
F4,F,Pan Flute,271
C#4,C#,Pan Flute,272
E-4,E-,Pan Flute,273
F#4,F#,Pan Flute,274
F4,F,Pan Flute,275
F4,F,Pan Flute,276
F4,F,Pan Flute,277
F#4,F#,Pan Flute,278
F#4,F#,Pan Flute,279
B-4,B-,Pan Flute,280
G#4,G#,Pan Flute,281
G#4,G#,Pan Flute,282
B-4,B-,Pan Flute,283
C5,C,Pan Flute,284
C#5,C#,Pan Flute,285
C#5,C#,Pan Flute,286
F5,F,Pan Flute,287
E-5,E-,Pan Flute,288
C5,C,Pan Flute,289
C#5,C#,Pan Flute,290
B-4,B-,Pan Flute,291
G#4,G#,Pan Flute,292
C#4,C#,Pan Flute,293
E-4,E-,Pan Flute,294
F#4,F#,Pan Flute,295
F4,F,Pan Flute,296
F4,F,Pan Flute,297
F4,F,Pan Flute,298
F#4,F#,Pan Flute,299
F#4,F#,Pan Flute,300
B-4,B-,Pan Flute,301
G#4,G#,Pan Flute,302
G#4,G#,Pan Flute,303
C#5,C#,Pan Flute,304
C5,C,Pan Flute,305
C5,C,Pan Flute,306
B-4,B-,Pan Flute,307
G#4,G#,Pan Flute,308
F#4,F#,Pan Flute,309
F#4,F#,Pan Flute,310
F#4,F#,Pan Flute,311
C5,C,Pan Flute,312
B-4,B-,Pan Flute,313
B-4,B-,Pan Flute,314
G#4,G#,Pan Flute,315
F#4,F#,Pan Flute,316
F4,F,Pan Flute,317
C#4,C#,Pan Flute,318
E-4,E-,Pan Flute,319
F#4,F#,Pan Flute,320
F4,F,Pan Flute,321
F4,F,Pan Flute,322
F4,F,Pan Flute,323
F#4,F#,Pan Flute,324
F#4,F#,Pan Flute,325
B-4,B-,Pan Flute,326
G#4,G#,Pan Flute,327
G#4,G#,Pan Flute,328
B-4,B-,Pan Flute,329
C5,C,Pan Flute,330
C#5,C#,Pan Flute,331
C5,C,Pan Flute,332
