NoteOctave,Note,Instrument,Position
E4,E,Glockenspiel,0
C#4,C#,Glockenspiel,1
D4,D,Glockenspiel,2
E4,E,Glockenspiel,3
A4,A,Glockenspiel,4
B4,B,Glockenspiel,5
E4,E,Glockenspiel,6
C#5,C#,Glockenspiel,7
A4,A,Glockenspiel,8
F#4,F#,Glockenspiel,9
B4,B,Glockenspiel,10
A4,A,Glockenspiel,11
G#4,G#,Glockenspiel,12
A4,A,Glockenspiel,13
E4,E,Glockenspiel,14
B4,B,Glockenspiel,15
A4,A,Glockenspiel,16
G#4,G#,Glockenspiel,17
F#4,F#,Glockenspiel,18
E4,E,Glockenspiel,19
D4,D,Glockenspiel,20
C#4,C#,Glockenspiel,21
F#4,F#,Glockenspiel,22
E4,E,Glockenspiel,23
E4,E,Glockenspiel,24
B4,B,Glockenspiel,25
A4,A,Glockenspiel,26
G#4,G#,Glockenspiel,27
F#4,F#,Glockenspiel,28
E4,E,Glockenspiel,29
D4,D,Glockenspiel,30
C#4,C#,Glockenspiel,31
F#4,F#,Glockenspiel,32
E4,E,Glockenspiel,33
E4,E,Glockenspiel,34
A4,A,Glockenspiel,35
E4,E,Glockenspiel,36
C#4,C#,Glockenspiel,37
E4,E,Glockenspiel,38
A4,A,Glockenspiel,39
B4,B,Glockenspiel,40
C#5,C#,Glockenspiel,41
A4,A,Glockenspiel,42
F#4,F#,Glockenspiel,43
B4,B,Glockenspiel,44
A4,A,Glockenspiel,45
G#4,G#,Glockenspiel,46
A4,A,Glockenspiel,47
E4,E,StringInstrument,0
C#4,C#,StringInstrument,1
D4,D,StringInstrument,2
B4,B,StringInstrument,3
A2,A,StringInstrument,4
A1,A,StringInstrument,5
E4,E,StringInstrument,6
A4,A,StringInstrument,7
A3,A,StringInstrument,8
D4,D,StringInstrument,9
B3,B,StringInstrument,10
E2,E,StringInstrument,11
A4,A,StringInstrument,12
A4,A,StringInstrument,13
C#4,C#,StringInstrument,14
E3,E,StringInstrument,15
E2,E,StringInstrument,16
F#2,F#,StringInstrument,17
E4,E,StringInstrument,18
B3,B,StringInstrument,19
G#2,G#,StringInstrument,20
D4,D,StringInstrument,21
C#4,C#,StringInstrument,22
A2,A,StringInstrument,23
A3,A,StringInstrument,24
F#4,F#,StringInstrument,25
D4,D,StringInstrument,26
E3,E,StringInstrument,27
E2,E,StringInstrument,28
F#2,F#,StringInstrument,29
G#2,G#,StringInstrument,30
D4,D,StringInstrument,31
C#4,C#,StringInstrument,32
A2,A,StringInstrument,33
A3,A,StringInstrument,34
C#4,C#,StringInstrument,35
E4,E,StringInstrument,36
E4,E,StringInstrument,37
E4,E,StringInstrument,38
E4,E,StringInstrument,39
C#4,C#,StringInstrument,40
A3,A,StringInstrument,41
E4,E,StringInstrument,42
A3,A,StringInstrument,43
A4,A,StringInstrument,44
C#4,C#,StringInstrument,45
B4,B,StringInstrument,46
A4,A,StringInstrument,47
A3,A,StringInstrument,48
A3,A,StringInstrument,49
D4,D,StringInstrument,50
