NoteOctave,Note,Instrument,Position
E4,E,Trumpet,0
C#4,C#,Trumpet,1
D4,D,Trumpet,2
E4,E,Trumpet,3
A4,A,Trumpet,4
B4,B,Trumpet,5
E4,E,Trumpet,6
C#5,C#,Trumpet,7
A4,A,Trumpet,8
F#4,F#,Trumpet,9
B4,B,Trumpet,10
A4,A,Trumpet,11
G#4,G#,Trumpet,12
A4,A,Trumpet,13
E4,E,Trumpet,14
B4,B,Trumpet,15
A4,A,Trumpet,16
G#4,G#,Trumpet,17
F#4,F#,Trumpet,18
E4,E,Trumpet,19
D4,D,Trumpet,20
C#4,C#,Trumpet,21
F#4,F#,Trumpet,22
E4,E,Trumpet,23
E4,E,Trumpet,24
B4,B,Trumpet,25
A4,A,Trumpet,26
G#4,G#,Trumpet,27
F#4,F#,Trumpet,28
E4,E,Trumpet,29
D4,D,Trumpet,30
C#4,C#,Trumpet,31
F#4,F#,Trumpet,32
E4,E,Trumpet,33
E4,E,Trumpet,34
A4,A,Trumpet,35
E4,E,Trumpet,36
C#4,C#,Trumpet,37
E4,E,Trumpet,38
A4,A,Trumpet,39
B4,B,Trumpet,40
C#5,C#,Trumpet,41
A4,A,Trumpet,42
F#4,F#,Trumpet,43
B4,B,Trumpet,44
A4,A,Trumpet,45
G#4,G#,Trumpet,46
A4,A,Trumpet,47
E4,E,Horn,0
C#4,C#,Horn,1
D4,D,Horn,2
E4,E,Horn,3
A3,A,Horn,4
G#4,G#,Horn,5
A4,A,Horn,6
E4,E,Horn,7
E4,E,Horn,8
D4,D,Horn,9
E4,E,Horn,10
D4,D,Horn,11
E4,E,Horn,12
C#4,C#,Horn,13
B3,B,Horn,14
D4,D,Horn,15
C#4,C#,Horn,16
B3,B,Horn,17
A3,A,Horn,18
D4,D,Horn,19
C#4,C#,Horn,20
E4,E,Horn,21
D4,D,Horn,22
C#4,C#,Horn,23
B3,B,Horn,24
D4,D,Horn,25
C#4,C#,Horn,26
B3,B,Horn,27
A3,A,Horn,28
D4,D,Horn,29
C#4,C#,Horn,30
E4,E,Horn,31
A4,A,Horn,32
E4,E,Horn,33
C#4,C#,Horn,34
E4,E,Horn,35
A4,A,Horn,36
E4,E,Horn,37
D4,D,Horn,38
E3,E,Bass Trombone,0
C#3,C#,Bass Trombone,1
D3,D,Bass Trombone,2
E3,E,Bass Trombone,3
C#3,C#,Bass Trombone,4
E3,E,Bass Trombone,5
A3,A,Bass Trombone,6
