NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
D4,D,Trumpet,1
D4,D,Trumpet,2
G4,G,Trumpet,3
G4,G,Trumpet,4
A4,A,Trumpet,5
A4,A,Trumpet,6
D5,D,Trumpet,7
B4,B,Trumpet,8
G4,G,Trumpet,9
G4,G,Trumpet,10
B4,B,Trumpet,11
G4,G,Trumpet,12
E4,E,Trumpet,13
C5,C,Trumpet,14
A4,A,Trumpet,15
F#4,F#,Trumpet,16
G4,G,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
B4,B,Trumpet,20
B4,B,Trumpet,21
B4,B,Trumpet,22
C5,C,Trumpet,23
B4,B,Trumpet,24
B4,B,Trumpet,25
A4,A,Trumpet,26
A4,A,Trumpet,27
B4,B,Trumpet,28
C5,C,Trumpet,29
C5,C,Trumpet,30
C5,C,Trumpet,31
D5,D,Trumpet,32
C5,C,Trumpet,33
B4,B,Trumpet,34
D5,D,Trumpet,35
D5,D,Trumpet,36
D5,D,Trumpet,37
B4,B,Trumpet,38
G4,G,Trumpet,39
D5,D,Trumpet,40
B4,B,Trumpet,41
G4,G,Trumpet,42
D4,D,Trumpet,43
D4,D,Trumpet,44
D4,D,Trumpet,45
F#4,F#,Trumpet,46
A4,A,Trumpet,47
C5,C,Trumpet,48
A4,A,Trumpet,49
F#4,F#,Trumpet,50
A4,A,Trumpet,51
G4,G,Trumpet,52
F4,F,Trumpet,53
E4,E,Trumpet,54
G4,G,Trumpet,55
G4,G,Trumpet,56
G4,G,Trumpet,57
F#4,F#,Trumpet,58
G4,G,Trumpet,59
A4,A,Trumpet,60
A4,A,Trumpet,61
B-4,B-,Trumpet,62
B-4,B-,Trumpet,63
B-4,B-,Trumpet,64
B-4,B-,Trumpet,65
C5,C,Trumpet,66
D5,D,Trumpet,67
A4,A,Trumpet,68
B-4,B-,Trumpet,69
A4,A,Trumpet,70
G4,G,Trumpet,71
G4,G,Trumpet,72
G4,G,Trumpet,73
B-4,B-,Trumpet,74
A4,A,Trumpet,75
G4,G,Trumpet,76
G4,G,Trumpet,77
F#4,F#,Trumpet,78
D5,D,Trumpet,79
D5,D,Trumpet,80
D5,D,Trumpet,81
D5,D,Trumpet,82
D5,D,Trumpet,83
D5,D,Trumpet,84
B4,B,Trumpet,85
G4,G,Trumpet,86
A4,A,Trumpet,87
D5,D,Trumpet,88
D5,D,Trumpet,89
D5,D,Trumpet,90
D5,D,Trumpet,91
D5,D,Trumpet,92
D5,D,Trumpet,93
D5,D,Trumpet,94
D5,D,Trumpet,95
D5,D,Trumpet,96
D5,D,Trumpet,97
D5,D,Trumpet,98
B4,B,Trumpet,99
G4,G,Trumpet,100
A4,A,Trumpet,101
D5,D,Trumpet,102
D5,D,Trumpet,103
D5,D,Trumpet,104
D5,D,Trumpet,105
D4,D,Trumpet,106
D5,D,Trumpet,107
G4,G,Trumpet,108
A4,A,Trumpet,109
B4,B,Trumpet,110
C5,C,Trumpet,111
D5,D,Trumpet,112
E5,E,Trumpet,113
A4,A,Trumpet,114
E5,E,Trumpet,115
D5,D,Trumpet,116
B4,B,Trumpet,117
