NoteOctave,Note,Instrument,Position
E-4,E-,Trumpet,0
F4,F,Trumpet,1
G4,G,Trumpet,2
F4,F,Trumpet,3
G#4,G#,Trumpet,4
G4,G,Trumpet,5
F4,F,Trumpet,6
D4,D,Trumpet,7
E-4,E-,Trumpet,8
C5,C,Trumpet,9
B-4,B-,Trumpet,10
G#4,G#,Trumpet,11
G4,G,Trumpet,12
F4,F,Trumpet,13
G4,G,Trumpet,14
E-4,E-,Trumpet,15
B-4,B-,Trumpet,16
E-4,E-,Trumpet,17
F4,F,Trumpet,18
G4,G,Trumpet,19
F4,F,Trumpet,20
G#4,G#,Trumpet,21
G4,G,Trumpet,22
F4,F,Trumpet,23
D4,D,Trumpet,24
E-4,E-,Trumpet,25
C5,C,Trumpet,26
B-4,B-,Trumpet,27
G#4,G#,Trumpet,28
G4,G,Trumpet,29
F4,F,Trumpet,30
G4,G,Trumpet,31
E-4,E-,Trumpet,32
B-4,B-,Trumpet,33
F4,F,Trumpet,34
G4,G,Trumpet,35
F4,F,Trumpet,36
D4,D,Trumpet,37
B-3,B-,Trumpet,38
G#4,G#,Trumpet,39
G4,G,Trumpet,40
F4,F,Trumpet,41
D4,D,Trumpet,42
B-3,B-,Trumpet,43
B-4,B-,Trumpet,44
G#4,G#,Trumpet,45
G4,G,Trumpet,46
G4,G,Trumpet,47
A4,A,Trumpet,48
A4,A,Trumpet,49
B-4,B-,Trumpet,50
B-4,B-,Trumpet,51
E-5,E-,Trumpet,52
D5,D,Trumpet,53
D5,D,Trumpet,54
C5,C,Trumpet,55
B-4,B-,Trumpet,56
C5,C,Trumpet,57
B-4,B-,Trumpet,58
B-4,B-,Trumpet,59
G#4,G#,Trumpet,60
G4,G,Trumpet,61
F4,F,Trumpet,62
G4,G,Trumpet,63
G#4,G#,Trumpet,64
B-4,B-,Trumpet,65
C5,C,Trumpet,66
G#4,G#,Trumpet,67
F4,F,Trumpet,68
E-4,E-,Trumpet,69
G4,G,Trumpet,70
F4,F,Trumpet,71
E-4,E-,Trumpet,72
G3,G,Horn,0
B-3,B-,Horn,1
E-4,E-,Horn,2
B-3,B-,Horn,3
B-3,B-,Horn,4
D4,D,Horn,5
B-3,B-,Horn,6
F4,F,Horn,7
E-4,E-,Horn,8
B-3,B-,Horn,9
E-4,E-,Horn,10
F4,F,Horn,11
G4,G,Horn,12
E-4,E-,Horn,13
C4,C,Horn,14
D4,D,Horn,15
E-4,E-,Horn,16
C4,C,Horn,17
E-4,E-,Horn,18
C4,C,Horn,19
B-3,B-,Horn,20
G3,G,Horn,21
D4,D,Horn,22
B-3,B-,Horn,23
E-4,E-,Horn,24
B-3,B-,Horn,25
B-3,B-,Horn,26
D4,D,Horn,27
B-3,B-,Horn,28
F4,F,Horn,29
E-4,E-,Horn,30
B-3,B-,Horn,31
G#3,G#,Horn,32
B-3,B-,Horn,33
E-4,E-,Horn,34
F4,F,Horn,35
E-4,E-,Horn,36
G4,G,Horn,37
C4,C,Horn,38
D4,D,Horn,39
E-4,E-,Horn,40
E-4,E-,Horn,41
C4,C,Horn,42
C4,C,Horn,43
D4,D,Horn,44
F4,F,Horn,45
D4,D,Horn,46
B-3,B-,Horn,47
E-4,E-,Horn,48
B-3,B-,Horn,49
B-3,B-,Horn,50
B-3,B-,Horn,51
B-3,B-,Horn,52
F4,F,Horn,53
E-4,E-,Horn,54
B-3,B-,Horn,55
B-3,B-,Horn,56
C4,C,Horn,57
D4,D,Horn,58
E-4,E-,Horn,59
D4,D,Horn,60
F4,F,Horn,61
B-4,B-,Horn,62
E-4,E-,Horn,63
B-4,B-,Horn,64
G4,G,Horn,65
E-4,E-,Horn,66
G#4,G#,Horn,67
E-4,E-,Horn,68
E-4,E-,Horn,69
E-4,E-,Horn,70
C4,C,Horn,71
B-3,B-,Horn,72
G3,G,Horn,73
G#3,G#,Horn,74
D4,D,Horn,75
E-2,E-,Tuba,0
B-1,B-,Tuba,1
E-2,E-,Tuba,2
B-1,B-,Tuba,3
D2,D,Tuba,4
E-2,E-,Tuba,5
B-1,B-,Tuba,6
E-2,E-,Tuba,7
G#1,G#,Tuba,8
E-2,E-,Tuba,9
F2,F,Tuba,10
E-2,E-,Tuba,11
G#1,G#,Tuba,12
A1,A,Tuba,13
B-1,B-,Tuba,14
E-2,E-,Tuba,15
B-1,B-,Tuba,16
