NoteOctave,Note,Instrument,Position
A5,A,Bass clarinet,0
B-5,B-,Bass clarinet,1
C6,C,Bass clarinet,2
B-5,B-,Bass clarinet,3
A5,A,Bass clarinet,4
B-5,B-,Bass clarinet,5
C6,C,Bass clarinet,6
A5,A,Bass clarinet,7
B-5,B-,Bass clarinet,8
C6,C,Bass clarinet,9
D6,D,Bass clarinet,10
D6,D,Bass clarinet,11
E6,E,Bass clarinet,12
E6,E,Bass clarinet,13
F6,F,Bass clarinet,14
G5,G,Bass clarinet,15
A5,A,Bass clarinet,16
B-5,B-,Bass clarinet,17
A5,A,Bass clarinet,18
G5,G,Bass clarinet,19
A5,A,Bass clarinet,20
B-5,B-,Bass clarinet,21
G5,G,Bass clarinet,22
C6,C,Bass clarinet,23
C6,C,Bass clarinet,24
E6,E,Bass clarinet,25
D6,D,Bass clarinet,26
C6,C,Bass clarinet,27
B-5,B-,Bass clarinet,28
A5,A,Bass clarinet,29
A5,A,Bass clarinet,30
A5,A,Bass clarinet,31
D6,D,Bass clarinet,32
F6,F,Bass clarinet,33
E6,E,Bass clarinet,34
C#6,C#,Bass clarinet,35
D6,D,Bass clarinet,36
A5,A,Bass clarinet,37
A5,A,Bass clarinet,38
A5,A,Bass clarinet,39
D6,D,Bass clarinet,40
F6,F,Bass clarinet,41
E6,E,Bass clarinet,42
C#6,C#,Bass clarinet,43
D6,D,Bass clarinet,44
C6,C,Bass clarinet,45
C6,C,Bass clarinet,46
C6,C,Bass clarinet,47
E6,E,Bass clarinet,48
C6,C,Bass clarinet,49
C6,C,Bass clarinet,50
C6,C,Bass clarinet,51
F6,F,Bass clarinet,52
C6,C,Bass clarinet,53
C6,C,Bass clarinet,54
C6,C,Bass clarinet,55
E6,E,Bass clarinet,56
C6,C,Bass clarinet,57
D6,D,Bass clarinet,58
E6,E,Bass clarinet,59
F6,F,Bass clarinet,60
F6,F,Bass clarinet,61
E6,E,Bass clarinet,62
E6,E,Bass clarinet,63
D6,D,Bass clarinet,64
D6,D,Bass clarinet,65
C6,C,Bass clarinet,66
C6,C,Bass clarinet,67
B-5,B-,Bass clarinet,68
D6,D,Bass clarinet,69
D6,D,Bass clarinet,70
C6,C,Bass clarinet,71
A5,A,Bass clarinet,72
B-5,B-,Bass clarinet,73
G5,G,Bass clarinet,74
B-5,B-,Bass clarinet,75
A5,A,Bass clarinet,76
F6,F,Bass clarinet,77
E6,E,Bass clarinet,78
E6,E,Bass clarinet,79
D6,D,Bass clarinet,80
D6,D,Bass clarinet,81
C6,C,Bass clarinet,82
C6,C,Bass clarinet,83
B-5,B-,Bass clarinet,84
D6,D,Bass clarinet,85
D6,D,Bass clarinet,86
C6,C,Bass clarinet,87
A5,A,Bass clarinet,88
B-5,B-,Bass clarinet,89
G5,G,Bass clarinet,90
F5,F,Bass clarinet,91
F2,F,Acoustic Bass,0
A2,A,Acoustic Bass,1
C3,C,Acoustic Bass,2
F2,F,Acoustic Bass,3
A2,A,Acoustic Bass,4
C3,C,Acoustic Bass,5
B-2,B-,Acoustic Bass,6
D3,D,Acoustic Bass,7
C3,C,Acoustic Bass,8
F2,F,Acoustic Bass,9
A2,A,Acoustic Bass,10
C3,C,Acoustic Bass,11
C2,C,Acoustic Bass,12
C3,C,Acoustic Bass,13
C3,C,Acoustic Bass,14
C2,C,Acoustic Bass,15
C3,C,Acoustic Bass,16
C3,C,Acoustic Bass,17
C2,C,Acoustic Bass,18
C3,C,Acoustic Bass,19
C3,C,Acoustic Bass,20
F2,F,Acoustic Bass,21
A2,A,Acoustic Bass,22
C3,C,Acoustic Bass,23
D3,D,Acoustic Bass,24
A2,A,Acoustic Bass,25
D3,D,Acoustic Bass,26
A2,A,Acoustic Bass,27
D3,D,Acoustic Bass,28
D2,D,Acoustic Bass,29
A2,A,Acoustic Bass,30
A2,A,Acoustic Bass,31
D3,D,Acoustic Bass,32
D3,D,Acoustic Bass,33
C2,C,Acoustic Bass,34
C2,C,Acoustic Bass,35
C2,C,Acoustic Bass,36
F2,F,Acoustic Bass,37
F2,F,Acoustic Bass,38
F2,F,Acoustic Bass,39
C3,C,Acoustic Bass,40
C2,C,Acoustic Bass,41
C3,C,Acoustic Bass,42
F2,F,Acoustic Bass,43
F3,F,Acoustic Bass,44
B-2,B-,Acoustic Bass,45
D3,D,Acoustic Bass,46
D2,D,Acoustic Bass,47
G2,G,Acoustic Bass,48
D3,D,Acoustic Bass,49
B-2,B-,Acoustic Bass,50
C3,C,Acoustic Bass,51
C2,C,Acoustic Bass,52
C3,C,Acoustic Bass,53
F2,F,Acoustic Bass,54
C3,C,Acoustic Bass,55
F3,F,Acoustic Bass,56
B-2,B-,Acoustic Bass,57
D3,D,Acoustic Bass,58
D2,D,Acoustic Bass,59
G2,G,Acoustic Bass,60
D3,D,Acoustic Bass,61
B-2,B-,Acoustic Bass,62
C3,C,Acoustic Bass,63
C2,C,Acoustic Bass,64
C3,C,Acoustic Bass,65
F2,F,Acoustic Bass,66
F3,F,Acoustic Bass,67
F2,F,Electric Organ,0
B-2,B-,Electric Organ,1
F2,F,Electric Organ,2
F2,F,Electric Organ,3
D2,D,Electric Organ,4
A2,A,Electric Organ,5
D2,D,Electric Organ,6
D2,D,Electric Organ,7
A2,A,Electric Organ,8
D2,D,Electric Organ,9
C3,C,Electric Organ,10
C3,C,Electric Organ,11
C3,C,Electric Organ,12
C3,C,Electric Organ,13
C3,C,Electric Organ,14
C3,C,Electric Organ,15
C3,C,Electric Organ,16
C3,C,Electric Organ,17
F2,F,Electric Organ,18
B-2,B-,Electric Organ,19
D2,D,Electric Organ,20
G2,G,Electric Organ,21
B-2,B-,Electric Organ,22
C3,C,Electric Organ,23
C3,C,Electric Organ,24
F2,F,Electric Organ,25
B-2,B-,Electric Organ,26
D2,D,Electric Organ,27
G2,G,Electric Organ,28
B-2,B-,Electric Organ,29
C3,C,Electric Organ,30
C3,C,Electric Organ,31
