NoteOctave,Note,Instrument,Position
E-4,E-,Horn,0
C4,C,Horn,1
G#3,G#,Horn,2
C4,C,Horn,3
E-4,E-,Horn,4
G#4,G#,Horn,5
C5,C,Horn,6
B-4,B-,Horn,7
G#4,G#,Horn,8
C4,C,Horn,9
D4,D,Horn,10
E-4,E-,Horn,11
E-4,E-,Horn,12
E-4,E-,Horn,13
C5,C,Horn,14
B-4,B-,Horn,15
G#4,G#,Horn,16
G4,G,Horn,17
F4,F,Horn,18
G4,G,Horn,19
G#4,G#,Horn,20
G#4,G#,Horn,21
E-4,E-,Horn,22
C4,C,Horn,23
G#3,G#,Horn,24
E-4,E-,Horn,25
C4,C,Horn,26
G#3,G#,Horn,27
C4,C,Horn,28
E-4,E-,Horn,29
G#4,G#,Horn,30
C5,C,Horn,31
B-4,B-,Horn,32
G#4,G#,Horn,33
C4,C,Horn,34
D4,D,Horn,35
E-4,E-,Horn,36
E-4,E-,Horn,37
E-4,E-,Horn,38
C5,C,Horn,39
B-4,B-,Horn,40
G#4,G#,Horn,41
G4,G,Horn,42
F4,F,Horn,43
G4,G,Horn,44
G#4,G#,Horn,45
G#4,G#,Horn,46
E-4,E-,Horn,47
C4,C,Horn,48
G#3,G#,Horn,49
C5,C,Horn,50
C5,C,Horn,51
C5,C,Horn,52
C#5,C#,Horn,53
E-5,E-,Horn,54
E-5,E-,Horn,55
C#5,C#,Horn,56
C5,C,Horn,57
B-4,B-,Horn,58
C5,C,Horn,59
C#5,C#,Horn,60
C#5,C#,Horn,61
C#5,C#,Horn,62
C5,C,Horn,63
B-4,B-,Horn,64
G#4,G#,Horn,65
G4,G,Horn,66
F4,F,Horn,67
G4,G,Horn,68
G#4,G#,Horn,69
C4,C,Horn,70
D4,D,Horn,71
E-4,E-,Horn,72
E-4,E-,Horn,73
G#4,G#,Horn,74
G#4,G#,Horn,75
G#4,G#,Horn,76
G4,G,Horn,77
F4,F,Horn,78
F4,F,Horn,79
F4,F,Horn,80
B-4,B-,Horn,81
C#5,C#,Horn,82
C5,C,Horn,83
B-4,B-,Horn,84
G#4,G#,Horn,85
G#4,G#,Horn,86
G4,G,Horn,87
E-4,E-,Horn,88
E-4,E-,Horn,89
G#4,G#,Horn,90
B-4,B-,Horn,91
C5,C,Horn,92
C#5,C#,Horn,93
E-5,E-,Horn,94
G#4,G#,Horn,95
B-4,B-,Horn,96
C5,C,Horn,97
C#5,C#,Horn,98
B-4,B-,Horn,99
G#4,G#,Horn,100
E-5,E-,Horn,0
G#5,G#,Horn,1
G#5,G#,Horn,2
G#5,G#,Horn,3
G5,G,Horn,4
F5,F,Horn,5
F5,F,Horn,6
F5,F,Horn,7
B-5,B-,Horn,8
C#6,C#,Horn,9
C6,C,Horn,10
B-5,B-,Horn,11
G#5,G#,Horn,12
G#5,G#,Horn,13
G5,G,Horn,14
E-5,E-,Horn,15
E-5,E-,Horn,16
G#5,G#,Horn,17
B-5,B-,Horn,18
C6,C,Horn,19
C#6,C#,Horn,20
E-6,E-,Horn,21
G#5,G#,Horn,22
B-5,B-,Horn,23
C6,C,Horn,24
C#6,C#,Horn,25
B-5,B-,Horn,26
G#5,G#,Horn,27
E-5,E-,Celesta,0
C5,C,Celesta,1
G#4,G#,Celesta,2
C5,C,Celesta,3
E-5,E-,Celesta,4
G#5,G#,Celesta,5
C6,C,Celesta,6
B-5,B-,Celesta,7
G#5,G#,Celesta,8
C5,C,Celesta,9
D5,D,Celesta,10
E-5,E-,Celesta,11
E-5,E-,Celesta,12
E-5,E-,Celesta,13
C6,C,Celesta,14
B-5,B-,Celesta,15
G#5,G#,Celesta,16
G5,G,Celesta,17
F5,F,Celesta,18
G5,G,Celesta,19
G#5,G#,Celesta,20
G#5,G#,Celesta,21
E-5,E-,Celesta,22
C5,C,Celesta,23
G#4,G#,Celesta,24
C6,C,Celesta,25
C6,C,Celesta,26
C6,C,Celesta,27
C#6,C#,Celesta,28
E-6,E-,Celesta,29
C#6,C#,Celesta,30
C6,C,Celesta,31
B-5,B-,Celesta,32
C6,C,Celesta,33
C#6,C#,Celesta,34
C#6,C#,Celesta,35
C6,C,Celesta,36
B-5,B-,Celesta,37
G#5,G#,Celesta,38
G5,G,Celesta,39
F5,F,Celesta,40
G5,G,Celesta,41
G#5,G#,Celesta,42
C5,C,Celesta,43
D5,D,Celesta,44
E-5,E-,Celesta,45
E-5,E-,Celesta,46
G#5,G#,Celesta,47
G#5,G#,Celesta,48
G#5,G#,Celesta,49
G5,G,Celesta,50
F5,F,Celesta,51
