NoteOctave,Note,Instrument,Position
B-4,B-,Trumpet,0
A4,A,Trumpet,1
G4,G,Trumpet,2
F4,F,Trumpet,3
B-4,B-,Trumpet,4
B-4,B-,Trumpet,5
B-4,B-,Trumpet,6
C5,C,Trumpet,7
F4,F,Trumpet,8
F4,F,Trumpet,9
D5,D,Trumpet,10
D5,D,Trumpet,11
G4,G,Trumpet,12
A4,A,Trumpet,13
B-4,B-,Trumpet,14
D5,D,Trumpet,15
C5,C,Trumpet,16
A4,A,Trumpet,17
F4,F,Trumpet,18
B-4,B-,Trumpet,19
C5,C,Trumpet,20
B-4,B-,Trumpet,21
A4,A,Trumpet,22
G4,G,Trumpet,23
F4,F,Trumpet,24
F4,F,Trumpet,25
G4,G,Trumpet,26
G#4,G#,Trumpet,27
B-4,B-,Trumpet,28
F4,F,Trumpet,29
G#4,G#,Trumpet,30
G4,G,Trumpet,31
G4,G,Trumpet,32
B-4,B-,Trumpet,33
E-5,E-,Trumpet,34
D5,D,Trumpet,35
C5,C,Trumpet,36
B-4,B-,Trumpet,37
D5,D,Trumpet,38
C5,C,Trumpet,39
F4,F,Trumpet,40
B-4,B-,Trumpet,41
C5,C,Trumpet,42
D5,D,Trumpet,43
F5,F,Trumpet,44
F5,F,Trumpet,45
E-5,E-,Trumpet,46
D5,D,Trumpet,47
E-5,E-,Trumpet,48
D5,D,Trumpet,49
C5,C,Trumpet,50
B-4,B-,Trumpet,51
B-4,B-,Trumpet,52
D4,D,Horn,0
B-3,B-,Horn,1
F4,F,Horn,2
C4,C,Horn,3
A3,A,Horn,4
C4,C,Horn,5
F4,F,Horn,6
B-3,B-,Horn,7
D4,D,Horn,8
E-4,E-,Horn,9
F4,F,Horn,10
B-3,B-,Horn,11
A3,A,Horn,12
E-4,E-,Horn,13
F4,F,Horn,14
D4,D,Horn,15
B-4,B-,Horn,16
D4,D,Horn,17
C4,C,Horn,18
F4,F,Horn,19
E4,E,Horn,20
C4,C,Horn,21
E4,E,Horn,22
F4,F,Horn,23
A4,A,Horn,24
D4,D,Horn,25
G4,G,Horn,26
E4,E,Horn,27
C4,C,Horn,28
B-3,B-,Horn,29
F4,F,Horn,30
D4,D,Horn,31
B-3,B-,Horn,32
D4,D,Horn,33
E-4,E-,Horn,34
B-3,B-,Horn,35
F4,F,Horn,36
B-3,B-,Horn,37
D4,D,Horn,38
B-3,B-,Horn,39
E-4,E-,Horn,40
F4,F,Horn,41
E-4,E-,Horn,42
G4,G,Horn,43
G4,G,Horn,44
F4,F,Horn,45
B-3,B-,Horn,46
E4,E,Horn,47
B-4,B-,Horn,48
F4,F,Horn,49
A4,A,Horn,50
B-3,B-,Horn,51
D4,D,Horn,52
F4,F,Horn,53
F4,F,Horn,54
A4,A,Horn,55
F4,F,Horn,56
B-4,B-,Horn,57
B4,B,Horn,58
G4,G,Horn,59
G4,G,Horn,60
C5,C,Horn,61
