NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
G4,G,Trumpet,1
C5,C,Trumpet,2
G4,G,Trumpet,3
E4,E,Trumpet,4
C5,C,Trumpet,5
C5,C,Trumpet,6
E5,E,Trumpet,7
C5,C,Trumpet,8
G4,G,Trumpet,9
G4,G,Trumpet,10
G4,G,Trumpet,11
A4,A,Trumpet,12
G4,G,Trumpet,13
F4,F,Trumpet,14
E4,E,Trumpet,15
G4,G,Trumpet,16
F4,F,Trumpet,17
D4,D,Trumpet,18
D4,D,Trumpet,19
F4,F,Trumpet,20
E4,E,Trumpet,21
D4,D,Trumpet,22
F4,F,Trumpet,23
F4,F,Trumpet,24
A4,A,Trumpet,25
G4,G,Trumpet,26
F4,F,Trumpet,27
D5,D,Trumpet,28
C5,C,Trumpet,29
B4,B,Trumpet,30
G4,G,Trumpet,31
A4,A,Trumpet,32
B4,B,Trumpet,33
C5,C,Trumpet,34
C5,C,Trumpet,35
G4,G,Trumpet,36
G4,G,Trumpet,37
C5,C,Trumpet,38
E4,E,Trumpet,39
E4,E,Trumpet,40
B4,B,Trumpet,41
A4,A,Trumpet,42
G4,G,Trumpet,43
G4,G,Trumpet,44
F4,F,Trumpet,45
F4,F,Trumpet,46
F4,F,Trumpet,47
G4,G,Trumpet,48
A4,A,Trumpet,49
D4,D,Trumpet,50
D4,D,Trumpet,51
G4,G,Trumpet,52
G4,G,Trumpet,53
F4,F,Trumpet,54
G4,G,Trumpet,55
E4,E,Trumpet,56
E4,E,Trumpet,57
E4,E,Trumpet,58
F4,F,Trumpet,59
G4,G,Trumpet,60
G4,G,Trumpet,61
A4,A,Trumpet,62
B-4,B-,Trumpet,63
D5,D,Trumpet,64
C5,C,Trumpet,65
B-4,B-,Trumpet,66
B-4,B-,Trumpet,67
A4,A,Trumpet,68
A4,A,Trumpet,69
B4,B,Trumpet,70
C5,C,Trumpet,71
E5,E,Trumpet,72
D5,D,Trumpet,73
G4,G,Trumpet,74
B4,B,Trumpet,75
A4,A,Trumpet,76
F4,F,Trumpet,77
D4,D,Trumpet,78
C4,C,Trumpet,79
C4,C,Trumpet,80
G4,G,Trumpet,81
G4,G,Trumpet,82
C5,C,Trumpet,83
G4,G,Trumpet,84
E4,E,Trumpet,85
C5,C,Trumpet,86
C5,C,Trumpet,87
E5,E,Trumpet,88
C5,C,Trumpet,89
G4,G,Trumpet,90
G4,G,Trumpet,91
G4,G,Trumpet,92
A4,A,Trumpet,93
G4,G,Trumpet,94
F4,F,Trumpet,95
E4,E,Trumpet,96
G4,G,Trumpet,97
F4,F,Trumpet,98
D4,D,Trumpet,99
D4,D,Trumpet,100
F4,F,Trumpet,101
E4,E,Trumpet,102
D4,D,Trumpet,103
F4,F,Trumpet,104
F4,F,Trumpet,105
A4,A,Trumpet,106
G4,G,Trumpet,107
F4,F,Trumpet,108
D5,D,Trumpet,109
C5,C,Trumpet,110
B4,B,Trumpet,111
G4,G,Trumpet,112
A4,A,Trumpet,113
B4,B,Trumpet,114
C5,C,Trumpet,115
C4,C,Trumpet,116
C4,C,Trumpet,117
F4,F,Trumpet,118
F4,F,Trumpet,119
G4,G,Trumpet,120
A4,A,Trumpet,121
G4,G,Trumpet,122
F4,F,Trumpet,123
A4,A,Trumpet,124
A4,A,Trumpet,125
C5,C,Trumpet,126
C5,C,Trumpet,127
D5,D,Trumpet,128
C5,C,Trumpet,129
F4,F,Trumpet,130
A4,A,Trumpet,131
G4,G,Trumpet,132
F4,F,Trumpet,133
A4,A,Trumpet,134
A4,A,Trumpet,135
C5,C,Trumpet,136
C5,C,Trumpet,137
D5,D,Trumpet,138
E5,E,Trumpet,139
E5,E,Trumpet,140
B-4,B-,Trumpet,141
C5,C,Trumpet,142
D5,D,Trumpet,143
C5,C,Trumpet,144
B-4,B-,Trumpet,145
C5,C,Trumpet,146
C5,C,Trumpet,147
A4,A,Trumpet,148
A4,A,Trumpet,149
B-4,B-,Trumpet,150
C5,C,Trumpet,151
G4,G,Trumpet,152
A4,A,Trumpet,153
B-4,B-,Trumpet,154
C5,C,Trumpet,155
B-4,B-,Trumpet,156
A4,A,Trumpet,157
G4,G,Trumpet,158
F4,F,Trumpet,159
