NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
E-4,E-,Trumpet,1
F4,F,Trumpet,2
B-4,B-,Trumpet,3
F4,F,Trumpet,4
E-4,E-,Trumpet,5
D4,D,Trumpet,6
G4,G,Trumpet,7
F4,F,Trumpet,8
E-4,E-,Trumpet,9
D4,D,Trumpet,10
C4,C,Trumpet,11
D4,D,Trumpet,12
E-4,E-,Trumpet,13
C4,C,Trumpet,14
D4,D,Trumpet,15
E-4,E-,Trumpet,16
C5,C,Trumpet,17
E-4,E-,Trumpet,18
D4,D,Trumpet,19
C4,C,Trumpet,20
F4,F,Trumpet,21
E-4,E-,Trumpet,22
D4,D,Trumpet,23
C4,C,Trumpet,24
B-3,B-,Trumpet,25
C4,C,Trumpet,26
D4,D,Trumpet,27
B-4,B-,Trumpet,28
A4,A,Trumpet,29
B-4,B-,Trumpet,30
G4,G,Trumpet,31
F#4,F#,Trumpet,32
G4,G,Trumpet,33
A4,A,Trumpet,34
D4,D,Trumpet,35
D5,D,Trumpet,36
C5,C,Trumpet,37
B-4,B-,Trumpet,38
A4,A,Trumpet,39
B-4,B-,Trumpet,40
C5,C,Trumpet,41
F4,F,Trumpet,42
E-5,E-,Trumpet,43
D5,D,Trumpet,44
C5,C,Trumpet,45
B-4,B-,Trumpet,46
A4,A,Trumpet,47
G4,G,Trumpet,48
F4,F,Trumpet,49
E-4,E-,Trumpet,50
D4,D,Trumpet,51
D4,D,Trumpet,52
C4,C,Trumpet,53
C4,C,Trumpet,54
D4,D,Trumpet,55
B-3,B-,Trumpet,56
B-3,B-,Horn,0
D4,D,Horn,1
F4,F,Horn,2
G4,G,Horn,3
F4,F,Horn,4
E-4,E-,Horn,5
F4,F,Horn,6
E-4,E-,Horn,7
D4,D,Horn,8
E-4,E-,Horn,9
D4,D,Horn,10
C4,C,Horn,11
B3,B,Horn,12
C4,C,Horn,13
D4,D,Horn,14
C4,C,Horn,15
B-3,B-,Horn,16
C4,C,Horn,17
B-3,B-,Horn,18
A3,A,Horn,19
B-3,B-,Horn,20
B-3,B-,Horn,21
C4,C,Horn,22
D4,D,Horn,23
D4,D,Horn,24
B-3,B-,Horn,25
D4,D,Horn,26
C4,C,Horn,27
B-3,B-,Horn,28
E-4,E-,Horn,29
D4,D,Horn,30
C4,C,Horn,31
G3,G,Horn,32
B3,B,Horn,33
G3,G,Horn,34
B3,B,Horn,35
C4,C,Horn,36
A3,A,Horn,37
B-3,B-,Horn,38
C4,C,Horn,39
E-4,E-,Horn,40
C4,C,Horn,41
B-3,B-,Horn,42
A3,A,Horn,43
D4,D,Horn,44
C4,C,Horn,45
B-3,B-,Horn,46
A3,A,Horn,47
F3,F,Horn,48
A3,A,Horn,49
B-3,B-,Horn,50
D4,D,Horn,51
D4,D,Horn,52
D4,D,Horn,53
D4,D,Horn,54
D4,D,Horn,55
C#4,C#,Horn,56
A3,A,Horn,57
F4,F,Horn,58
E-4,E-,Horn,59
D4,D,Horn,60
C4,C,Horn,61
D4,D,Horn,62
E4,E,Horn,63
C4,C,Horn,64
G4,G,Horn,65
F4,F,Horn,66
E-4,E-,Horn,67
G4,G,Horn,68
F4,F,Horn,69
E-4,E-,Horn,70
D4,D,Horn,71
C4,C,Horn,72
B-3,B-,Horn,73
B-3,B-,Horn,74
B-3,B-,Horn,75
C4,C,Horn,76
B-3,B-,Horn,77
D4,D,Horn,78
F4,F,Horn,79
G4,G,Horn,80
F4,F,Horn,81
E-4,E-,Horn,82
F4,F,Horn,83
E-4,E-,Horn,84
D4,D,Horn,85
E-4,E-,Horn,86
D4,D,Horn,87
C4,C,Horn,88
B3,B,Horn,89
C4,C,Horn,90
D4,D,Horn,91
C4,C,Horn,92
B-3,B-,Horn,93
C4,C,Horn,94
B-3,B-,Horn,95
A3,A,Horn,96
B-3,B-,Horn,97
B-2,B-,Bass Trombone,0
D3,D,Bass Trombone,1
F3,F,Bass Trombone,2
G#3,G#,Bass Trombone,3
B-3,B-,Bass Trombone,4
G#3,G#,Bass Trombone,5
G3,G,Bass Trombone,6
G3,G,Bass Trombone,7
F#3,F#,Bass Trombone,8
G3,G,Bass Trombone,9
F3,F,Bass Trombone,10
E3,E,Bass Trombone,11
E-3,E-,Bass Trombone,12
D3,D,Bass Trombone,13
E-3,E-,Bass Trombone,14
F3,F,Bass Trombone,15
E-3,E-,Bass Trombone,16
D3,D,Bass Trombone,17
D3,D,Bass Trombone,18
E-3,E-,Bass Trombone,19
F3,F,Bass Trombone,20
D3,D,Bass Trombone,21
E-3,E-,Bass Trombone,22
F3,F,Bass Trombone,23
B-3,B-,Bass Trombone,24
F3,F,Bass Trombone,25
F3,F,Bass Trombone,26
F3,F,Bass Trombone,27
G3,G,Bass Trombone,28
G#3,G#,Bass Trombone,29
G3,G,Bass Trombone,30
F3,F,Bass Trombone,31
E-3,E-,Bass Trombone,32
G3,G,Bass Trombone,33
G3,G,Bass Trombone,34
C3,C,Bass Trombone,35
D3,D,Bass Trombone,36
E-3,E-,Bass Trombone,37
C4,C,Bass Trombone,38
F3,F,Bass Trombone,39
F3,F,Bass Trombone,40
F3,F,Bass Trombone,41
F3,F,Bass Trombone,42
G3,G,Bass Trombone,43
F3,F,Bass Trombone,44
E-3,E-,Bass Trombone,45
D3,D,Bass Trombone,46
F3,F,Bass Trombone,47
F3,F,Bass Trombone,48
G3,G,Bass Trombone,49
A3,A,Bass Trombone,50
B-3,B-,Bass Trombone,51
C4,C,Bass Trombone,52
G3,G,Bass Trombone,53
E3,E,Bass Trombone,54
F#3,F#,Bass Trombone,55
B-3,B-,Bass Trombone,56
F3,F,Bass Trombone,57
F3,F,Bass Trombone,58
F3,F,Bass Trombone,59
F3,F,Bass Trombone,60
G3,G,Bass Trombone,61
A3,A,Bass Trombone,62
C4,C,Bass Trombone,63
B-3,B-,Bass Trombone,64
G3,G,Bass Trombone,65
G3,G,Bass Trombone,66
C4,C,Bass Trombone,67
B-3,B-,Bass Trombone,68
A3,A,Bass Trombone,69
A3,A,Bass Trombone,70
F3,F,Bass Trombone,71
G3,G,Bass Trombone,72
G3,G,Bass Trombone,73
E-3,E-,Bass Trombone,74
F3,F,Bass Trombone,75
F3,F,Bass Trombone,76
B-2,B-,Bass Trombone,77
D3,D,Bass Trombone,78
G#3,G#,Bass Trombone,79
B-3,B-,Bass Trombone,80
G#3,G#,Bass Trombone,81
G3,G,Bass Trombone,82
G3,G,Bass Trombone,83
F#3,F#,Bass Trombone,84
G3,G,Bass Trombone,85
F3,F,Bass Trombone,86
E3,E,Bass Trombone,87
E-3,E-,Bass Trombone,88
D3,D,Bass Trombone,89
E-3,E-,Bass Trombone,90
F3,F,Bass Trombone,91
E-3,E-,Bass Trombone,92
D3,D,Bass Trombone,93
D3,D,Bass Trombone,94
E-3,E-,Bass Trombone,95
D3,D,Bass Trombone,96
B-1,B-,Tuba,0
C2,C,Tuba,1
D2,D,Tuba,2
D2,D,Tuba,3
F1,F,Tuba,4
A1,A,Tuba,5
B-1,B-,Tuba,6
E-2,E-,Tuba,7
F2,F,Tuba,8
G2,G,Tuba,9
F2,F,Tuba,10
C2,C,Tuba,11
G1,G,Tuba,12
C2,C,Tuba,13
F1,F,Tuba,14
B-1,B-,Tuba,15
C2,C,Tuba,16
E-2,E-,Tuba,17
A1,A,Tuba,18
B-1,B-,Tuba,19
F2,F,Tuba,20
E-2,E-,Tuba,21
