NoteOctave,Note,Instrument,Position
B-3,B-,Trumpet,0
E-4,E-,Trumpet,1
F4,F,Trumpet,2
G4,G,Trumpet,3
F4,F,Trumpet,4
E-4,E-,Trumpet,5
F4,F,Trumpet,6
D4,D,Trumpet,7
B-4,B-,Trumpet,8
C5,C,Trumpet,9
D5,D,Trumpet,10
E-5,E-,Trumpet,11
B-4,B-,Trumpet,12
G#4,G#,Trumpet,13
G4,G,Trumpet,14
E-4,E-,Trumpet,15
G4,G,Trumpet,16
F4,F,Trumpet,17
E-4,E-,Trumpet,18
F4,F,Trumpet,19
G4,G,Trumpet,20
B-4,B-,Trumpet,21
B-4,B-,Trumpet,22
G#4,G#,Trumpet,23
G4,G,Trumpet,24
G4,G,Trumpet,25
F4,F,Trumpet,26
E-4,E-,Trumpet,27
D4,D,Trumpet,28
E-4,E-,Trumpet,29
F4,F,Trumpet,30
G4,G,Trumpet,31
G#4,G#,Trumpet,32
F5,F,Trumpet,33
E-5,E-,Trumpet,34
D5,D,Trumpet,35
C5,C,Trumpet,36
B-4,B-,Trumpet,37
F4,F,Trumpet,38
B-4,B-,Trumpet,39
A4,A,Trumpet,40
B-4,B-,Trumpet,41
B-3,B-,Trumpet,42
B-3,B-,Trumpet,43
C4,C,Trumpet,44
B-3,B-,Trumpet,45
A3,A,Trumpet,46
B-3,B-,Trumpet,47
E-4,E-,Trumpet,48
G4,G,Trumpet,49
B-4,B-,Trumpet,50
C5,C,Trumpet,51
D5,D,Trumpet,52
E-5,E-,Trumpet,53
E-5,E-,Trumpet,54
D5,D,Trumpet,55
G4,G,Trumpet,56
C5,C,Trumpet,57
B-4,B-,Trumpet,58
B-4,B-,Trumpet,59
A4,A,Trumpet,60
G4,G,Trumpet,61
B-4,B-,Trumpet,62
G5,G,Trumpet,63
G5,G,Trumpet,64
F5,F,Trumpet,65
E-5,E-,Trumpet,66
G4,G,Trumpet,67
G4,G,Trumpet,68
G#4,G#,Trumpet,69
G#4,G#,Trumpet,70
G4,G,Trumpet,71
F4,F,Trumpet,72
C5,C,Trumpet,73
B-4,B-,Trumpet,74
E-4,E-,Trumpet,75
F4,F,Trumpet,76
G4,G,Trumpet,77
G4,G,Trumpet,78
F4,F,Trumpet,79
E-4,E-,Trumpet,80
B-4,B-,Trumpet,81
G#4,G#,Trumpet,82
G4,G,Trumpet,83
B-4,B-,Trumpet,84
F4,F,Trumpet,85
D5,D,Trumpet,86
B-4,B-,Trumpet,87
B-4,B-,Trumpet,88
E-5,E-,Trumpet,89
F5,F,Trumpet,90
B-4,B-,Trumpet,91
G5,G,Trumpet,92
G5,G,Trumpet,93
F5,F,Trumpet,94
E-5,E-,Trumpet,95
G4,G,Trumpet,96
G4,G,Trumpet,97
G#4,G#,Trumpet,98
G#4,G#,Trumpet,99
G4,G,Trumpet,100
F4,F,Trumpet,101
C5,C,Trumpet,102
B-4,B-,Trumpet,103
E-4,E-,Trumpet,104
F4,F,Trumpet,105
G4,G,Trumpet,106
G4,G,Trumpet,107
F4,F,Trumpet,108
E-4,E-,Trumpet,109
B-3,B-,Horn,0
B-3,B-,Horn,1
B-3,B-,Horn,2
D4,D,Horn,3
B-3,B-,Horn,4
E-4,E-,Horn,5
B-3,B-,Horn,6
B-3,B-,Horn,7
G3,G,Horn,8
F3,F,Horn,9
A3,A,Horn,10
B-3,B-,Horn,11
F3,F,Horn,12
E-4,E-,Horn,13
B-3,B-,Horn,14
G#4,G#,Horn,15
E-4,E-,Horn,16
C4,C,Horn,17
D4,D,Horn,18
E-4,E-,Horn,19
