NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
D4,D,Trumpet,1
E4,E,Trumpet,2
C5,C,Trumpet,3
C5,C,Trumpet,4
C5,C,Trumpet,5
C5,C,Trumpet,6
C5,C,Trumpet,7
B4,B,Trumpet,8
G4,G,Trumpet,9
G4,G,Trumpet,10
G4,G,Trumpet,11
F#4,F#,Trumpet,12
G4,G,Trumpet,13
A4,A,Trumpet,14
D5,D,Trumpet,15
D5,D,Trumpet,16
D5,D,Trumpet,17
B4,B,Trumpet,18
A4,A,Trumpet,19
G4,G,Trumpet,20
B3,B,Trumpet,21
C4,C,Trumpet,22
D4,D,Trumpet,23
B4,B,Trumpet,24
B4,B,Trumpet,25
A4,A,Trumpet,26
A4,A,Trumpet,27
G4,G,Trumpet,28
D4,D,Trumpet,29
D4,D,Trumpet,30
D4,D,Trumpet,31
E4,E,Trumpet,32
D4,D,Trumpet,33
C4,C,Trumpet,34
B3,B,Trumpet,35
A3,A,Trumpet,36
A3,A,Trumpet,37
B3,B,Trumpet,38
C4,C,Trumpet,39
A4,A,Trumpet,40
A4,A,Trumpet,41
G4,G,Trumpet,42
G4,G,Trumpet,43
F#4,F#,Trumpet,44
E4,E,Trumpet,45
D4,D,Trumpet,46
D4,D,Trumpet,47
F#4,F#,Trumpet,48
E4,E,Trumpet,49
D4,D,Trumpet,50
C4,C,Trumpet,51
B3,B,Trumpet,52
B3,B,Trumpet,53
C4,C,Trumpet,54
D4,D,Trumpet,55
B4,B,Trumpet,56
B4,B,Trumpet,57
A4,A,Trumpet,58
A4,A,Trumpet,59
G4,G,Trumpet,60
D4,D,Trumpet,61
D4,D,Trumpet,62
D4,D,Trumpet,63
E4,E,Trumpet,64
D4,D,Trumpet,65
G4,G,Trumpet,66
A4,A,Trumpet,67
F#4,F#,Trumpet,68
E4,E,Trumpet,69
E4,E,Trumpet,70
E4,E,Trumpet,71
C5,C,Trumpet,72
C5,C,Trumpet,73
B4,B,Trumpet,74
A4,A,Trumpet,75
D5,D,Trumpet,76
G4,G,Trumpet,77
F#4,F#,Trumpet,78
E4,E,Trumpet,79
D4,D,Trumpet,80
C5,C,Trumpet,81
B4,B,Trumpet,82
A4,A,Trumpet,83
G4,G,Trumpet,84
D4,D,Trumpet,85
D4,D,Trumpet,86
E4,E,Trumpet,87
C5,C,Trumpet,88
C5,C,Trumpet,89
C5,C,Trumpet,90
C5,C,Trumpet,91
C5,C,Trumpet,92
B4,B,Trumpet,93
G4,G,Trumpet,94
G4,G,Trumpet,95
G4,G,Trumpet,96
F#4,F#,Trumpet,97
G4,G,Trumpet,98
A4,A,Trumpet,99
D5,D,Trumpet,100
D5,D,Trumpet,101
D5,D,Trumpet,102
C5,C,Trumpet,103
C5,C,Trumpet,104
B4,B,Trumpet,105
G4,G,Trumpet,106
D4,D,Trumpet,107
D4,D,Trumpet,108
E4,E,Trumpet,109
C5,C,Trumpet,110
C5,C,Trumpet,111
C5,C,Trumpet,112
C5,C,Trumpet,113
C5,C,Trumpet,114
B4,B,Trumpet,115
G4,G,Trumpet,116
G4,G,Trumpet,117
G4,G,Trumpet,118
