NoteOctave,Note,Instrument,Position
C4,C,Bass clarinet,0
F4,F,Bass clarinet,1
F4,F,Bass clarinet,2
G4,G,Bass clarinet,3
A4,A,Bass clarinet,4
A4,A,Bass clarinet,5
C5,C,Bass clarinet,6
B-4,B-,Bass clarinet,7
A4,A,Bass clarinet,8
G4,G,Bass clarinet,9
C4,C,Bass clarinet,10
G4,G,Bass clarinet,11
G4,G,Bass clarinet,12
A4,A,Bass clarinet,13
B-4,B-,Bass clarinet,14
B-4,B-,Bass clarinet,15
D5,D,Bass clarinet,16
C5,C,Bass clarinet,17
B-4,B-,Bass clarinet,18
A4,A,Bass clarinet,19
F4,F,Bass clarinet,20
F4,F,Bass clarinet,21
G4,G,Bass clarinet,22
A4,A,Bass clarinet,23
C5,C,Bass clarinet,24
B-4,B-,Bass clarinet,25
B-4,B-,Bass clarinet,26
C5,C,Bass clarinet,27
D5,D,Bass clarinet,28
D5,D,Bass clarinet,29
C5,C,Bass clarinet,30
B-4,B-,Bass clarinet,31
A4,A,Bass clarinet,32
G4,G,Bass clarinet,33
F4,F,Bass clarinet,34
G4,G,Bass clarinet,35
F4,F,Bass clarinet,36
E4,E,Bass clarinet,37
F4,F,Bass clarinet,38
A4,A,Bass clarinet,39
A4,A,Bass clarinet,40
B-4,B-,Bass clarinet,41
A4,A,Bass clarinet,42
G4,G,Bass clarinet,43
F4,F,Bass clarinet,44
G4,G,Bass clarinet,45
A4,A,Bass clarinet,46
B-4,B-,Bass clarinet,47
B-4,B-,Bass clarinet,48
C5,C,Bass clarinet,49
D5,D,Bass clarinet,50
B-4,B-,Bass clarinet,51
A4,A,Bass clarinet,52
A4,A,Bass clarinet,53
A4,A,Bass clarinet,54
B-4,B-,Bass clarinet,55
A4,A,Bass clarinet,56
G4,G,Bass clarinet,57
F4,F,Bass clarinet,58
G4,G,Bass clarinet,59
A4,A,Bass clarinet,60
B-4,B-,Bass clarinet,61
B-4,B-,Bass clarinet,62
A4,A,Bass clarinet,63
G4,G,Bass clarinet,64
F4,F,Bass clarinet,65
E4,E,Bass clarinet,66
F4,F,Bass clarinet,67
D4,D,Bass clarinet,68
F4,F,Bass clarinet,69
F4,F,Bass clarinet,70
G4,G,Bass clarinet,71
A4,A,Bass clarinet,72
A4,A,Bass clarinet,73
C5,C,Bass clarinet,74
B-4,B-,Bass clarinet,75
A4,A,Bass clarinet,76
G4,G,Bass clarinet,77
G4,G,Bass clarinet,78
G4,G,Bass clarinet,79
A4,A,Bass clarinet,80
B-4,B-,Bass clarinet,81
B-4,B-,Bass clarinet,82
B-4,B-,Bass clarinet,83
D5,D,Bass clarinet,84
C5,C,Bass clarinet,85
B-4,B-,Bass clarinet,86
A4,A,Bass clarinet,87
F4,F,Bass clarinet,88
F4,F,Bass clarinet,89
G4,G,Bass clarinet,90
A4,A,Bass clarinet,91
C5,C,Bass clarinet,92
B-4,B-,Bass clarinet,93
B-4,B-,Bass clarinet,94
C5,C,Bass clarinet,95
D5,D,Bass clarinet,96
D5,D,Bass clarinet,97
C5,C,Bass clarinet,98
B-4,B-,Bass clarinet,99
A4,A,Bass clarinet,100
G4,G,Bass clarinet,101
F4,F,Bass clarinet,102
G4,G,Bass clarinet,103
F4,F,Bass clarinet,104
C3,C,Acoustic Bass,0
F2,F,Acoustic Bass,1
C3,C,Acoustic Bass,2
F2,F,Acoustic Bass,3
C3,C,Acoustic Bass,4
C2,C,Acoustic Bass,5
G2,G,Acoustic Bass,6
C2,C,Acoustic Bass,7
E2,E,Acoustic Bass,8
C3,C,Acoustic Bass,9
E2,E,Acoustic Bass,10
C2,C,Acoustic Bass,11
G2,G,Acoustic Bass,12
F2,F,Acoustic Bass,13
C3,C,Acoustic Bass,14
F2,F,Acoustic Bass,15
C3,C,Acoustic Bass,16
F2,F,Acoustic Bass,17
C3,C,Acoustic Bass,18
F2,F,Acoustic Bass,19
F3,F,Acoustic Bass,20
B-2,B-,Acoustic Bass,21
F3,F,Acoustic Bass,22
B-2,B-,Acoustic Bass,23
F2,F,Acoustic Bass,24
B-2,B-,Acoustic Bass,25
D3,D,Acoustic Bass,26
C3,C,Acoustic Bass,27
C2,C,Acoustic Bass,28
C3,C,Acoustic Bass,29
C2,C,Acoustic Bass,30
F2,F,Acoustic Bass,31
F3,F,Acoustic Bass,32
F3,F,Acoustic Bass,33
F3,F,Acoustic Bass,34
F3,F,Acoustic Bass,35
F3,F,Acoustic Bass,36
E3,E,Acoustic Bass,37
D3,D,Acoustic Bass,38
C3,C,Acoustic Bass,39
D3,D,Acoustic Bass,40
E3,E,Acoustic Bass,41
F3,F,Acoustic Bass,42
