NoteOctave,Note,Instrument,Position
B-2,B-,Harpsichord,0
D3,D,Harpsichord,1
B-2,B-,Harpsichord,2
B-2,B-,Harpsichord,3
F2,F,Harpsichord,4
B-2,B-,Harpsichord,5
G#2,G#,Harpsichord,6
B-2,B-,Harpsichord,7
B-2,B-,Harpsichord,8
B-2,B-,Harpsichord,9
B-2,B-,Harpsichord,10
E-3,E-,Harpsichord,11
B-2,B-,Harpsichord,12
E-2,E-,Harpsichord,13
B-3,B-,Oboe,0
B-3,B-,Oboe,1
E-4,E-,Oboe,2
E-4,E-,Oboe,3
F4,F,Oboe,4
F4,F,Oboe,5
G4,G,Oboe,6
E-4,E-,Oboe,7
G4,G,Oboe,8
G#4,G#,Oboe,9
B-4,B-,Oboe,10
B-4,B-,Oboe,11
B-4,B-,Oboe,12
B-4,B-,Oboe,13
C5,C,Oboe,14
B-4,B-,Oboe,15
G#4,G#,Oboe,16
G4,G,Oboe,17
B-4,B-,Oboe,18
G#4,G#,Oboe,19
G4,G,Oboe,20
F4,F,Oboe,21
G4,G,Oboe,22
G4,G,Oboe,23
G4,G,Oboe,24
G4,G,Oboe,25
G#4,G#,Oboe,26
G4,G,Oboe,27
F4,F,Oboe,28
F4,F,Oboe,29
G4,G,Oboe,30
F4,F,Oboe,31
E-4,E-,Oboe,32
B-4,B-,Oboe,33
B-4,B-,Oboe,34
B-4,B-,Oboe,35
B-4,B-,Oboe,36
C5,C,Oboe,37
B-4,B-,Oboe,38
G#4,G#,Oboe,39
G4,G,Oboe,40
F4,F,Oboe,41
E-4,E-,Oboe,42
C4,C,Oboe,43
D4,D,Oboe,44
E-4,E-,Oboe,45
E-4,E-,Oboe,46
