NoteOctave,Note,Instrument,Position
E3,E,Horn,0
F#3,F#,Horn,1
G3,G,Horn,2
A3,A,Horn,3
B3,B,Horn,4
G3,G,Horn,5
A3,A,Horn,6
B3,B,Horn,7
A3,A,Horn,8
G3,G,Horn,9
E4,E,Horn,10
D4,D,Horn,11
F4,F,Horn,12
E4,E,Horn,13
D4,D,Horn,14
C4,C,Horn,15
B3,B,Horn,16
A3,A,Horn,17
A3,A,Horn,18
G3,G,Horn,19
G4,G,Horn,20
G4,G,Horn,21
E4,E,Horn,22
A4,A,Horn,23
F#4,F#,Horn,24
G4,G,Horn,25
F#4,F#,Horn,26
E4,E,Horn,27
D4,D,Horn,28
E4,E,Horn,29
E5,E,Horn,30
E5,E,Horn,31
E5,E,Horn,32
A4,A,Horn,33
D5,D,Horn,34
E5,E,Horn,35
D5,D,Horn,36
C5,C,Horn,37
B4,B,Horn,38
G4,G,Horn,39
D5,D,Horn,40
G4,G,Horn,41
D5,D,Horn,42
D5,D,Horn,43
G4,G,Horn,44
G4,G,Horn,45
A4,A,Horn,46
B4,B,Horn,47
C5,C,Horn,48
D5,D,Horn,49
B4,B,Horn,50
A4,A,Horn,51
G4,G,Horn,52
E4,E,Horn,53
A4,A,Horn,54
A4,A,Horn,55
G4,G,Horn,56
G4,G,Horn,57
G4,G,Horn,58
F#4,F#,Horn,59
E4,E,Horn,60
F#4,F#,Horn,61
G4,G,Horn,62
E4,E,Horn,63
A3,A,Horn,64
B3,B,Horn,65
C4,C,Horn,66
B3,B,Horn,67
C#4,C#,Horn,68
D4,D,Horn,69
D4,D,Horn,70
A3,A,Horn,71
B3,B,Horn,72
B-3,B-,Horn,73
A3,A,Horn,74
B3,B,Horn,75
E2,E,Bass Trombone,0
E3,E,Bass Trombone,1
E3,E,Bass Trombone,2
E3,E,Bass Trombone,3
D3,D,Bass Trombone,4
C3,C,Bass Trombone,5
F#3,F#,Bass Trombone,6
B2,B,Bass Trombone,7
E3,E,Bass Trombone,8
B2,B,Bass Trombone,9
E-3,E-,Bass Trombone,10
E3,E,Bass Trombone,11
E2,E,Bass Trombone,12
C4,C,Bass Trombone,13
G3,G,Bass Trombone,14
G#3,G#,Bass Trombone,15
A3,A,Bass Trombone,16
F#3,F#,Bass Trombone,17
G3,G,Bass Trombone,18
F#3,F#,Bass Trombone,19
E3,E,Bass Trombone,20
