NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
F4,F,Trumpet,1
G4,G,Trumpet,2
F4,F,Trumpet,3
D5,D,Trumpet,4
D5,D,Trumpet,5
E-5,E-,Trumpet,6
D5,D,Trumpet,7
D5,D,Trumpet,8
F5,F,Trumpet,9
E-5,E-,Trumpet,10
D5,D,Trumpet,11
C5,C,Trumpet,12
D5,D,Trumpet,13
C5,C,Trumpet,14
B-4,B-,Trumpet,15
F4,F,Trumpet,16
F4,F,Trumpet,17
G4,G,Trumpet,18
F4,F,Trumpet,19
D5,D,Trumpet,20
D5,D,Trumpet,21
E-5,E-,Trumpet,22
D5,D,Trumpet,23
D5,D,Trumpet,24
F5,F,Trumpet,25
E-5,E-,Trumpet,26
D5,D,Trumpet,27
C5,C,Trumpet,28
D5,D,Trumpet,29
C5,C,Trumpet,30
B-4,B-,Trumpet,31
D5,D,Trumpet,32
D5,D,Trumpet,33
A4,A,Trumpet,34
B-4,B-,Trumpet,35
C5,C,Trumpet,36
B-4,B-,Trumpet,37
A4,A,Trumpet,38
G4,G,Trumpet,39
B-4,B-,Trumpet,40
A4,A,Trumpet,41
B-4,B-,Trumpet,42
C5,C,Trumpet,43
D4,D,Trumpet,44
D5,D,Trumpet,45
E-5,E-,Trumpet,46
F4,F,Trumpet,47
F4,F,Trumpet,48
G4,G,Trumpet,49
F4,F,Trumpet,50
D5,D,Trumpet,51
D5,D,Trumpet,52
E-5,E-,Trumpet,53
D5,D,Trumpet,54
D5,D,Trumpet,55
F5,F,Trumpet,56
E-5,E-,Trumpet,57
D5,D,Trumpet,58
F5,F,Trumpet,59
C5,C,Trumpet,60
F5,F,Trumpet,61
B-4,B-,Trumpet,62
G4,G,Trumpet,63
G4,G,Trumpet,64
G4,G,Trumpet,65
F4,F,Trumpet,66
G#4,G#,Trumpet,67
G4,G,Trumpet,68
B-4,B-,Trumpet,69
B-4,B-,Trumpet,70
B-4,B-,Trumpet,71
A4,A,Trumpet,72
C5,C,Trumpet,73
B-4,B-,Trumpet,74
B-4,B-,Trumpet,75
B-4,B-,Trumpet,76
C5,C,Trumpet,77
D5,D,Trumpet,78
E-5,E-,Trumpet,79
G4,G,Trumpet,80
G#4,G#,Trumpet,81
C5,C,Trumpet,82
B-4,B-,Trumpet,83
G4,G,Trumpet,84
G#4,G#,Trumpet,85
F4,F,Trumpet,86
F4,F,Trumpet,87
F4,F,Trumpet,88
F4,F,Trumpet,89
E4,E,Trumpet,90
G4,G,Trumpet,91
F4,F,Trumpet,92
G#4,G#,Trumpet,93
G#4,G#,Trumpet,94
G#4,G#,Trumpet,95
G4,G,Trumpet,96
B-4,B-,Trumpet,97
G#4,G#,Trumpet,98
F5,F,Trumpet,99
F5,F,Trumpet,100
F5,F,Trumpet,101
E-5,E-,Trumpet,102
D5,D,Trumpet,103
D5,D,Trumpet,104
C5,C,Trumpet,105
B-4,B-,Trumpet,106
B-4,B-,Trumpet,107
G#4,G#,Trumpet,108
G4,G,Trumpet,109
G4,G,Trumpet,110
G4,G,Trumpet,111
G4,G,Trumpet,112
F#4,F#,Trumpet,113
G#4,G#,Trumpet,114
G4,G,Trumpet,115
G4,G,Trumpet,116
