NoteOctave,Note,Instrument,Position
F2,F,Acoustic Bass,0
F3,F,Acoustic Bass,1
F2,F,Acoustic Bass,2
F3,F,Acoustic Bass,3
F2,F,Acoustic Bass,4
F3,F,Acoustic Bass,5
F2,F,Acoustic Bass,6
F2,F,Acoustic Bass,7
F3,F,Acoustic Bass,8
F2,F,Acoustic Bass,9
F3,F,Acoustic Bass,10
F2,F,Acoustic Bass,11
F3,F,Acoustic Bass,12
F2,F,Acoustic Bass,13
C3,C,Acoustic Bass,14
F2,F,Acoustic Bass,15
C2,C,Acoustic Bass,16
F2,F,Acoustic Bass,17
F2,F,Acoustic Bass,18
E2,E,Acoustic Bass,19
F2,F,Acoustic Bass,20
F3,F,Acoustic Bass,21
C3,C,Acoustic Bass,22
F2,F,Acoustic Bass,23
G2,G,Acoustic Bass,24
A2,A,Acoustic Bass,25
B-2,B-,Acoustic Bass,26
C3,C,Acoustic Bass,27
F2,F,Acoustic Bass,28
F3,F,Acoustic Bass,29
C3,C,Acoustic Bass,30
C2,C,Acoustic Bass,31
F2,F,Acoustic Bass,32
F2,F,Acoustic Bass,33
