NoteOctave,Note,Instrument,Position
D5,D,Trumpet,0
D5,D,Trumpet,1
D5,D,Trumpet,2
C5,C,Trumpet,3
G4,G,Trumpet,4
A4,A,Trumpet,5
A4,A,Trumpet,6
D5,D,Trumpet,7
D5,D,Trumpet,8
D5,D,Trumpet,9
C5,C,Trumpet,10
G4,G,Trumpet,11
A4,A,Trumpet,12
A4,A,Trumpet,13
A4,A,Trumpet,14
A4,A,Trumpet,15
A4,A,Trumpet,16
D5,D,Trumpet,17
C5,C,Trumpet,18
A4,A,Trumpet,19
A4,A,Trumpet,20
G4,G,Trumpet,21
D5,D,Trumpet,22
D5,D,Trumpet,23
C5,C,Trumpet,24
G4,G,Trumpet,25
G4,G,Trumpet,26
A4,A,Trumpet,27
E4,E,Trumpet,28
E4,E,Trumpet,29
A4,A,Trumpet,30
G4,G,Trumpet,31
G4,G,Trumpet,32
A4,A,Trumpet,33
E4,E,Trumpet,34
E4,E,Trumpet,35
A4,A,Trumpet,36
A4,A,Trumpet,37
A4,A,Trumpet,38
A4,A,Trumpet,39
G4,G,Trumpet,40
G4,G,Trumpet,41
A4,A,Trumpet,42
A4,A,Trumpet,43
D4,D,Horn,0
D4,D,Horn,1
D4,D,Horn,2
C4,C,Horn,3
G3,G,Horn,4
A3,A,Horn,5
A3,A,Horn,6
A4,A,Horn,7
D4,D,Horn,8
G4,G,Horn,9
G4,G,Horn,10
C4,C,Horn,11
E4,E,Horn,12
C4,C,Horn,13
E4,E,Horn,14
C4,C,Horn,15
F4,F,Horn,16
C4,C,Horn,17
E4,E,Horn,18
G4,G,Horn,19
D4,D,Horn,20
C4,C,Horn,21
E4,E,Horn,22
B3,B,Horn,23
C4,C,Horn,24
D4,D,Horn,25
E4,E,Horn,26
D4,D,Horn,27
C4,C,Horn,28
E4,E,Horn,29
B3,B,Horn,30
D4,D,Horn,31
C4,C,Horn,32
D4,D,Horn,33
D4,D,Horn,34
C4,C,Horn,35
E4,E,Horn,36
D4,D,Bass Trombone,0
D4,D,Bass Trombone,1
D4,D,Bass Trombone,2
C4,C,Bass Trombone,3
G3,G,Bass Trombone,4
A3,A,Bass Trombone,5
A3,A,Bass Trombone,6
F3,F,Bass Trombone,7
E3,E,Bass Trombone,8
D3,D,Bass Trombone,9
D3,D,Bass Trombone,10
E3,E,Bass Trombone,11
F3,F,Bass Trombone,12
G3,G,Bass Trombone,13
F3,F,Bass Trombone,14
F3,F,Bass Trombone,15
E3,E,Bass Trombone,16
F3,F,Bass Trombone,17
G3,G,Bass Trombone,18
A3,A,Bass Trombone,19
G3,G,Bass Trombone,20
F3,F,Bass Trombone,21
E3,E,Bass Trombone,22
F3,F,Bass Trombone,23
F3,F,Bass Trombone,24
G3,G,Bass Trombone,25
D3,D,Bass Trombone,26
A2,A,Bass Trombone,27
E3,E,Bass Trombone,28
C3,C,Bass Trombone,29
E3,E,Bass Trombone,30
A3,A,Bass Trombone,31
G3,G,Bass Trombone,32
F3,F,Bass Trombone,33
C3,C,Bass Trombone,34
F3,F,Bass Trombone,35
G3,G,Bass Trombone,36
A3,A,Bass Trombone,37
G3,G,Bass Trombone,38
F3,F,Bass Trombone,39
E3,E,Bass Trombone,40
D3,D,Bass Trombone,41
E3,E,Bass Trombone,42
A2,A,Bass Trombone,43
A2,A,Bass Trombone,44
F2,F,Tuba,0
E2,E,Tuba,1
D2,D,Tuba,2
D2,D,Tuba,3
E2,E,Tuba,4
F2,F,Tuba,5
G2,G,Tuba,6
F2,F,Tuba,7
F2,F,Tuba,8
E2,E,Tuba,9
F2,F,Tuba,10
G2,G,Tuba,11
A2,A,Tuba,12
G2,G,Tuba,13
F2,F,Tuba,14
E2,E,Tuba,15
F2,F,Tuba,16
F2,F,Tuba,17
G2,G,Tuba,18
D2,D,Tuba,19
A1,A,Tuba,20
E2,E,Tuba,21
C2,C,Tuba,22
E2,E,Tuba,23
A2,A,Tuba,24
G2,G,Tuba,25
F2,F,Tuba,26
C2,C,Tuba,27
F2,F,Tuba,28
G2,G,Tuba,29
A2,A,Tuba,30
G2,G,Tuba,31
F2,F,Tuba,32
E2,E,Tuba,33
D2,D,Tuba,34
E2,E,Tuba,35
A1,A,Tuba,36
A1,A,Tuba,37
D5,D,StringInstrument,0
D5,D,StringInstrument,1
D5,D,StringInstrument,2
C5,C,StringInstrument,3
G4,G,StringInstrument,4
A4,A,StringInstrument,5
A4,A,StringInstrument,6
A5,A,StringInstrument,7
A4,A,StringInstrument,8
G5,G,StringInstrument,9
G4,G,StringInstrument,10
C6,C,StringInstrument,11
C5,C,StringInstrument,12
F2,F,StringInstrument,0
E2,E,StringInstrument,1
D2,D,StringInstrument,2
D2,D,StringInstrument,3
E2,E,StringInstrument,4
F2,F,StringInstrument,5
G2,G,StringInstrument,6
F2,F,StringInstrument,7
F2,F,StringInstrument,8
E2,E,StringInstrument,9
F2,F,StringInstrument,10
G2,G,StringInstrument,11
A2,A,StringInstrument,12
G2,G,StringInstrument,13
F2,F,StringInstrument,14
E2,E,StringInstrument,15
F2,F,StringInstrument,16
F2,F,StringInstrument,17
G2,G,StringInstrument,18
D2,D,StringInstrument,19
A1,A,StringInstrument,20
E2,E,StringInstrument,21
C2,C,StringInstrument,22
E2,E,StringInstrument,23
A2,A,StringInstrument,24
G2,G,StringInstrument,25
F2,F,StringInstrument,26
C2,C,StringInstrument,27
F2,F,StringInstrument,28
G2,G,StringInstrument,29
A2,A,StringInstrument,30
G2,G,StringInstrument,31
F2,F,StringInstrument,32
E2,E,StringInstrument,33
D2,D,StringInstrument,34
E2,E,StringInstrument,35
A1,A,StringInstrument,36
E2,E,Timpani,0
A2,A,Timpani,1
A2,A,Timpani,2
