NoteOctave,Note,Instrument,Position
C4,C,Sitar,0
F4,F,Sitar,1
G4,G,Sitar,2
A4,A,Sitar,3
G4,G,Sitar,4
F4,F,Sitar,5
B-4,B-,Sitar,6
A4,A,Sitar,7
B-4,B-,Sitar,8
C5,C,Sitar,9
D5,D,Sitar,10
B-4,B-,Sitar,11
D5,D,Sitar,12
C5,C,Sitar,13
B-4,B-,Sitar,14
C5,C,Sitar,15
D5,D,Sitar,16
C5,C,Sitar,17
B-4,B-,Sitar,18
A4,A,Sitar,19
G4,G,Sitar,20
F4,F,Sitar,21
G4,G,Sitar,22
A4,A,Sitar,23
C5,C,Sitar,24
A4,A,Sitar,25
G4,G,Sitar,26
F4,F,Sitar,27
G4,G,Sitar,28
C4,C,Sitar,29
F4,F,Sitar,30
G4,G,Sitar,31
A4,A,Sitar,32
G4,G,Sitar,33
C5,C,Sitar,34
B-4,B-,Sitar,35
D5,D,Sitar,36
C5,C,Sitar,37
B-4,B-,Sitar,38
A4,A,Sitar,39
G4,G,Sitar,40
G4,G,Sitar,41
A4,A,Sitar,42
B-4,B-,Sitar,43
C5,C,Sitar,44
B-4,B-,Sitar,45
A4,A,Sitar,46
G4,G,Sitar,47
F4,F,Sitar,48
G4,G,Sitar,49
A4,A,Sitar,50
C5,C,Sitar,51
A4,A,Sitar,52
G4,G,Sitar,53
F4,F,Sitar,54
F5,F,Sitar,55
F5,F,Sitar,56
D5,D,Sitar,57
C5,C,Sitar,58
D5,D,Sitar,59
F5,F,Sitar,60
D5,D,Sitar,61
D5,D,Sitar,62
G5,G,Sitar,63
F5,F,Sitar,64
D5,D,Sitar,65
C5,C,Sitar,66
A4,A,Sitar,67
C5,C,Sitar,68
A4,A,Sitar,69
G4,G,Sitar,70
F4,F,Sitar,71
F4,F,Sitar,72
F4,F,Sitar,73
F4,F,Sitar,74
F4,F,Sitar,75
G4,G,Sitar,76
A4,A,Sitar,77
G4,G,Sitar,78
F4,F,Sitar,79
C5,C,Sitar,80
C5,C,Sitar,81
C5,C,Sitar,82
C5,C,Sitar,83
A4,A,Sitar,84
C5,C,Sitar,85
D5,D,Sitar,86
F5,F,Sitar,87
D5,D,Sitar,88
C5,C,Sitar,89
C5,C,Sitar,90
A4,A,Sitar,91
D5,D,Sitar,92
C5,C,Sitar,93
A4,A,Sitar,94
G4,G,Sitar,95
F4,F,Sitar,96
D4,D,Sitar,97
C4,C,Sitar,98
F4,F,Sitar,99
F2,F,Acoustic Bass,0
C3,C,Acoustic Bass,1
F2,F,Acoustic Bass,2
C3,C,Acoustic Bass,3
C4,C,Xylophone,0
F4,F,Xylophone,1
G4,G,Xylophone,2
A4,A,Xylophone,3
G4,G,Xylophone,4
F4,F,Xylophone,5
B-4,B-,Xylophone,6
A4,A,Xylophone,7
B-4,B-,Xylophone,8
C5,C,Xylophone,9
D5,D,Xylophone,10
B-4,B-,Xylophone,11
D5,D,Xylophone,12
B-4,B-,Xylophone,13
C5,C,Xylophone,14
D5,D,Xylophone,15
C5,C,Xylophone,16
B-4,B-,Xylophone,17
A4,A,Xylophone,18
G4,G,Xylophone,19
F4,F,Xylophone,20
G4,G,Xylophone,21
A4,A,Xylophone,22
C5,C,Xylophone,23
A4,A,Xylophone,24
G4,G,Xylophone,25
F4,F,Xylophone,26
G4,G,Xylophone,27
C4,C,Xylophone,28
F4,F,Xylophone,29
G4,G,Xylophone,30
A4,A,Xylophone,31
G4,G,Xylophone,32
C5,C,Xylophone,33
B-4,B-,Xylophone,34
D5,D,Xylophone,35
C5,C,Xylophone,36
B-4,B-,Xylophone,37
A4,A,Xylophone,38
G4,G,Xylophone,39
G4,G,Xylophone,40
A4,A,Xylophone,41
B-4,B-,Xylophone,42
C5,C,Xylophone,43
B-4,B-,Xylophone,44
A4,A,Xylophone,45
G4,G,Xylophone,46
F4,F,Xylophone,47
G4,G,Xylophone,48
A4,A,Xylophone,49
C5,C,Xylophone,50
A4,A,Xylophone,51
G4,G,Xylophone,52
F4,F,Xylophone,53
F5,F,Xylophone,54
F5,F,Xylophone,55
D5,D,Xylophone,56
C5,C,Xylophone,57
D5,D,Xylophone,58
F5,F,Xylophone,59
D5,D,Xylophone,60
D5,D,Xylophone,61
G5,G,Xylophone,62
F5,F,Xylophone,63
D5,D,Xylophone,64
C5,C,Xylophone,65
A4,A,Xylophone,66
C3,C,Xylophone,67
A4,A,Xylophone,68
G4,G,Xylophone,69
F4,F,Xylophone,70
F4,F,Xylophone,71
F4,F,Xylophone,72
F4,F,Xylophone,73
F4,F,Xylophone,74
G4,G,Xylophone,75
A4,A,Xylophone,76
G4,G,Xylophone,77
F4,F,Xylophone,78
C5,C,Xylophone,79
C5,C,Xylophone,80
C5,C,Xylophone,81
A4,A,Xylophone,82
C5,C,Xylophone,83
D5,D,Xylophone,84
F5,F,Xylophone,85
D5,D,Xylophone,86
C5,C,Xylophone,87
C5,C,Xylophone,88
A4,A,Xylophone,89
D5,D,Xylophone,90
C5,C,Xylophone,91
A4,A,Xylophone,92
G4,G,Xylophone,93
F4,F,Xylophone,94
D4,D,Xylophone,95
C4,C,Xylophone,96
