NoteOctave,Note,Instrument,Position
D4,D,Horn,0
D4,D,Horn,1
G4,G,Horn,2
A4,A,Horn,3
A4,A,Horn,4
B4,B,Horn,5
D4,D,Horn,6
D4,D,Horn,7
E4,E,Horn,8
F#4,F#,Horn,9
F#4,F#,Horn,10
G4,G,Horn,11
D4,D,Horn,12
D4,D,Horn,13
G4,G,Horn,14
A4,A,Horn,15
A4,A,Horn,16
B4,B,Horn,17
D5,D,Horn,18
C5,C,Horn,19
B4,B,Horn,20
A4,A,Horn,21
A4,A,Horn,22
G4,G,Horn,23
B4,B,Horn,24
C5,C,Horn,25
D5,D,Horn,26
D5,D,Horn,27
D5,D,Horn,28
D5,D,Horn,29
C5,C,Horn,30
B4,B,Horn,31
C5,C,Horn,32
D5,D,Horn,33
D5,D,Horn,34
D5,D,Horn,35
D5,D,Horn,36
C5,C,Horn,37
B4,B,Horn,38
A4,A,Horn,39
A4,A,Horn,40
A4,A,Horn,41
A4,A,Horn,42
G4,G,Horn,43
F#4,F#,Horn,44
G4,G,Horn,45
A4,A,Horn,46
A4,A,Horn,47
A4,A,Horn,48
A4,A,Horn,49
D4,D,Horn,50
D4,D,Horn,51
B4,B,Horn,52
B4,B,Horn,53
B4,B,Horn,54
B4,B,Horn,55
G4,G,Horn,56
D4,D,Horn,57
E4,E,Horn,58
E4,E,Horn,59
E4,E,Horn,60
E4,E,Horn,61
C5,C,Horn,62
A4,A,Horn,63
D5,D,Horn,64
F#4,F#,Horn,65
F#4,F#,Horn,66
G4,G,Horn,67
D4,D,Celesta,0
D4,D,Celesta,1
G4,G,Celesta,2
A4,A,Celesta,3
A4,A,Celesta,4
B4,B,Celesta,5
D4,D,Celesta,6
D4,D,Celesta,7
E4,E,Celesta,8
F#4,F#,Celesta,9
F#4,F#,Celesta,10
G4,G,Celesta,11
D4,D,Celesta,12
D4,D,Celesta,13
G4,G,Celesta,14
A4,A,Celesta,15
A4,A,Celesta,16
B4,B,Celesta,17
D5,D,Celesta,18
C5,C,Celesta,19
B4,B,Celesta,20
A4,A,Celesta,21
A4,A,Celesta,22
G4,G,Celesta,23
B4,B,Celesta,24
C5,C,Celesta,25
D5,D,Celesta,26
D5,D,Celesta,27
D5,D,Celesta,28
D5,D,Celesta,29
C5,C,Celesta,30
B4,B,Celesta,31
C5,C,Celesta,32
D5,D,Celesta,33
D5,D,Celesta,34
D5,D,Celesta,35
D5,D,Celesta,36
C5,C,Celesta,37
B4,B,Celesta,38
A4,A,Celesta,39
A4,A,Celesta,40
A4,A,Celesta,41
A4,A,Celesta,42
G4,G,Celesta,43
F#4,F#,Celesta,44
G4,G,Celesta,45
A4,A,Celesta,46
A4,A,Celesta,47
A4,A,Celesta,48
A4,A,Celesta,49
D4,D,Celesta,50
D4,D,Celesta,51
B4,B,Celesta,52
B4,B,Celesta,53
B4,B,Celesta,54
B4,B,Celesta,55
G4,G,Celesta,56
D4,D,Celesta,57
E4,E,Celesta,58
E4,E,Celesta,59
E4,E,Celesta,60
E4,E,Celesta,61
C5,C,Celesta,62
A4,A,Celesta,63
D5,D,Celesta,64
F#4,F#,Celesta,65
F#4,F#,Celesta,66
G4,G,Celesta,67
D3,D,Accordion,0
D3,D,Accordion,1
G2,G,Accordion,2
G2,G,Accordion,3
D2,D,Accordion,4
D2,D,Accordion,5
D4,D,Electric Organ,0
D4,D,Electric Organ,1
B3,B,Electric Organ,2
D4,D,Electric Organ,3
C5,C,Electric Organ,4
A4,A,Electric Organ,5
F#4,F#,Electric Organ,6
D5,D,Electric Organ,7
G4,G,Electric Organ,8
B4,B,Electric Organ,9
B4,B,Electric Organ,10
A4,A,Electric Organ,11
G4,G,Electric Organ,12
D4,D,Electric Organ,13
D4,D,Electric Organ,14
D4,D,Electric Organ,15
D4,D,Electric Organ,16
B3,B,Electric Organ,17
D4,D,Electric Organ,18
D4,D,Electric Organ,19
B3,B,Electric Organ,20
D4,D,Electric Organ,21
D4,D,Electric Organ,22
D4,D,Electric Organ,23
E4,E,Electric Organ,24
F#4,F#,Electric Organ,25
D4,D,Electric Organ,26
D4,D,Electric Organ,27
D4,D,Electric Organ,28
D4,D,Electric Organ,29
B3,B,Electric Organ,30
D4,D,Electric Organ,31
G4,G,Electric Organ,32
D4,D,Electric Organ,33
A4,A,Electric Organ,34
D4,D,Electric Organ,35
D4,D,Electric Organ,36
B3,B,Electric Organ,37
D4,D,Electric Organ,38
A3,A,Electric Organ,39
F#4,F#,Electric Organ,40
F#4,F#,Electric Organ,41
D4,D,Electric Organ,42
D4,D,Electric Organ,43
D4,D,Electric Organ,44
D4,D,Electric Organ,45
B3,B,Electric Organ,46
D4,D,Electric Organ,47
G4,G,Electric Organ,48
D4,D,Electric Organ,49
A4,A,Electric Organ,50
D4,D,Electric Organ,51
D5,D,Electric Organ,52
C5,C,Electric Organ,53
A4,A,Electric Organ,54
A4,A,Electric Organ,55
D4,D,Electric Organ,56
B3,B,Electric Organ,57
D4,D,Electric Organ,58
D4,D,Electric Organ,59
D4,D,Electric Organ,60
G4,G,Electric Organ,61
E4,E,Electric Organ,62
G4,G,Electric Organ,63
A4,A,Electric Organ,64
D4,D,Electric Organ,65
D4,D,Electric Organ,66
E4,E,Electric Organ,67
F#4,F#,Electric Organ,68
