NoteOctave,Note,Instrument,Position
B-4,B-,Trumpet,0
F4,F,Trumpet,1
B-4,B-,Trumpet,2
A4,A,Trumpet,3
B-4,B-,Trumpet,4
C5,C,Trumpet,5
D5,D,Trumpet,6
C5,C,Trumpet,7
B-4,B-,Trumpet,8
D5,D,Trumpet,9
C5,C,Trumpet,10
C5,C,Trumpet,11
B-4,B-,Trumpet,12
A4,A,Trumpet,13
B-4,B-,Trumpet,14
C5,C,Trumpet,15
D5,D,Trumpet,16
E-5,E-,Trumpet,17
D5,D,Trumpet,18
C5,C,Trumpet,19
E-5,E-,Trumpet,20
D5,D,Trumpet,21
D5,D,Trumpet,22
C5,C,Trumpet,23
D5,D,Trumpet,24
E-5,E-,Trumpet,25
F5,F,Trumpet,26
E-5,E-,Trumpet,27
D5,D,Trumpet,28
D5,D,Trumpet,29
D5,D,Trumpet,30
E-5,E-,Trumpet,31
F5,F,Trumpet,32
E-5,E-,Trumpet,33
D5,D,Trumpet,34
D5,D,Trumpet,35
C5,C,Trumpet,36
C5,C,Trumpet,37
B-4,B-,Trumpet,38
D4,D,Horn,0
D4,D,Horn,1
D4,D,Horn,2
C4,C,Horn,3
D4,D,Horn,4
F4,F,Horn,5
B-4,B-,Horn,6
F4,F,Horn,7
F4,F,Horn,8
B-4,B-,Horn,9
A4,A,Horn,10
A4,A,Horn,11
G4,G,Horn,12
F4,F,Horn,13
G4,G,Horn,14
A4,A,Horn,15
B-4,B-,Horn,16
C5,C,Horn,17
B-4,B-,Horn,18
A4,A,Horn,19
C5,C,Horn,20
B-4,B-,Horn,21
B-4,B-,Horn,22
A4,A,Horn,23
B-4,B-,Horn,24
C5,C,Horn,25
D5,D,Horn,26
C5,C,Horn,27
B-4,B-,Horn,28
B-4,B-,Horn,29
B-4,B-,Horn,30
C5,C,Horn,31
D5,D,Horn,32
C5,C,Horn,33
B-4,B-,Horn,34
B-4,B-,Horn,35
F4,F,Horn,36
F4,F,Horn,37
D4,D,Horn,38
B-3,B-,Bass Trombone,0
B-3,B-,Bass Trombone,1
B-3,B-,Bass Trombone,2
B-2,B-,Bass Trombone,3
B-3,B-,Bass Trombone,4
D4,D,Bass Trombone,5
B-3,B-,Bass Trombone,6
F4,F,Bass Trombone,7
F4,F,Bass Trombone,8
F4,F,Bass Trombone,9
F4,F,Bass Trombone,10
E-4,E-,Bass Trombone,11
D4,D,Bass Trombone,12
B-3,B-,Bass Trombone,13
F3,F,Bass Trombone,14
F3,F,Bass Trombone,15
F3,F,Bass Trombone,16
F3,F,Bass Trombone,17
B-3,B-,Bass Trombone,18
B-3,B-,Bass Trombone,19
F3,F,Bass Trombone,20
G3,G,Bass Trombone,21
A3,A,Bass Trombone,22
B-3,B-,Bass Trombone,23
B-3,B-,Bass Trombone,24
B-3,B-,Bass Trombone,25
F3,F,Bass Trombone,26
G3,G,Bass Trombone,27
A3,A,Bass Trombone,28
B-3,B-,Bass Trombone,29
F3,F,Bass Trombone,30
D3,D,Bass Trombone,31
B-2,B-,Bass Trombone,32
F3,F,Bass Trombone,33
F3,F,Bass Trombone,34
B-2,B-,Bass Trombone,35
B-1,B-,Tuba,0
B-1,B-,Tuba,1
B-1,B-,Tuba,2
B-1,B-,Tuba,3
B-1,B-,Tuba,4
D2,D,Tuba,5
B-1,B-,Tuba,6
F2,F,Tuba,7
F2,F,Tuba,8
F2,F,Tuba,9
F2,F,Tuba,10
E-2,E-,Tuba,11
D2,D,Tuba,12
B-1,B-,Tuba,13
F2,F,Tuba,14
F2,F,Tuba,15
F2,F,Tuba,16
F2,F,Tuba,17
B-1,B-,Tuba,18
B-2,B-,Tuba,19
F2,F,Tuba,20
G2,G,Tuba,21
A2,A,Tuba,22
B-2,B-,Tuba,23
B-1,B-,Tuba,24
B-2,B-,Tuba,25
F2,F,Tuba,26
G2,G,Tuba,27
A2,A,Tuba,28
B-2,B-,Tuba,29
F2,F,Tuba,30
D2,D,Tuba,31
B-1,B-,Tuba,32
F2,F,Tuba,33
F2,F,Tuba,34
B-1,B-,Tuba,35
F4,F,StringInstrument,0
F5,F,StringInstrument,1
B-5,B-,StringInstrument,2
B-4,B-,StringInstrument,3
B-4,B-,StringInstrument,4
B-5,B-,StringInstrument,5
E-5,E-,StringInstrument,6
E-6,E-,StringInstrument,7
E-5,E-,StringInstrument,8
E-6,E-,StringInstrument,9
B-1,B-,StringInstrument,0
B-1,B-,StringInstrument,1
B-1,B-,StringInstrument,2
B-1,B-,StringInstrument,3
B-1,B-,StringInstrument,4
D2,D,StringInstrument,5
B-1,B-,StringInstrument,6
F2,F,StringInstrument,7
F2,F,StringInstrument,8
F2,F,StringInstrument,9
F2,F,StringInstrument,10
E-2,E-,StringInstrument,11
D2,D,StringInstrument,12
B-1,B-,StringInstrument,13
F2,F,StringInstrument,14
F2,F,StringInstrument,15
F2,F,StringInstrument,16
F2,F,StringInstrument,17
B-1,B-,StringInstrument,18
B-2,B-,StringInstrument,19
F2,F,StringInstrument,20
G2,G,StringInstrument,21
A2,A,StringInstrument,22
B-2,B-,StringInstrument,23
B-1,B-,StringInstrument,24
B-2,B-,StringInstrument,25
F2,F,StringInstrument,26
G2,G,StringInstrument,27
A2,A,StringInstrument,28
B-2,B-,StringInstrument,29
F2,F,StringInstrument,30
D2,D,StringInstrument,31
B-1,B-,StringInstrument,32
F2,F,StringInstrument,33
F2,F,StringInstrument,34
B-1,B-,StringInstrument,35
F2,F,Timpani,0
F2,F,Timpani,1
F2,F,Timpani,2
F2,F,Timpani,3
B-2,B-,Timpani,4
B-2,B-,Timpani,5
B-2,B-,Timpani,6
B-2,B-,Timpani,7
B-2,B-,Timpani,8
F2,F,Timpani,9
F2,F,Timpani,10
F2,F,Timpani,11
F2,F,Timpani,12
F2,F,Timpani,13
B-2,B-,Timpani,14
B-2,B-,Timpani,15
B-2,B-,Timpani,16
B-2,B-,Timpani,17
B-2,B-,Timpani,18
