NoteOctave,Note,Instrument,Position
B-4,B-,Bass clarinet,0
B-4,B-,Bass clarinet,1
E-5,E-,Bass clarinet,2
E-5,E-,Bass clarinet,3
G4,G,Bass clarinet,4
B-4,B-,Bass clarinet,5
G#4,G#,Bass clarinet,6
G#4,G#,Bass clarinet,7
G#4,G#,Bass clarinet,8
G#4,G#,Bass clarinet,9
B-4,B-,Bass clarinet,10
C5,C,Bass clarinet,11
B-4,B-,Bass clarinet,12
G#4,G#,Bass clarinet,13
G4,G,Bass clarinet,14
B-4,B-,Bass clarinet,15
B-4,B-,Bass clarinet,16
E-5,E-,Bass clarinet,17
E-5,E-,Bass clarinet,18
D5,D,Bass clarinet,19
C5,C,Bass clarinet,20
C5,C,Bass clarinet,21
F5,F,Bass clarinet,22
E-5,E-,Bass clarinet,23
D5,D,Bass clarinet,24
B-4,B-,Bass clarinet,25
D5,D,Bass clarinet,26
C5,C,Bass clarinet,27
B-4,B-,Bass clarinet,28
F4,F,Bass clarinet,29
F4,F,Bass clarinet,30
G4,G,Bass clarinet,31
G#4,G#,Bass clarinet,32
B-4,B-,Bass clarinet,33
C5,C,Bass clarinet,34
C5,C,Bass clarinet,35
B-4,B-,Bass clarinet,36
G#4,G#,Bass clarinet,37
G4,G,Bass clarinet,38
B-4,B-,Bass clarinet,39
B-4,B-,Bass clarinet,40
E-5,E-,Bass clarinet,41
D5,D,Bass clarinet,42
B-4,B-,Bass clarinet,43
B-4,B-,Bass clarinet,44
C5,C,Bass clarinet,45
D5,D,Bass clarinet,46
E-5,E-,Bass clarinet,47
F5,F,Bass clarinet,48
G5,G,Bass clarinet,49
F5,F,Bass clarinet,50
E-5,E-,Bass clarinet,51
C5,C,Bass clarinet,52
B-4,B-,Bass clarinet,53
G4,G,Bass clarinet,54
B-4,B-,Bass clarinet,55
G#4,G#,Bass clarinet,56
G4,G,Bass clarinet,57
B-4,B-,Bass clarinet,58
B-4,B-,Bass clarinet,59
C5,C,Bass clarinet,60
D5,D,Bass clarinet,61
E-5,E-,Bass clarinet,62
F5,F,Bass clarinet,63
G5,G,Bass clarinet,64
F5,F,Bass clarinet,65
E-5,E-,Bass clarinet,66
C5,C,Bass clarinet,67
B-4,B-,Bass clarinet,68
E-5,E-,Bass clarinet,69
D5,D,Bass clarinet,70
F5,F,Bass clarinet,71
E-5,E-,Bass clarinet,72
B-4,B-,Electric Organ,0
C4,C,Electric Organ,1
C5,C,Electric Organ,2
B-4,B-,Electric Organ,3
G4,G,Electric Organ,4
E-4,E-,Electric Organ,5
E-3,E-,Electric Bass,0
E-2,E-,Electric Bass,1
E-2,E-,Electric Bass,2
E-2,E-,Electric Bass,3
E-2,E-,Electric Bass,4
C3,C,Electric Bass,5
C2,C,Electric Bass,6
C2,C,Electric Bass,7
F2,F,Electric Bass,8
F2,F,Electric Bass,9
F2,F,Electric Bass,10
B-2,B-,Electric Bass,11
B-2,B-,Electric Bass,12
E-2,E-,Electric Bass,13
E-3,E-,Electric Bass,14
E-2,E-,Electric Bass,15
E-2,E-,Electric Bass,16
E-2,E-,Electric Bass,17
E-2,E-,Electric Bass,18
F2,F,Electric Bass,19
E-2,E-,Electric Bass,20
D2,D,Electric Bass,21
E-2,E-,Electric Bass,22
F2,F,Electric Bass,23
F2,F,Electric Bass,24
F2,F,Electric Bass,25
F2,F,Electric Bass,26
B-2,B-,Electric Bass,27
B-2,B-,Electric Bass,28
B-3,B-,Electric Bass,29
B-2,B-,Electric Bass,30
B-3,B-,Electric Bass,31
B-2,B-,Electric Bass,32
B-3,B-,Electric Bass,33
C3,C,Electric Bass,34
D3,D,Electric Bass,35
E-3,E-,Electric Bass,36
E-3,E-,Electric Bass,37
G3,G,Electric Bass,38
E-3,E-,Electric Bass,39
B-2,B-,Electric Bass,40
B-2,B-,Electric Bass,41
C3,C,Electric Bass,42
B-2,B-,Electric Bass,43
A2,A,Electric Bass,44
G#2,G#,Electric Bass,45
G2,G,Electric Bass,46
F2,F,Electric Bass,47
E-2,E-,Electric Bass,48
E-2,E-,Electric Bass,49
B-2,B-,Electric Bass,50
E-2,E-,Electric Bass,51
E-2,E-,Electric Bass,52
B-2,B-,Electric Bass,53
E-3,E-,Electric Bass,54
C3,C,Electric Bass,55
B-2,B-,Electric Bass,56
B-2,B-,Electric Bass,57
B-2,B-,Electric Bass,58
B-1,B-,Electric Bass,59
B2,B,Electric Bass,60
B2,B,Electric Bass,61
C3,C,Electric Bass,62
D2,D,Electric Bass,63
E-3,E-,Electric Bass,64
E-3,E-,Electric Bass,65
E-3,E-,Electric Bass,66
G#2,G#,Electric Bass,67
G2,G,Electric Bass,68
B2,B,Electric Bass,69
C3,C,Electric Bass,70
G#2,G#,Electric Bass,71
B-2,B-,Electric Bass,72
B-2,B-,Electric Bass,73
B-3,B-,Electric Bass,74
B-2,B-,Electric Bass,75
E-3,E-,Electric Bass,76
B-2,B-,Electric Bass,77
G2,G,Electric Bass,78
B-2,B-,Electric Bass,79
E-2,E-,Electric Bass,80
B-4,B-,Reed Organ,0
C4,C,Reed Organ,1
C5,C,Reed Organ,2
B-4,B-,Reed Organ,3
G4,G,Reed Organ,4
E-4,E-,Reed Organ,5
