NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
B-4,B-,Trumpet,1
B-4,B-,Trumpet,2
B-4,B-,Trumpet,3
B-4,B-,Trumpet,4
F4,F,Trumpet,5
B-4,B-,Trumpet,6
C5,C,Trumpet,7
D5,D,Trumpet,8
C5,C,Trumpet,9
B-4,B-,Trumpet,10
F4,F,Trumpet,11
G4,G,Trumpet,12
G4,G,Trumpet,13
G4,G,Trumpet,14
A4,A,Trumpet,15
B-4,B-,Trumpet,16
A4,A,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
B-4,B-,Trumpet,20
F4,F,Trumpet,21
D5,D,Trumpet,22
D5,D,Trumpet,23
D5,D,Trumpet,24
D5,D,Trumpet,25
C5,C,Trumpet,26
D5,D,Trumpet,27
E-5,E-,Trumpet,28
F5,F,Trumpet,29
E-5,E-,Trumpet,30
D5,D,Trumpet,31
F5,F,Trumpet,32
E5,E,Trumpet,33
D5,D,Trumpet,34
C5,C,Trumpet,35
A4,A,Trumpet,36
B-4,B-,Trumpet,37
C5,C,Trumpet,38
C5,C,Trumpet,39
B-4,B-,Trumpet,40
G4,G,Trumpet,41
F4,F,Trumpet,42
F4,F,Trumpet,43
C5,C,Trumpet,44
C5,C,Trumpet,45
C5,C,Trumpet,46
B4,B,Trumpet,47
C5,C,Trumpet,48
D5,D,Trumpet,49
B-4,B-,Trumpet,50
F4,F,Trumpet,51
F4,F,Trumpet,52
E-5,E-,Trumpet,53
E-5,E-,Trumpet,54
E-5,E-,Trumpet,55
D5,D,Trumpet,56
E-5,E-,Trumpet,57
F5,F,Trumpet,58
D5,D,Trumpet,59
B-4,B-,Trumpet,60
G5,G,Trumpet,61
F5,F,Trumpet,62
E-5,E-,Trumpet,63
C5,C,Trumpet,64
D5,D,Trumpet,65
E-5,E-,Trumpet,66
F5,F,Trumpet,67
E-5,E-,Trumpet,68
D5,D,Trumpet,69
D5,D,Trumpet,70
C5,C,Trumpet,71
B4,B,Trumpet,72
C5,C,Trumpet,73
D5,D,Trumpet,74
E-5,E-,Trumpet,75
G4,G,Trumpet,76
A4,A,Trumpet,77
B-4,B-,Trumpet,78
B-4,B-,Horn,0
F4,F,Horn,1
D4,D,Horn,2
D4,D,Horn,3
B-3,B-,Horn,4
B-3,B-,Horn,5
E-4,E-,Horn,6
D4,D,Horn,7
F4,F,Horn,8
D4,D,Horn,9
B-4,B-,Horn,10
F4,F,Horn,11
G4,G,Horn,12
B-4,B-,Horn,13
A4,A,Horn,14
B-4,B-,Horn,15
F4,F,Horn,16
C5,C,Horn,17
F4,F,Horn,18
D5,D,Horn,19
F4,F,Horn,20
A4,A,Horn,21
C5,C,Horn,22
F4,F,Horn,23
B-4,B-,Horn,24
F4,F,Horn,25
A4,A,Horn,26
F4,F,Horn,27
G4,G,Horn,28
F4,F,Horn,29
E4,E,Horn,30
F4,F,Horn,31
E-4,E-,Horn,32
A4,A,Horn,33
E-4,E-,Horn,34
A4,A,Horn,35
F4,F,Horn,36
D4,D,Horn,37
D4,D,Horn,38
D4,D,Horn,39
F4,F,Horn,40
A4,A,Horn,41
B-4,B-,Horn,42
F4,F,Horn,43
B-4,B-,Horn,44
F4,F,Horn,45
G4,G,Horn,46
G#4,G#,Horn,47
D4,D,Horn,48
E-5,E-,Horn,49
G4,G,Horn,50
B4,B,Horn,51
G4,G,Horn,52
D5,D,Horn,53
G4,G,Horn,54
C5,C,Horn,55
B-4,B-,Horn,56
G4,G,Horn,57
C5,C,Horn,58
G#4,G#,Horn,59
F4,F,Horn,60
G4,G,Horn,61
A4,A,Horn,62
G4,G,Horn,63
B-4,B-,Horn,64
C5,C,Horn,65
G4,G,Horn,66
E-4,E-,Horn,67
C4,C,Horn,68
B-2,B-,Bass Trombone,0
F2,F,Bass Trombone,1
B-2,B-,Bass Trombone,2
F3,F,Bass Trombone,3
B-2,B-,Bass Trombone,4
F2,F,Bass Trombone,5
B-2,B-,Bass Trombone,6
F2,F,Bass Trombone,7
B-2,B-,Bass Trombone,8
F2,F,Bass Trombone,9
B-2,B-,Bass Trombone,10
D3,D,Bass Trombone,11
E-3,E-,Bass Trombone,12
D3,D,Bass Trombone,13
C3,C,Bass Trombone,14
F2,F,Bass Trombone,15
F3,F,Bass Trombone,16
B-2,B-,Bass Trombone,17
F2,F,Bass Trombone,18
B-2,B-,Bass Trombone,19
F3,F,Bass Trombone,20
B-3,B-,Bass Trombone,21
A3,A,Bass Trombone,22
G3,G,Bass Trombone,23
F3,F,Bass Trombone,24
E-3,E-,Bass Trombone,25
D3,D,Bass Trombone,26
C3,C,Bass Trombone,27
B-2,B-,Bass Trombone,28
B2,B,Bass Trombone,29
C3,C,Bass Trombone,30
C3,C,Bass Trombone,31
C3,C,Bass Trombone,32
C3,C,Bass Trombone,33
F2,F,Bass Trombone,34
A2,A,Bass Trombone,35
C3,C,Bass Trombone,36
F3,F,Bass Trombone,37
F3,F,Bass Trombone,38
F2,F,Bass Trombone,39
F3,F,Bass Trombone,40
F2,F,Bass Trombone,41
F3,F,Bass Trombone,42
B-2,B-,Bass Trombone,43
D3,D,Bass Trombone,44
