NoteOctave,Note,Instrument,Position
C4,C,Trumpet,0
E4,E,Trumpet,1
G4,G,Trumpet,2
G4,G,Trumpet,3
G4,G,Trumpet,4
G4,G,Trumpet,5
G4,G,Trumpet,6
A4,A,Trumpet,7
B4,B,Trumpet,8
C5,C,Trumpet,9
G4,G,Trumpet,10
E4,E,Trumpet,11
E4,E,Trumpet,12
D4,D,Trumpet,13
E4,E,Trumpet,14
E4,E,Trumpet,15
F4,F,Trumpet,16
G4,G,Trumpet,17
G4,G,Trumpet,18
E4,E,Trumpet,19
C4,C,Trumpet,20
C5,C,Trumpet,21
C5,C,Trumpet,22
B4,B,Trumpet,23
B-4,B-,Trumpet,24
B-4,B-,Trumpet,25
A4,A,Trumpet,26
G#4,G#,Trumpet,27
G#4,G#,Trumpet,28
G4,G,Trumpet,29
C5,C,Trumpet,30
A4,A,Trumpet,31
B4,B,Trumpet,32
C5,C,Trumpet,33
E4,E,Trumpet,34
F4,F,Trumpet,35
G4,G,Trumpet,36
F4,F,Trumpet,37
E4,E,Trumpet,38
D4,D,Trumpet,39
C4,C,Trumpet,40
E4,E,Trumpet,41
G4,G,Trumpet,42
C5,C,Trumpet,43
C5,C,Trumpet,44
C5,C,Trumpet,45
C5,C,Trumpet,46
C5,C,Trumpet,47
D5,D,Trumpet,48
E5,E,Trumpet,49
D5,D,Trumpet,50
C5,C,Trumpet,51
C5,C,Trumpet,52
C5,C,Trumpet,53
C5,C,Trumpet,54
E4,E,Trumpet,55
A4,A,Trumpet,56
G4,G,Trumpet,57
F4,F,Trumpet,58
E4,E,Trumpet,59
D4,D,Trumpet,60
C4,C,Trumpet,61
G4,G,Trumpet,62
G4,G,Trumpet,63
G4,G,Trumpet,64
G4,G,Trumpet,65
D5,D,Trumpet,66
C5,C,Trumpet,67
B4,B,Trumpet,68
A4,A,Trumpet,69
B4,B,Trumpet,70
C5,C,Trumpet,71
G4,G,Trumpet,72
E4,E,Trumpet,73
G4,G,Trumpet,74
G4,G,Trumpet,75
F4,F,Trumpet,76
F4,F,Trumpet,77
A4,A,Trumpet,78
A4,A,Trumpet,79
G4,G,Trumpet,80
B4,B,Trumpet,81
A4,A,Trumpet,82
G4,G,Trumpet,83
F4,F,Trumpet,84
E4,E,Trumpet,85
G4,G,Trumpet,86
G4,G,Trumpet,87
G4,G,Trumpet,88
G4,G,Trumpet,89
D5,D,Trumpet,90
C5,C,Trumpet,91
B4,B,Trumpet,92
A4,A,Trumpet,93
B4,B,Trumpet,94
C5,C,Trumpet,95
G4,G,Trumpet,96
E5,E,Trumpet,97
D5,D,Trumpet,98
C5,C,Trumpet,99
B4,B,Trumpet,100
C5,C,Trumpet,101
B4,B,Trumpet,102
B-4,B-,Trumpet,103
B4,B,Trumpet,104
D5,D,Trumpet,105
C5,C,Trumpet,106
A4,A,Trumpet,107
G4,G,Trumpet,108
G4,G,Trumpet,109
G4,G,Trumpet,110
G4,G,Trumpet,111
G4,G,Trumpet,112
G4,G,Trumpet,113
G4,G,Trumpet,114
G4,G,Trumpet,115
G#4,G#,Trumpet,116
B-4,B-,Trumpet,117
E-5,E-,Trumpet,118
G4,G,Trumpet,119
B-4,B-,Trumpet,120
B-4,B-,Trumpet,121
G#4,G#,Trumpet,122
G#4,G#,Trumpet,123
C5,C,Trumpet,124
C5,C,Trumpet,125
B-4,B-,Trumpet,126
D5,D,Trumpet,127
C5,C,Trumpet,128
B-4,B-,Trumpet,129
G#4,G#,Trumpet,130
G4,G,Trumpet,131
G4,G,Trumpet,132
G4,G,Trumpet,133
G#4,G#,Trumpet,134
G4,G,Trumpet,135
G4,G,Trumpet,136
G#4,G#,Trumpet,137
G4,G,Trumpet,138
G4,G,Trumpet,139
C5,C,Trumpet,140
D5,D,Trumpet,141
E-5,E-,Trumpet,142
C5,C,Trumpet,143
C5,C,Trumpet,144
C5,C,Trumpet,145
E-4,E-,Trumpet,146
E-4,E-,Trumpet,147
E-4,E-,Trumpet,148
F4,F,Trumpet,149
E-4,E-,Trumpet,150
F4,F,Trumpet,151
G4,G,Trumpet,152
B4,B,Trumpet,153
C5,C,Trumpet,154
D5,D,Trumpet,155
E-5,E-,Trumpet,156
C5,C,Trumpet,157
B4,B,Trumpet,158
C5,C,Trumpet,159
D5,D,Trumpet,160
C5,C,Trumpet,161
C5,C,Trumpet,162
G4,G,Trumpet,163
C4,C,Trumpet,164
E4,E,Trumpet,165
G4,G,Trumpet,166
G4,G,Trumpet,167
G4,G,Trumpet,168
G4,G,Trumpet,169
G4,G,Trumpet,170
A4,A,Trumpet,171
B4,B,Trumpet,172
C5,C,Trumpet,173
G4,G,Trumpet,174
E4,E,Trumpet,175
E4,E,Trumpet,176
D4,D,Trumpet,177
E4,E,Trumpet,178
E4,E,Trumpet,179
F4,F,Trumpet,180
G4,G,Trumpet,181
G4,G,Trumpet,182
E4,E,Trumpet,183
C4,C,Trumpet,184
C5,C,Trumpet,185
C5,C,Trumpet,186
B4,B,Trumpet,187
B-4,B-,Trumpet,188
B-4,B-,Trumpet,189
A4,A,Trumpet,190
G#4,G#,Trumpet,191
G#4,G#,Trumpet,192
G4,G,Trumpet,193
C5,C,Trumpet,194
A4,A,Trumpet,195
B4,B,Trumpet,196
C5,C,Trumpet,197
E4,E,Trumpet,198
F4,F,Trumpet,199
G4,G,Trumpet,200
F4,F,Trumpet,201
E4,E,Trumpet,202
D4,D,Trumpet,203
C4,C,Trumpet,204
E4,E,Trumpet,205
G4,G,Trumpet,206
C5,C,Trumpet,207
C5,C,Trumpet,208
C5,C,Trumpet,209
C5,C,Trumpet,210
C5,C,Trumpet,211
D5,D,Trumpet,212
E5,E,Trumpet,213
D5,D,Trumpet,214
C5,C,Trumpet,215
C5,C,Trumpet,216
C5,C,Trumpet,217
C5,C,Trumpet,218
E4,E,Trumpet,219
A4,A,Trumpet,220
G4,G,Trumpet,221
F4,F,Trumpet,222
E4,E,Trumpet,223
D4,D,Trumpet,224
C4,C,Trumpet,225
C4,C,Horn,0
E4,E,Horn,1
G3,G,Horn,2
A3,A,Horn,3
B3,B,Horn,4
C4,C,Horn,5
C4,C,Horn,6
C4,C,Horn,7
B3,B,Horn,8
C4,C,Horn,9
C4,C,Horn,10
D4,D,Horn,11
B3,B,Horn,12
G3,G,Horn,13
E4,E,Horn,14
C4,C,Horn,15
G4,G,Horn,16
C4,C,Horn,17
E4,E,Horn,18
A3,A,Horn,19
A3,A,Horn,20
B3,B,Horn,21
C4,C,Horn,22
B3,B,Horn,23
D4,D,Horn,24
D4,D,Horn,25
C4,C,Horn,26
G3,G,Horn,27
E3,E,Horn,28
E3,E,Horn,29
G3,G,Horn,30
E4,E,Horn,31
D4,D,Horn,32
B3,B,Horn,33
E4,E,Horn,34
A3,A,Horn,35
D4,D,Horn,36
B3,B,Horn,37
D4,D,Horn,38
C4,C,Horn,39
G3,G,Horn,40
E3,E,Horn,41
E4,E,Horn,42
