NoteOctave,Note,Instrument,Position
B3,B,Trumpet,0
E4,E,Trumpet,1
F#4,F#,Trumpet,2
G4,G,Trumpet,3
A4,A,Trumpet,4
B4,B,Trumpet,5
E4,E,Trumpet,6
E4,E,Trumpet,7
C5,C,Trumpet,8
B4,B,Trumpet,9
A4,A,Trumpet,10
A4,A,Trumpet,11
D5,D,Trumpet,12
C5,C,Trumpet,13
B4,B,Trumpet,14
B4,B,Trumpet,15
E5,E,Trumpet,16
D5,D,Trumpet,17
C5,C,Trumpet,18
B4,B,Trumpet,19
A4,A,Trumpet,20
B4,B,Trumpet,21
G4,G,Trumpet,22
A4,A,Trumpet,23
B4,B,Trumpet,24
A4,A,Trumpet,25
G4,G,Trumpet,26
F#4,F#,Trumpet,27
E4,E,Trumpet,28
F#4,F#,Trumpet,29
G4,G,Trumpet,30
A4,A,Trumpet,31
B4,B,Trumpet,32
A4,A,Trumpet,33
G4,G,Trumpet,34
F#4,F#,Trumpet,35
G4,G,Trumpet,36
E4,E,Trumpet,37
E5,E,Trumpet,38
E5,E,Trumpet,39
E5,E,Trumpet,40
E4,E,Trumpet,41
E4,E,Trumpet,42
E5,E,Trumpet,43
E5,E,Trumpet,44
E5,E,Trumpet,45
E5,E,Trumpet,46
D5,D,Trumpet,47
D5,D,Trumpet,48
E5,E,Trumpet,49
D5,D,Trumpet,50
C5,C,Trumpet,51
B4,B,Trumpet,52
A4,A,Trumpet,53
D5,D,Trumpet,54
C5,C,Trumpet,55
B4,B,Trumpet,56
B4,B,Trumpet,57
E5,E,Trumpet,58
D5,D,Trumpet,59
C5,C,Trumpet,60
B4,B,Trumpet,61
A4,A,Trumpet,62
B4,B,Trumpet,63
G4,G,Trumpet,64
A4,A,Trumpet,65
B4,B,Trumpet,66
A4,A,Trumpet,67
G4,G,Trumpet,68
F#4,F#,Trumpet,69
E4,E,Trumpet,70
F#4,F#,Trumpet,71
G4,G,Trumpet,72
A4,A,Trumpet,73
B4,B,Trumpet,74
A4,A,Trumpet,75
G4,G,Trumpet,76
F#4,F#,Trumpet,77
G4,G,Trumpet,78
E4,E,Trumpet,79
E5,E,Trumpet,80
E5,E,Trumpet,81
E5,E,Trumpet,82
E4,E,Trumpet,83
E4,E,Trumpet,84
E5,E,Trumpet,85
E5,E,Trumpet,86
E5,E,Trumpet,87
E5,E,Trumpet,88
D5,D,Trumpet,89
D5,D,Trumpet,90
E5,E,Trumpet,91
D5,D,Trumpet,92
C5,C,Trumpet,93
B4,B,Trumpet,94
A4,A,Trumpet,95
D5,D,Trumpet,96
C5,C,Trumpet,97
B4,B,Trumpet,98
B4,B,Trumpet,99
E5,E,Trumpet,100
D5,D,Trumpet,101
C5,C,Trumpet,102
B4,B,Trumpet,103
A4,A,Trumpet,104
B4,B,Trumpet,105
G4,G,Trumpet,106
A4,A,Trumpet,107
B4,B,Trumpet,108
A4,A,Trumpet,109
G4,G,Trumpet,110
F#4,F#,Trumpet,111
E4,E,Trumpet,112
F#4,F#,Trumpet,113
G4,G,Trumpet,114
A4,A,Trumpet,115
B4,B,Trumpet,116
A4,A,Trumpet,117
G4,G,Trumpet,118
F#4,F#,Trumpet,119
G4,G,Trumpet,120
E4,E,Trumpet,121
E5,E,Trumpet,122
E5,E,Trumpet,123
E5,E,Trumpet,124
B3,B,Horn,0
E4,E,Horn,1
F#4,F#,Horn,2
G4,G,Horn,3
A4,A,Horn,4
B4,B,Horn,5
E4,E,Horn,6
E4,E,Horn,7
A4,A,Horn,8
E4,E,Horn,9
D4,D,Horn,10
F#4,F#,Horn,11
