NoteOctave,Note,Instrument,Position
D4,D,Bass clarinet,0
G4,G,Bass clarinet,1
A4,A,Bass clarinet,2
B4,B,Bass clarinet,3
C5,C,Bass clarinet,4
B4,B,Bass clarinet,5
A4,A,Bass clarinet,6
B4,B,Bass clarinet,7
A4,A,Bass clarinet,8
G4,G,Bass clarinet,9
D4,D,Bass clarinet,10
D5,D,Bass clarinet,11
D5,D,Bass clarinet,12
D5,D,Bass clarinet,13
D5,D,Bass clarinet,14
G4,G,Bass clarinet,15
A4,A,Bass clarinet,16
B4,B,Bass clarinet,17
C5,C,Bass clarinet,18
B4,B,Bass clarinet,19
A4,A,Bass clarinet,20
D4,D,Bass clarinet,21
G4,G,Bass clarinet,22
A4,A,Bass clarinet,23
B4,B,Bass clarinet,24
C5,C,Bass clarinet,25
B4,B,Bass clarinet,26
A4,A,Bass clarinet,27
B4,B,Bass clarinet,28
A4,A,Bass clarinet,29
A4,A,Bass clarinet,30
G4,G,Bass clarinet,31
E5,E,Bass clarinet,32
E5,E,Bass clarinet,33
E5,E,Bass clarinet,34
D5,D,Bass clarinet,35
D5,D,Bass clarinet,36
F#5,F#,Bass clarinet,37
E5,E,Bass clarinet,38
D5,D,Bass clarinet,39
C5,C,Bass clarinet,40
B4,B,Bass clarinet,41
E5,E,Bass clarinet,42
E5,E,Bass clarinet,43
E5,E,Bass clarinet,44
D5,D,Bass clarinet,45
D5,D,Bass clarinet,46
F#5,F#,Bass clarinet,47
E5,E,Bass clarinet,48
C5,C,Bass clarinet,49
A4,A,Bass clarinet,50
G4,G,Bass clarinet,51
D2,D,Acoustic Bass,0
D1,D,Acoustic Bass,1
D2,D,Acoustic Bass,2
D2,D,Acoustic Bass,3
A2,A,Acoustic Bass,4
D3,D,Acoustic Bass,5
D2,D,Acoustic Bass,6
D2,D,Acoustic Bass,7
D1,D,Acoustic Bass,8
D2,D,Acoustic Bass,9
D2,D,Acoustic Bass,10
F#1,F#,Acoustic Bass,11
D1,D,Acoustic Bass,12
G1,G,Acoustic Bass,13
G1,G,Acoustic Bass,14
B1,B,Acoustic Bass,15
D2,D,Acoustic Bass,16
