NoteOctave,Note,Instrument,Position
G#2,G#,Acoustic Bass,0
G#2,G#,Acoustic Bass,1
G#2,G#,Acoustic Bass,2
G#2,G#,Acoustic Bass,3
G#2,G#,Acoustic Bass,4
F2,F,Acoustic Bass,5
F2,F,Acoustic Bass,6
C2,C,Acoustic Bass,7
C2,C,Acoustic Bass,8
B-2,B-,Acoustic Bass,9
E-2,E-,Acoustic Bass,10
G#2,G#,Acoustic Bass,11
G2,G,Acoustic Bass,12
F2,F,Acoustic Bass,13
E-2,E-,Acoustic Bass,14
C#2,C#,Acoustic Bass,15
E-2,E-,Acoustic Bass,16
G#2,G#,Acoustic Bass,17
G#2,G#,Acoustic Bass,18
G2,G,Acoustic Bass,19
F2,F,Acoustic Bass,20
F2,F,Acoustic Bass,21
E-2,E-,Acoustic Bass,22
C2,C,Acoustic Bass,23
C#2,C#,Acoustic Bass,24
E-2,E-,Acoustic Bass,25
E-2,E-,Acoustic Bass,26
E-2,E-,Acoustic Bass,27
C#2,C#,Acoustic Bass,28
C2,C,Acoustic Bass,29
E-2,E-,Acoustic Bass,30
F2,F,Acoustic Bass,31
C#2,C#,Acoustic Bass,32
E-2,E-,Acoustic Bass,33
E-2,E-,Acoustic Bass,34
G#2,G#,Acoustic Bass,35
F2,F,Acoustic Bass,36
E-2,E-,Acoustic Bass,37
C#2,C#,Acoustic Bass,38
E-2,E-,Acoustic Bass,39
F2,F,Acoustic Bass,40
G2,G,Acoustic Bass,41
G#2,G#,Acoustic Bass,42
G#2,G#,Acoustic Bass,43
E-2,E-,Acoustic Bass,44
E-2,E-,Acoustic Bass,45
G#2,G#,Acoustic Bass,46
G#2,G#,Acoustic Bass,47
B-2,B-,Acoustic Bass,48
C3,C,Acoustic Bass,49
C3,C,Acoustic Bass,50
C#3,C#,Acoustic Bass,51
C3,C,Acoustic Bass,52
F2,F,Acoustic Bass,53
C#3,C#,Acoustic Bass,54
C3,C,Acoustic Bass,55
B-2,B-,Acoustic Bass,56
C#3,C#,Acoustic Bass,57
E-3,E-,Acoustic Bass,58
C3,C,Acoustic Bass,59
B-2,B-,Acoustic Bass,60
G#2,G#,Acoustic Bass,61
G2,G,Acoustic Bass,62
G#2,G#,Acoustic Bass,63
G2,G,Acoustic Bass,64
F2,F,Acoustic Bass,65
E-2,E-,Acoustic Bass,66
C#2,C#,Acoustic Bass,67
C#2,C#,Acoustic Bass,68
E-2,E-,Acoustic Bass,69
E-2,E-,Acoustic Bass,70
G#2,G#,Acoustic Bass,71
G#2,G#,Acoustic Bass,72
G#2,G#,Acoustic Bass,73
E-4,E-,Reed Organ,0
E-4,E-,Reed Organ,1
F4,F,Reed Organ,2
G#4,G#,Reed Organ,3
B-4,B-,Reed Organ,4
G#4,G#,Reed Organ,5
F4,F,Reed Organ,6
E-4,E-,Reed Organ,7
F4,F,Reed Organ,8
E-4,E-,Reed Organ,9
C4,C,Reed Organ,10
E-4,E-,Reed Organ,11
E-4,E-,Reed Organ,12
E-4,E-,Reed Organ,13
G#4,G#,Reed Organ,14
B-4,B-,Reed Organ,15
C5,C,Reed Organ,16
E-5,E-,Reed Organ,17
C5,C,Reed Organ,18
G#4,G#,Reed Organ,19
B-4,B-,Reed Organ,20
B-4,B-,Reed Organ,21
E-4,E-,Reed Organ,22
G#4,G#,Reed Organ,23
G#4,G#,Reed Organ,24
G#4,G#,Reed Organ,25
B-4,B-,Reed Organ,26
C5,C,Reed Organ,27
E-5,E-,Reed Organ,28
F5,F,Reed Organ,29
E-5,E-,Reed Organ,30
C5,C,Reed Organ,31
G#4,G#,Reed Organ,32
B-4,B-,Reed Organ,33
C5,C,Reed Organ,34
E-5,E-,Reed Organ,35
C5,C,Reed Organ,36
B-4,B-,Reed Organ,37
G#4,G#,Reed Organ,38
B-4,B-,Reed Organ,39
G#4,G#,Reed Organ,40
F4,F,Reed Organ,41
E-4,E-,Reed Organ,42
E-4,E-,Reed Organ,43
F4,F,Reed Organ,44
G#4,G#,Reed Organ,45
F5,F,Reed Organ,46
E-5,E-,Reed Organ,47
C5,C,Reed Organ,48
C5,C,Reed Organ,49
E-5,E-,Reed Organ,50
B-4,B-,Reed Organ,51
G#4,G#,Reed Organ,52
B-4,B-,Reed Organ,53
C5,C,Reed Organ,54
E-5,E-,Reed Organ,55
F5,F,Reed Organ,56
E-5,E-,Reed Organ,57
C5,C,Reed Organ,58
B-4,B-,Reed Organ,59
G#4,G#,Reed Organ,60
B-4,B-,Reed Organ,61
F4,F,Reed Organ,62
G#4,G#,Reed Organ,63
B-4,B-,Reed Organ,64
G#4,G#,Reed Organ,65
E-4,E-,Reed Organ,66
F4,F,Reed Organ,67
G#4,G#,Reed Organ,68
B-4,B-,Reed Organ,69
C5,C,Reed Organ,70
C5,C,Reed Organ,71
B-4,B-,Reed Organ,72
C5,C,Reed Organ,73
C5,C,Reed Organ,74
E-5,E-,Reed Organ,75
F5,F,Reed Organ,76
G#5,G#,Reed Organ,77
F5,F,Reed Organ,78
E-5,E-,Reed Organ,79
C5,C,Reed Organ,80
E-5,E-,Reed Organ,81
E-5,E-,Reed Organ,82
G#5,G#,Reed Organ,83
