NoteOctave,Note,Instrument,Position
B-4,B-,Trumpet,0
B-4,B-,Trumpet,1
B-4,B-,Trumpet,2
B-4,B-,Trumpet,3
A4,A,Trumpet,4
B-4,B-,Trumpet,5
C5,C,Trumpet,6
B-4,B-,Trumpet,7
B-4,B-,Trumpet,8
B-4,B-,Trumpet,9
B-4,B-,Trumpet,10
B-4,B-,Trumpet,11
B-4,B-,Trumpet,12
B-4,B-,Trumpet,13
G4,G,Trumpet,14
E-4,E-,Trumpet,15
F4,F,Trumpet,16
F4,F,Trumpet,17
G4,G,Trumpet,18
G4,G,Trumpet,19
G4,G,Trumpet,20
G4,G,Trumpet,21
G4,G,Trumpet,22
G#4,G#,Trumpet,23
G4,G,Trumpet,24
F4,F,Trumpet,25
E-4,E-,Trumpet,26
B-3,B-,Trumpet,27
E-4,E-,Trumpet,28
G4,G,Trumpet,29
B-4,B-,Trumpet,30
G#4,G#,Trumpet,31
G4,G,Trumpet,32
E-4,E-,Trumpet,33
F4,F,Trumpet,34
F4,F,Trumpet,35
E-4,E-,Trumpet,36
B-4,B-,Trumpet,37
B-4,B-,Trumpet,38
B-4,B-,Trumpet,39
B-4,B-,Trumpet,40
A4,A,Trumpet,41
B-4,B-,Trumpet,42
C5,C,Trumpet,43
B-4,B-,Trumpet,44
B-4,B-,Trumpet,45
B-4,B-,Trumpet,46
B-4,B-,Trumpet,47
B-4,B-,Trumpet,48
B-4,B-,Trumpet,49
B-4,B-,Trumpet,50
B-4,B-,Trumpet,51
G4,G,Trumpet,52
E-4,E-,Trumpet,53
F4,F,Trumpet,54
F4,F,Trumpet,55
G4,G,Trumpet,56
G4,G,Trumpet,57
G4,G,Trumpet,58
G#4,G#,Trumpet,59
G4,G,Trumpet,60
F4,F,Trumpet,61
E-4,E-,Trumpet,62
B-3,B-,Trumpet,63
E-4,E-,Trumpet,64
G4,G,Trumpet,65
B-4,B-,Trumpet,66
G#4,G#,Trumpet,67
G4,G,Trumpet,68
E-4,E-,Trumpet,69
F4,F,Trumpet,70
F4,F,Trumpet,71
E-4,E-,Trumpet,72
E-4,E-,Trumpet,73
B-3,B-,Trumpet,74
E-4,E-,Trumpet,75
G4,G,Trumpet,76
B-4,B-,Trumpet,77
G4,G,Trumpet,78
B-4,B-,Trumpet,79
B-4,B-,Trumpet,80
B-4,B-,Trumpet,81
C5,C,Trumpet,82
B-4,B-,Trumpet,83
G4,G,Trumpet,84
G4,G,Trumpet,85
F4,F,Trumpet,86
F4,F,Trumpet,87
F4,F,Trumpet,88
G4,G,Trumpet,89
F4,F,Trumpet,90
E-4,E-,Trumpet,91
B-3,B-,Trumpet,92
E-4,E-,Trumpet,93
G4,G,Trumpet,94
B-4,B-,Trumpet,95
G4,G,Trumpet,96
E-4,E-,Trumpet,97
G4,G,Trumpet,98
B-4,B-,Trumpet,99
G#4,G#,Trumpet,100
G4,G,Trumpet,101
E-4,E-,Trumpet,102
F4,F,Trumpet,103
F4,F,Trumpet,104
E-4,E-,Trumpet,105
E-4,E-,Horn,0
G4,G,Horn,1
B-3,B-,Horn,2
G4,G,Horn,3
E-4,E-,Horn,4
G4,G,Horn,5
B-3,B-,Horn,6
G#3,G#,Horn,7
B-3,B-,Horn,8
B-3,B-,Horn,9
G3,G,Horn,10
G3,G,Horn,11
B-3,B-,Horn,12
G4,G,Horn,13
F4,F,Horn,14
E-4,E-,Horn,15
G3,G,Horn,16
G#3,G#,Horn,17
G#3,G#,Horn,18
E-4,E-,Horn,19
G4,G,Horn,20
C4,C,Horn,21
E-4,E-,Horn,22
G4,G,Horn,23
B-3,B-,Horn,24
E-4,E-,Horn,25
B-3,B-,Horn,26
G#3,G#,Horn,27
G3,G,Horn,28
C4,C,Horn,29
E-4,E-,Horn,30
C4,C,Horn,31
G3,G,Horn,32
G3,G,Horn,33
B-3,B-,Horn,34
B-3,B-,Horn,35
B-3,B-,Horn,36
G4,G,Horn,37
F4,F,Horn,38
E-4,E-,Horn,39
G3,G,Horn,40
G#3,G#,Horn,41
G#3,G#,Horn,42
G3,G,Horn,43
G3,G,Horn,44
B-3,B-,Horn,45
F#4,F#,Horn,46
E-4,E-,Horn,47
G4,G,Horn,48
G#4,G#,Horn,49
E-4,E-,Horn,50
E-4,E-,Horn,51
B-3,B-,Horn,52
B-3,B-,Horn,53
D4,D,Horn,54
G3,G,Horn,55
F#3,F#,Horn,56
G3,G,Horn,57
B-3,B-,Horn,58
E-4,E-,Horn,59
G4,G,Horn,60
F3,F,Horn,61
G3,G,Horn,62
B-3,B-,Horn,63
F4,F,Horn,64
D4,D,Horn,65
E-4,E-,Horn,66
B-3,B-,Horn,67
G3,G,Horn,68
B-3,B-,Horn,69
G#3,G#,Horn,70
B-3,B-,Horn,71
E-3,E-,Bass Trombone,0
D3,D,Bass Trombone,1
C3,C,Bass Trombone,2
G2,G,Bass Trombone,3
B-2,B-,Bass Trombone,4
C3,C,Bass Trombone,5
A2,A,Bass Trombone,6
C3,C,Bass Trombone,7
E-3,E-,Bass Trombone,8
C3,C,Bass Trombone,9
C3,C,Bass Trombone,10
E-3,E-,Bass Trombone,11
D3,D,Bass Trombone,12
C3,C,Bass Trombone,13
B-2,B-,Bass Trombone,14
E-3,E-,Bass Trombone,15
G2,G,Bass Trombone,16
B-2,B-,Bass Trombone,17
E-3,E-,Bass Trombone,18
B-2,B-,Bass Trombone,19
D3,D,Bass Trombone,20
C3,C,Bass Trombone,21
B-2,B-,Bass Trombone,22
G#2,G#,Bass Trombone,23
G2,G,Bass Trombone,24
F2,F,Bass Trombone,25
E-2,E-,Bass Trombone,26
C3,C,Bass Trombone,27
G3,G,Bass Trombone,28
G3,G,Bass Trombone,29
E-3,E-,Bass Trombone,30
B-2,B-,Bass Trombone,31
E-3,E-,Bass Trombone,32
G3,G,Bass Trombone,33
F3,F,Bass Trombone,34
E-3,E-,Bass Trombone,35
D3,D,Bass Trombone,36
E-3,E-,Bass Trombone,37
E-3,E-,Bass Trombone,38
E-3,E-,Bass Trombone,39
E-3,E-,Bass Trombone,40
B-2,B-,Bass Trombone,41
E-3,E-,Bass Trombone,42
D3,D,Bass Trombone,43
C3,C,Bass Trombone,44
G2,G,Bass Trombone,45
B-2,B-,Bass Trombone,46
C3,C,Bass Trombone,47
A2,A,Bass Trombone,48
C3,C,Bass Trombone,49
