NoteOctave,Note,Instrument,Position
B-3,B-,Electric Organ,0
C4,C,Electric Organ,1
D4,D,Electric Organ,2
E-4,E-,Electric Organ,3
E-4,E-,Electric Organ,4
E-4,E-,Electric Organ,5
F4,F,Electric Organ,6
F4,F,Electric Organ,7
F4,F,Electric Organ,8
G4,G,Electric Organ,9
F4,F,Electric Organ,10
E-4,E-,Electric Organ,11
B-4,B-,Electric Organ,12
B-4,B-,Electric Organ,13
F4,F,Electric Organ,14
F4,F,Electric Organ,15
F4,F,Electric Organ,16
D4,D,Electric Organ,17
B-3,B-,Electric Organ,18
D4,D,Electric Organ,19
F4,F,Electric Organ,20
B-4,B-,Electric Organ,21
B-3,B-,Electric Organ,22
C4,C,Electric Organ,23
D4,D,Electric Organ,24
E-4,E-,Electric Organ,25
F4,F,Electric Organ,26
F4,F,Electric Organ,27
F4,F,Electric Organ,28
G4,G,Electric Organ,29
G4,G,Electric Organ,30
B-4,B-,Electric Organ,31
G#4,G#,Electric Organ,32
G4,G,Electric Organ,33
F4,F,Electric Organ,34
G4,G,Electric Organ,35
F4,F,Electric Organ,36
E-4,E-,Electric Organ,37
G4,G,Electric Organ,38
B-4,B-,Electric Organ,39
G#4,G#,Electric Organ,40
G4,G,Electric Organ,41
B-4,B-,Electric Organ,42
E-5,E-,Electric Organ,43
D5,D,Electric Organ,44
E-5,E-,Electric Organ,45
B-4,B-,Electric Organ,46
C5,C,Electric Organ,47
D5,D,Electric Organ,48
E-5,E-,Electric Organ,49
D5,D,Electric Organ,50
C5,C,Electric Organ,51
B-4,B-,Electric Organ,52
G#4,G#,Electric Organ,53
G#4,G#,Electric Organ,54
B-4,B-,Electric Organ,55
G4,G,Electric Organ,56
G4,G,Electric Organ,57
G4,G,Electric Organ,58
G#4,G#,Electric Organ,59
F4,F,Electric Organ,60
B-4,B-,Electric Organ,61
C5,C,Electric Organ,62
B-4,B-,Electric Organ,63
G#4,G#,Electric Organ,64
G4,G,Electric Organ,65
F4,F,Electric Organ,66
E-4,E-,Electric Organ,67
G4,G,Electric Organ,68
F4,F,Electric Organ,69
E-4,E-,Electric Organ,70
G4,G,Electric Organ,71
B-4,B-,Electric Organ,72
G#4,G#,Electric Organ,73
G4,G,Electric Organ,74
B-4,B-,Electric Organ,75
E-5,E-,Electric Organ,76
D5,D,Electric Organ,77
E-5,E-,Electric Organ,78
B-4,B-,Electric Organ,79
C5,C,Electric Organ,80
D5,D,Electric Organ,81
E-5,E-,Electric Organ,82
D5,D,Electric Organ,83
C5,C,Electric Organ,84
B-4,B-,Electric Organ,85
G#4,G#,Electric Organ,86
G#4,G#,Electric Organ,87
B-4,B-,Electric Organ,88
G4,G,Electric Organ,89
G4,G,Electric Organ,90
G#4,G#,Electric Organ,91
F4,F,Electric Organ,92
B-4,B-,Electric Organ,93
C5,C,Electric Organ,94
B-4,B-,Electric Organ,95
G#4,G#,Electric Organ,96
G4,G,Electric Organ,97
F4,F,Electric Organ,98
E-4,E-,Electric Organ,99
G#4,G#,Electric Organ,100
G4,G,Electric Organ,101
F4,F,Electric Organ,102
E-4,E-,Electric Organ,103
B-4,B-,Electric Organ,104
E-4,E-,Electric Organ,105
F4,F,Electric Organ,106
G4,G,Electric Organ,107
G#4,G#,Electric Organ,108
G4,G,Electric Organ,109
F4,F,Electric Organ,110
E-4,E-,Electric Organ,111
B-4,B-,Electric Organ,112
D5,D,Electric Organ,113
E-5,E-,Electric Organ,114
D5,D,Electric Organ,115
E-5,E-,Electric Organ,116
D5,D,Electric Organ,117
E-5,E-,Electric Organ,118
D5,D,Electric Organ,119
E-5,E-,Electric Organ,120
E-1,E-,Acoustic Bass,0
B-1,B-,Acoustic Bass,1
E-1,E-,Acoustic Bass,2
E-1,E-,Acoustic Bass,3
B-1,B-,Acoustic Bass,4
E-1,E-,Acoustic Bass,5
E-1,E-,Acoustic Bass,6
B-1,B-,Acoustic Bass,7
E-1,E-,Acoustic Bass,8
E-1,E-,Acoustic Bass,9
E-1,E-,Acoustic Bass,10
B-1,B-,Acoustic Bass,11
F1,F,Acoustic Bass,12
B-1,B-,Acoustic Bass,13
F1,F,Acoustic Bass,14
D1,D,Acoustic Bass,15
B-1,B-,Acoustic Bass,16
B-1,B-,Acoustic Bass,17
E-1,E-,Acoustic Bass,18
B-1,B-,Acoustic Bass,19
B-1,B-,Acoustic Bass,20
B-1,B-,Acoustic Bass,21
E-1,E-,Acoustic Bass,22
E-1,E-,Acoustic Bass,23
E-1,E-,Acoustic Bass,24
F1,F,Acoustic Bass,25
B-1,B-,Acoustic Bass,26
B-1,B-,Acoustic Bass,27
B-1,B-,Acoustic Bass,28
C2,C,Acoustic Bass,29
D2,D,Acoustic Bass,30
B-1,B-,Acoustic Bass,31
E-1,E-,Acoustic Bass,32
E-1,E-,Acoustic Bass,33
D1,D,Acoustic Bass,34
C1,C,Acoustic Bass,35
B-1,B-,Acoustic Bass,36
B1,B,Acoustic Bass,37
C1,C,Acoustic Bass,38
D1,D,Acoustic Bass,39
E-1,E-,Acoustic Bass,40
E-1,E-,Acoustic Bass,41
E-1,E-,Acoustic Bass,42
E-1,E-,Acoustic Bass,43
D1,D,Acoustic Bass,44
C1,C,Acoustic Bass,45
D1,D,Acoustic Bass,46
E-1,E-,Acoustic Bass,47
E1,E,Acoustic Bass,48
F1,F,Acoustic Bass,49
B-1,B-,Acoustic Bass,50
B-1,B-,Acoustic Bass,51
B-1,B-,Acoustic Bass,52
C2,C,Acoustic Bass,53
D2,D,Acoustic Bass,54
B-1,B-,Acoustic Bass,55
E-1,E-,Acoustic Bass,56
B-1,B-,Acoustic Bass,57
B-1,B-,Acoustic Bass,58
E-1,E-,Acoustic Bass,59
B-1,B-,Acoustic Bass,60
E-1,E-,Acoustic Bass,61
E-1,E-,Acoustic Bass,62
E-1,E-,Acoustic Bass,63
E-1,E-,Acoustic Bass,64
E-1,E-,Acoustic Bass,65
E-1,E-,Acoustic Bass,66
E-1,E-,Acoustic Bass,67
E-1,E-,Acoustic Bass,68
