NoteOctave,Note,Instrument,Position
C4,C,Trumpet,0
F4,F,Trumpet,1
C4,C,Trumpet,2
F4,F,Trumpet,3
A4,A,Trumpet,4
C5,C,Trumpet,5
A4,A,Trumpet,6
B-4,B-,Trumpet,7
A4,A,Trumpet,8
G4,G,Trumpet,9
G4,G,Trumpet,10
F4,F,Trumpet,11
C4,C,Trumpet,12
F4,F,Trumpet,13
C4,C,Trumpet,14
F4,F,Trumpet,15
A4,A,Trumpet,16
C5,C,Trumpet,17
A4,A,Trumpet,18
A4,A,Trumpet,19
B-4,B-,Trumpet,20
A4,A,Trumpet,21
G4,G,Trumpet,22
G4,G,Trumpet,23
F4,F,Trumpet,24
F4,F,Trumpet,25
C5,C,Trumpet,26
C5,C,Trumpet,27
C5,C,Trumpet,28
A4,A,Trumpet,29
D5,D,Trumpet,30
G4,G,Trumpet,31
G4,G,Trumpet,32
A4,A,Trumpet,33
B-4,B-,Trumpet,34
A4,A,Trumpet,35
G4,G,Trumpet,36
D5,D,Trumpet,37
C5,C,Trumpet,38
C5,C,Trumpet,39
B-4,B-,Trumpet,40
A4,A,Trumpet,41
G4,G,Trumpet,42
G4,G,Trumpet,43
F4,F,Trumpet,44
G3,G,Horn,0
C4,C,Horn,1
G3,G,Horn,2
D4,D,Horn,3
F4,F,Horn,4
G4,G,Horn,5
F4,F,Horn,6
G4,G,Horn,7
F4,F,Horn,8
D4,D,Horn,9
E4,E,Horn,10
C4,C,Horn,11
G3,G,Horn,12
D4,D,Horn,13
G3,G,Horn,14
C4,C,Horn,15
F4,F,Horn,16
A4,A,Horn,17
F4,F,Horn,18
G4,G,Horn,19
F4,F,Horn,20
E4,E,Horn,21
E4,E,Horn,22
C4,C,Horn,23
C4,C,Horn,24
A4,A,Horn,25
G4,G,Horn,26
A4,A,Horn,27
F4,F,Horn,28
B-4,B-,Horn,29
E4,E,Horn,30
E4,E,Horn,31
F4,F,Horn,32
G4,G,Horn,33
E4,E,Horn,34
B-4,B-,Horn,35
G4,G,Horn,36
A4,A,Horn,37
G4,G,Horn,38
F4,F,Horn,39
E4,E,Horn,40
E4,E,Horn,41
C4,C,Horn,42
E3,E,Bass Trombone,0
A3,A,Bass Trombone,1
E3,E,Bass Trombone,2
A3,A,Bass Trombone,3
D4,D,Bass Trombone,4
E4,E,Bass Trombone,5
D4,D,Bass Trombone,6
D4,D,Bass Trombone,7
C4,C,Bass Trombone,8
B-3,B-,Bass Trombone,9
C4,C,Bass Trombone,10
A3,A,Bass Trombone,11
A3,A,Bass Trombone,12
E3,E,Bass Trombone,13
A3,A,Bass Trombone,14
G3,G,Bass Trombone,15
A3,A,Bass Trombone,16
C4,C,Bass Trombone,17
C4,C,Bass Trombone,18
D4,D,Bass Trombone,19
C4,C,Bass Trombone,20
B-3,B-,Bass Trombone,21
C4,C,Bass Trombone,22
A3,A,Bass Trombone,23
A3,A,Bass Trombone,24
F4,F,Bass Trombone,25
C4,C,Bass Trombone,26
D4,D,Bass Trombone,27
F4,F,Bass Trombone,28
C4,C,Bass Trombone,29
C4,C,Bass Trombone,30
C4,C,Bass Trombone,31
F4,F,Bass Trombone,32
E4,E,Bass Trombone,33
F4,F,Bass Trombone,34
E4,E,Bass Trombone,35
C4,C,Bass Trombone,36
C4,C,Bass Trombone,37
B-3,B-,Bass Trombone,38
A3,A,Bass Trombone,39
C2,C,Tuba,0
F2,F,Tuba,1
E2,E,Tuba,2
D2,D,Tuba,3
C2,C,Tuba,4
D2,D,Tuba,5
G1,G,Tuba,6
A1,A,Tuba,7
B-1,B-,Tuba,8
C2,C,Tuba,9
F2,F,Tuba,10
C2,C,Tuba,11
F2,F,Tuba,12
E2,E,Tuba,13
A1,A,Tuba,14
C2,C,Tuba,15
F2,F,Tuba,16
F2,F,Tuba,17
D2,D,Tuba,18
F2,F,Tuba,19
E2,E,Tuba,20
F2,F,Tuba,21
F2,F,Tuba,22
F2,F,Tuba,23
G2,G,Tuba,24
F2,F,Tuba,25
D2,D,Tuba,26
B-1,B-,Tuba,27
A2,A,Tuba,28
G2,G,Tuba,29
E2,E,Tuba,30
C2,C,Tuba,31
F2,F,Tuba,32
E2,E,Tuba,33
C2,C,Tuba,34
B-1,B-,Tuba,35
A1,A,Tuba,36
C2,C,Tuba,37
F2,F,Tuba,38
E2,E,Tuba,39
F2,F,Tuba,40
G2,G,Tuba,41
C2,C,Tuba,42
F1,F,Tuba,43
C4,C,StringInstrument,0
F4,F,StringInstrument,1
C4,C,StringInstrument,2
F4,F,StringInstrument,3
A4,A,StringInstrument,4
C5,C,StringInstrument,5
A4,A,StringInstrument,6
B-4,B-,StringInstrument,7
A4,A,StringInstrument,8
G4,G,StringInstrument,9
G4,G,StringInstrument,10
F4,F,StringInstrument,11
C4,C,StringInstrument,12
F4,F,StringInstrument,13
C4,C,StringInstrument,14
F4,F,StringInstrument,15
A4,A,StringInstrument,16
C5,C,StringInstrument,17
A4,A,StringInstrument,18
B-4,B-,StringInstrument,19
A4,A,StringInstrument,20
G4,G,StringInstrument,21
G4,G,StringInstrument,22
F4,F,StringInstrument,23
G4,G,StringInstrument,24
G4,G,StringInstrument,25
A4,A,StringInstrument,26
B-4,B-,StringInstrument,27
G4,G,StringInstrument,28
A4,A,StringInstrument,29
B-4,B-,StringInstrument,30
C5,C,StringInstrument,31
C5,C,StringInstrument,32
D5,D,StringInstrument,33
C5,C,StringInstrument,34
B-4,B-,StringInstrument,35
A4,A,StringInstrument,36
G4,G,StringInstrument,37
F4,F,StringInstrument,38
C5,C,StringInstrument,39
C5,C,StringInstrument,40
C5,C,StringInstrument,41
A4,A,StringInstrument,42
D5,D,StringInstrument,43
G4,G,StringInstrument,44
G4,G,StringInstrument,45
A4,A,StringInstrument,46
B-4,B-,StringInstrument,47
A4,A,StringInstrument,48
G4,G,StringInstrument,49
D5,D,StringInstrument,50
C5,C,StringInstrument,51
C5,C,StringInstrument,52
B-4,B-,StringInstrument,53
A4,A,StringInstrument,54
G4,G,StringInstrument,55
G4,G,StringInstrument,56
F4,F,StringInstrument,57
C3,C,StringInstrument,0
F3,F,StringInstrument,1
E3,E,StringInstrument,2
D3,D,StringInstrument,3
C3,C,StringInstrument,4
D3,D,StringInstrument,5
G2,G,StringInstrument,6
A2,A,StringInstrument,7
B-2,B-,StringInstrument,8
C3,C,StringInstrument,9
F2,F,StringInstrument,10
C3,C,StringInstrument,11
F3,F,StringInstrument,12
E3,E,StringInstrument,13
A2,A,StringInstrument,14
C3,C,StringInstrument,15
F3,F,StringInstrument,16
F2,F,StringInstrument,17
D3,D,StringInstrument,18
F2,F,StringInstrument,19
E2,E,StringInstrument,20
F2,F,StringInstrument,21
D3,D,StringInstrument,22
C3,C,StringInstrument,23
A2,A,StringInstrument,24
G2,G,StringInstrument,25
E2,E,StringInstrument,26
F2,F,StringInstrument,27
G2,G,StringInstrument,28
A2,A,StringInstrument,29
F2,F,StringInstrument,30
B-2,B-,StringInstrument,31
C3,C,StringInstrument,32
E3,E,StringInstrument,33
F3,F,StringInstrument,34
C3,C,StringInstrument,35
F2,F,StringInstrument,36
F2,F,StringInstrument,37
G2,G,StringInstrument,38
F2,F,StringInstrument,39
D2,D,StringInstrument,40
B-2,B-,StringInstrument,41
A2,A,StringInstrument,42
G2,G,StringInstrument,43
E2,E,StringInstrument,44
C2,C,StringInstrument,45
F2,F,StringInstrument,46
E2,E,StringInstrument,47
C2,C,StringInstrument,48
B-2,B-,StringInstrument,49
A2,A,StringInstrument,50
C3,C,StringInstrument,51
F3,F,StringInstrument,52
E3,E,StringInstrument,53
F3,F,StringInstrument,54
G3,G,StringInstrument,55
C3,C,StringInstrument,56
F2,F,StringInstrument,57
F3,F,Timpani,0
F3,F,Timpani,1
C3,C,Timpani,2
C3,C,Timpani,3
C3,C,Timpani,4
C3,C,Timpani,5
C3,C,Timpani,6
C3,C,Timpani,7
C3,C,Timpani,8
C3,C,Timpani,9
C3,C,Timpani,10
C3,C,Timpani,11
C3,C,Timpani,12
C3,C,Timpani,13
C3,C,Timpani,14
C3,C,Timpani,15
C3,C,Timpani,16
C3,C,Timpani,17
C3,C,Timpani,18
