NoteOctave,Note,Instrument,Position
F4,F,Bass clarinet,0
B-4,B-,Bass clarinet,1
B-4,B-,Bass clarinet,2
B-4,B-,Bass clarinet,3
B-4,B-,Bass clarinet,4
C5,C,Bass clarinet,5
D5,D,Bass clarinet,6
B-4,B-,Bass clarinet,7
C5,C,Bass clarinet,8
F4,F,Bass clarinet,9
F4,F,Bass clarinet,10
C5,C,Bass clarinet,11
C5,C,Bass clarinet,12
C5,C,Bass clarinet,13
C5,C,Bass clarinet,14
D5,D,Bass clarinet,15
E-5,E-,Bass clarinet,16
C5,C,Bass clarinet,17
D5,D,Bass clarinet,18
F5,F,Bass clarinet,19
F5,F,Bass clarinet,20
F5,F,Bass clarinet,21
F5,F,Bass clarinet,22
F5,F,Bass clarinet,23
F5,F,Bass clarinet,24
F5,F,Bass clarinet,25
F5,F,Bass clarinet,26
F5,F,Bass clarinet,27
C5,C,Bass clarinet,28
D5,D,Bass clarinet,29
E-5,E-,Bass clarinet,30
D5,D,Bass clarinet,31
C5,C,Bass clarinet,32
B-4,B-,Bass clarinet,33
B-4,B-,Bass clarinet,34
B-4,B-,Bass clarinet,35
B-4,B-,Bass clarinet,36
F4,F,Bass clarinet,37
B-4,B-,Bass clarinet,38
B-4,B-,Bass clarinet,39
C5,C,Bass clarinet,40
C5,C,Bass clarinet,41
D5,D,Bass clarinet,42
C5,C,Bass clarinet,43
B-4,B-,Bass clarinet,44
D5,D,Bass clarinet,45
C5,C,Bass clarinet,46
B-4,B-,Bass clarinet,47
C5,C,Bass clarinet,48
A4,A,Bass clarinet,49
B-4,B-,Bass clarinet,50
B-4,B-,Bass clarinet,51
B-4,B-,Bass clarinet,52
B-4,B-,Bass clarinet,53
B-4,B-,Bass clarinet,54
C5,C,Bass clarinet,55
D5,D,Bass clarinet,56
D5,D,Bass clarinet,57
C5,C,Bass clarinet,58
B-4,B-,Bass clarinet,59
C5,C,Bass clarinet,60
C5,C,Bass clarinet,61
C5,C,Bass clarinet,62
D5,D,Bass clarinet,63
E-5,E-,Bass clarinet,64
E-5,E-,Bass clarinet,65
D5,D,Bass clarinet,66
C5,C,Bass clarinet,67
D5,D,Bass clarinet,68
F5,F,Bass clarinet,69
F5,F,Bass clarinet,70
F5,F,Bass clarinet,71
F5,F,Bass clarinet,72
F5,F,Bass clarinet,73
F5,F,Bass clarinet,74
C5,C,Bass clarinet,75
D5,D,Bass clarinet,76
E-5,E-,Bass clarinet,77
E-5,E-,Bass clarinet,78
D5,D,Bass clarinet,79
C5,C,Bass clarinet,80
D5,D,Bass clarinet,81
F5,F,Bass clarinet,82
F5,F,Bass clarinet,83
F5,F,Bass clarinet,84
F5,F,Bass clarinet,85
F5,F,Bass clarinet,86
F5,F,Bass clarinet,87
C5,C,Bass clarinet,88
D5,D,Bass clarinet,89
E-5,E-,Bass clarinet,90
E-5,E-,Bass clarinet,91
D5,D,Bass clarinet,92
C5,C,Bass clarinet,93
B-4,B-,Bass clarinet,94
F2,F,Acoustic Bass,0
B-2,B-,Acoustic Bass,1
F3,F,Acoustic Bass,2
D3,D,Acoustic Bass,3
B-2,B-,Acoustic Bass,4
B-2,B-,Acoustic Bass,5
F2,F,Acoustic Bass,6
C3,C,Acoustic Bass,7
A2,A,Acoustic Bass,8
F2,F,Acoustic Bass,9
F3,F,Acoustic Bass,10
F3,F,Acoustic Bass,11
F3,F,Acoustic Bass,12
C3,C,Acoustic Bass,13
A2,A,Acoustic Bass,14
F2,F,Acoustic Bass,15
F3,F,Acoustic Bass,16
B-2,B-,Acoustic Bass,17
F3,F,Acoustic Bass,18
D3,D,Acoustic Bass,19
B-2,B-,Acoustic Bass,20
F2,F,Acoustic Bass,21
F2,F,Acoustic Bass,22
B-2,B-,Acoustic Bass,23
B-2,B-,Acoustic Bass,24
F2,F,Acoustic Bass,25
F2,F,Acoustic Bass,26
F3,F,Acoustic Bass,27
B-2,B-,Acoustic Bass,28
B-3,B-,Acoustic Bass,29
B-3,B-,Acoustic Bass,30
B-3,B-,Acoustic Bass,31
B-2,B-,Acoustic Bass,32
F3,F,Acoustic Bass,33
B-2,B-,Acoustic Bass,34
F3,F,Acoustic Bass,35
B-2,B-,Acoustic Bass,36
B-2,B-,Acoustic Bass,37
F2,F,Acoustic Bass,38
G2,G,Acoustic Bass,39
E-2,E-,Acoustic Bass,40
F2,F,Acoustic Bass,41
B-2,B-,Acoustic Bass,42
F3,F,Acoustic Bass,43
D3,D,Acoustic Bass,44
B-2,B-,Acoustic Bass,45
