NoteOctave,Note,Instrument,Position
C5,C,Shakuhachi,0
C5,C,Shakuhachi,1
F5,F,Shakuhachi,2
C5,C,Shakuhachi,3
C#5,C#,Shakuhachi,4
D5,D,Shakuhachi,5
A4,A,Shakuhachi,6
C5,C,Shakuhachi,7
B-4,B-,Shakuhachi,8
A4,A,Shakuhachi,9
A4,A,Shakuhachi,10
G4,G,Shakuhachi,11
F4,F,Shakuhachi,12
F4,F,Shakuhachi,13
C5,C,Shakuhachi,14
C5,C,Shakuhachi,15
C5,C,Shakuhachi,16
C5,C,Shakuhachi,17
F5,F,Shakuhachi,18
C5,C,Shakuhachi,19
C#5,C#,Shakuhachi,20
D5,D,Shakuhachi,21
A4,A,Shakuhachi,22
C5,C,Shakuhachi,23
B-4,B-,Shakuhachi,24
A4,A,Shakuhachi,25
A4,A,Shakuhachi,26
G4,G,Shakuhachi,27
F4,F,Shakuhachi,28
F4,F,Shakuhachi,29
C5,C,Shakuhachi,30
G4,G,Shakuhachi,31
A4,A,Shakuhachi,32
B-4,B-,Shakuhachi,33
B-4,B-,Shakuhachi,34
B-4,B-,Shakuhachi,35
B-4,B-,Shakuhachi,36
D5,D,Shakuhachi,37
C5,C,Shakuhachi,38
B-4,B-,Shakuhachi,39
B-4,B-,Shakuhachi,40
A4,A,Shakuhachi,41
G4,G,Shakuhachi,42
A4,A,Shakuhachi,43
B-4,B-,Shakuhachi,44
B-4,B-,Shakuhachi,45
B-4,B-,Shakuhachi,46
B-4,B-,Shakuhachi,47
D5,D,Shakuhachi,48
C5,C,Shakuhachi,49
B-4,B-,Shakuhachi,50
B-4,B-,Shakuhachi,51
A4,A,Shakuhachi,52
C5,C,Shakuhachi,53
D5,D,Shakuhachi,54
E-5,E-,Shakuhachi,55
E-5,E-,Shakuhachi,56
E-5,E-,Shakuhachi,57
E-5,E-,Shakuhachi,58
G5,G,Shakuhachi,59
F5,F,Shakuhachi,60
E-5,E-,Shakuhachi,61
E-5,E-,Shakuhachi,62
D5,D,Shakuhachi,63
F5,F,Shakuhachi,64
E5,E,Shakuhachi,65
D5,D,Shakuhachi,66
C5,C,Shakuhachi,67
A4,A,Shakuhachi,68
C5,C,Shakuhachi,69
C5,C,Shakuhachi,70
B-4,B-,Shakuhachi,71
A4,A,Shakuhachi,72
G4,G,Shakuhachi,73
F4,F,Shakuhachi,74
C5,C,Shakuhachi,75
D5,D,Shakuhachi,76
E-5,E-,Shakuhachi,77
E-5,E-,Shakuhachi,78
E-5,E-,Shakuhachi,79
E-5,E-,Shakuhachi,80
G5,G,Shakuhachi,81
F5,F,Shakuhachi,82
E-5,E-,Shakuhachi,83
E-5,E-,Shakuhachi,84
D5,D,Shakuhachi,85
F5,F,Shakuhachi,86
E5,E,Shakuhachi,87
D5,D,Shakuhachi,88
C5,C,Shakuhachi,89
A4,A,Shakuhachi,90
C5,C,Shakuhachi,91
C5,C,Shakuhachi,92
B-4,B-,Shakuhachi,93
A4,A,Shakuhachi,94
G4,G,Shakuhachi,95
F4,F,Shakuhachi,96
A4,A,Shakuhachi,97
G4,G,Shakuhachi,98
F4,F,Shakuhachi,99
F4,F,Shakuhachi,100
F4,F,Shakuhachi,101
F4,F,Shakuhachi,102
G4,G,Shakuhachi,103
A4,A,Shakuhachi,104
F4,F,Shakuhachi,105
G4,G,Shakuhachi,106
E4,E,Shakuhachi,107
C4,C,Shakuhachi,108
C4,C,Shakuhachi,109
C4,C,Shakuhachi,110
C5,C,Shakuhachi,111
C5,C,Shakuhachi,112
C5,C,Shakuhachi,113
C5,C,Shakuhachi,114
B-4,B-,Shakuhachi,115
A4,A,Shakuhachi,116
G4,G,Shakuhachi,117
F4,F,Shakuhachi,118
C5,C,Shakuhachi,119
B-4,B-,Shakuhachi,120
G#4,G#,Shakuhachi,121
G#4,G#,Shakuhachi,122
G#4,G#,Shakuhachi,123
B-4,B-,Shakuhachi,124
B-4,B-,Shakuhachi,125
B-4,B-,Shakuhachi,126
E-5,E-,Shakuhachi,127
C5,C,Shakuhachi,128
G#4,G#,Shakuhachi,129
C5,C,Shakuhachi,130
C5,C,Shakuhachi,131
C5,C,Shakuhachi,132
B4,B,Shakuhachi,133
B4,B,Shakuhachi,134
B4,B,Shakuhachi,135
C5,C,Shakuhachi,136
B-4,B-,Shakuhachi,137
G4,G,Shakuhachi,138
G4,G,Shakuhachi,139
G#4,G#,Shakuhachi,140
G4,G,Shakuhachi,141
F4,F,Shakuhachi,142
G#4,G#,Shakuhachi,143
G4,G,Shakuhachi,144
F4,F,Shakuhachi,145
C5,C,Shakuhachi,146
E-4,E-,Shakuhachi,147
E-4,E-,Shakuhachi,148
G#4,G#,Shakuhachi,149
G#4,G#,Shakuhachi,150
G#4,G#,Shakuhachi,151
G#4,G#,Shakuhachi,152
B-4,B-,Shakuhachi,153
G#4,G#,Shakuhachi,154
F#4,F#,Shakuhachi,155
F#4,F#,Shakuhachi,156
F4,F,Shakuhachi,157
F4,F,Shakuhachi,158
F4,F,Shakuhachi,159
B-4,B-,Shakuhachi,160
B-4,B-,Shakuhachi,161
B-4,B-,Shakuhachi,162
B-4,B-,Shakuhachi,163
C5,C,Shakuhachi,164
B-4,B-,Shakuhachi,165
G#4,G#,Shakuhachi,166
G#4,G#,Shakuhachi,167
G4,G,Shakuhachi,168
E-4,E-,Shakuhachi,169
E-4,E-,Shakuhachi,170
C#5,C#,Shakuhachi,171
C#5,C#,Shakuhachi,172
C#5,C#,Shakuhachi,173
C#5,C#,Shakuhachi,174
F5,F,Shakuhachi,175
E-5,E-,Shakuhachi,176
C#5,C#,Shakuhachi,177
C#5,C#,Shakuhachi,178
C5,C,Shakuhachi,179
G#4,G#,Shakuhachi,180
G#4,G#,Shakuhachi,181
G#4,G#,Shakuhachi,182
F#4,F#,Shakuhachi,183
G#4,G#,Shakuhachi,184
G#4,G#,Shakuhachi,185
F#4,F#,Shakuhachi,186
F4,F,Shakuhachi,187
C#5,C#,Shakuhachi,188
C#5,C#,Shakuhachi,189
C5,C,Shakuhachi,190
C5,C,Shakuhachi,191
C5,C,Shakuhachi,192
B-4,B-,Shakuhachi,193
B-4,B-,Shakuhachi,194
B-4,B-,Shakuhachi,195
E-5,E-,Shakuhachi,196
C#5,C#,Shakuhachi,197
C5,C,Shakuhachi,198
B-4,B-,Shakuhachi,199
G#4,G#,Shakuhachi,200
G4,G,Shakuhachi,201
G#4,G#,Shakuhachi,202
C5,C,Shakuhachi,203
B-4,B-,Shakuhachi,204
F4,F,Shakuhachi,205
G4,G,Shakuhachi,206
G#4,G#,Shakuhachi,207
E4,E,Shakuhachi,208
F4,F,Shakuhachi,209
G4,G,Shakuhachi,210
G#4,G#,Shakuhachi,211
B-4,B-,Shakuhachi,212
C5,C,Shakuhachi,213
C5,C,Shakuhachi,214
C5,C,Shakuhachi,215
F5,F,Shakuhachi,216
C5,C,Shakuhachi,217
C#5,C#,Shakuhachi,218
D5,D,Shakuhachi,219
A4,A,Shakuhachi,220
C5,C,Shakuhachi,221
B-4,B-,Shakuhachi,222
A4,A,Shakuhachi,223
A4,A,Shakuhachi,224
G4,G,Shakuhachi,225
F4,F,Shakuhachi,226
F4,F,Shakuhachi,227
C5,C,Shakuhachi,228
C5,C,Shakuhachi,229
C5,C,Shakuhachi,230
C5,C,Shakuhachi,231
F5,F,Shakuhachi,232
C5,C,Shakuhachi,233
C#5,C#,Shakuhachi,234
D5,D,Shakuhachi,235
A4,A,Shakuhachi,236
C5,C,Shakuhachi,237
B-4,B-,Shakuhachi,238
A4,A,Shakuhachi,239
A4,A,Shakuhachi,240
G4,G,Shakuhachi,241
F4,F,Shakuhachi,242
F4,F,Shakuhachi,243
C5,C,Shakuhachi,244
G4,G,Shakuhachi,245
A4,A,Shakuhachi,246
B-4,B-,Shakuhachi,247
B-4,B-,Shakuhachi,248
B-4,B-,Shakuhachi,249
