NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
F#4,F#,Trumpet,1
A4,A,Trumpet,2
G4,G,Trumpet,3
D4,D,Trumpet,4
A4,A,Trumpet,5
B4,B,Trumpet,6
C5,C,Trumpet,7
B4,B,Trumpet,8
A4,A,Trumpet,9
B4,B,Trumpet,10
G4,G,Trumpet,11
G4,G,Trumpet,12
F#4,F#,Trumpet,13
A4,A,Trumpet,14
G4,G,Trumpet,15
D4,D,Trumpet,16
A4,A,Trumpet,17
B4,B,Trumpet,18
C5,C,Trumpet,19
B4,B,Trumpet,20
A4,A,Trumpet,21
G4,G,Trumpet,22
G4,G,Trumpet,23
F#4,F#,Trumpet,24
A4,A,Trumpet,25
G4,G,Trumpet,26
D4,D,Trumpet,27
A4,A,Trumpet,28
B4,B,Trumpet,29
C5,C,Trumpet,30
B4,B,Trumpet,31
A4,A,Trumpet,32
B4,B,Trumpet,33
G4,G,Trumpet,34
G4,G,Trumpet,35
F#4,F#,Trumpet,36
A4,A,Trumpet,37
G4,G,Trumpet,38
D4,D,Trumpet,39
A4,A,Trumpet,40
B4,B,Trumpet,41
C5,C,Trumpet,42
B4,B,Trumpet,43
A4,A,Trumpet,44
G4,G,Trumpet,45
G4,G,Trumpet,46
F#4,F#,Trumpet,47
G4,G,Trumpet,48
A4,A,Trumpet,49
A4,A,Trumpet,50
D4,D,Trumpet,51
D4,D,Trumpet,52
A4,A,Trumpet,53
A4,A,Trumpet,54
D4,D,Trumpet,55
D4,D,Trumpet,56
B4,B,Trumpet,57
C5,C,Trumpet,58
D5,D,Trumpet,59
E5,E,Trumpet,60
D5,D,Trumpet,61
G4,G,Trumpet,62
F#4,F#,Trumpet,63
G4,G,Trumpet,64
A4,A,Trumpet,65
A4,A,Trumpet,66
D4,D,Trumpet,67
D4,D,Trumpet,68
A4,A,Trumpet,69
A4,A,Trumpet,70
D4,D,Trumpet,71
D4,D,Trumpet,72
B4,B,Trumpet,73
C5,C,Trumpet,74
B4,B,Trumpet,75
A4,A,Trumpet,76
B4,B,Trumpet,77
A4,A,Trumpet,78
G4,G,Trumpet,79
G4,G,Trumpet,80
F#4,F#,Trumpet,81
G4,G,Trumpet,82
A4,A,Trumpet,83
A4,A,Trumpet,84
D4,D,Trumpet,85
D4,D,Trumpet,86
A4,A,Trumpet,87
A4,A,Trumpet,88
D4,D,Trumpet,89
D4,D,Trumpet,90
B4,B,Trumpet,91
C5,C,Trumpet,92
D5,D,Trumpet,93
