NoteOctave,Note,Instrument,Position
F4,F,Pan Flute,0
B-4,B-,Pan Flute,1
B-4,B-,Pan Flute,2
B-4,B-,Pan Flute,3
G#4,G#,Pan Flute,4
C5,C,Pan Flute,5
B-4,B-,Pan Flute,6
G#4,G#,Pan Flute,7
G4,G,Pan Flute,8
G4,G,Pan Flute,9
G4,G,Pan Flute,10
G4,G,Pan Flute,11
G4,G,Pan Flute,12
F4,F,Pan Flute,13
G#4,G#,Pan Flute,14
G4,G,Pan Flute,15
F4,F,Pan Flute,16
E-4,E-,Pan Flute,17
E-5,E-,Pan Flute,18
B-4,B-,Pan Flute,19
E-5,E-,Pan Flute,20
F5,F,Pan Flute,21
G5,G,Pan Flute,22
E-5,E-,Pan Flute,23
E-5,E-,Pan Flute,24
E-5,E-,Pan Flute,25
E-5,E-,Pan Flute,26
F5,F,Pan Flute,27
G5,G,Pan Flute,28
E-5,E-,Pan Flute,29
B-4,B-,Pan Flute,30
E-5,E-,Pan Flute,31
F5,F,Pan Flute,32
G5,G,Pan Flute,33
E-5,E-,Pan Flute,34
F4,F,Pan Flute,35
B-4,B-,Pan Flute,36
B-4,B-,Pan Flute,37
B-4,B-,Pan Flute,38
G#4,G#,Pan Flute,39
C5,C,Pan Flute,40
B-4,B-,Pan Flute,41
G#4,G#,Pan Flute,42
G4,G,Pan Flute,43
G4,G,Pan Flute,44
G4,G,Pan Flute,45
G4,G,Pan Flute,46
G4,G,Pan Flute,47
F4,F,Pan Flute,48
G#4,G#,Pan Flute,49
G4,G,Pan Flute,50
F4,F,Pan Flute,51
E-4,E-,Pan Flute,52
E-5,E-,Pan Flute,53
B-4,B-,Pan Flute,54
E-5,E-,Pan Flute,55
F5,F,Pan Flute,56
G5,G,Pan Flute,57
E-5,E-,Pan Flute,58
E-5,E-,Pan Flute,59
E-5,E-,Pan Flute,60
E-5,E-,Pan Flute,61
F5,F,Pan Flute,62
G5,G,Pan Flute,63
E-5,E-,Pan Flute,64
B-4,B-,Pan Flute,65
E-5,E-,Pan Flute,66
F5,F,Pan Flute,67
G5,G,Pan Flute,68
E-5,E-,Pan Flute,69
E-2,E-,Acoustic Bass,0
E-2,E-,Acoustic Bass,1
E-2,E-,Acoustic Bass,2
E-2,E-,Acoustic Bass,3
E-2,E-,Acoustic Bass,4
E-2,E-,Acoustic Bass,5
E-2,E-,Acoustic Bass,6
E-2,E-,Acoustic Bass,7
E-2,E-,Acoustic Bass,8
E-2,E-,Acoustic Bass,9
E-2,E-,Acoustic Bass,10
E-2,E-,Acoustic Bass,11
E-2,E-,Acoustic Bass,12
E-2,E-,Acoustic Bass,13
E-2,E-,Acoustic Bass,14
E-2,E-,Acoustic Bass,15
B-1,B-,Acoustic Bass,16
B-1,B-,Acoustic Bass,17
E-2,E-,Acoustic Bass,18
E-2,E-,Acoustic Bass,19
B-1,B-,Acoustic Bass,20
B-1,B-,Acoustic Bass,21
E-2,E-,Acoustic Bass,22
E-2,E-,Acoustic Bass,23
B-1,B-,Acoustic Bass,24
B-1,B-,Acoustic Bass,25
E-1,E-,Acoustic Bass,26
E-2,E-,Acoustic Bass,27
E-2,E-,Acoustic Bass,28
E-2,E-,Acoustic Bass,29
E-2,E-,Acoustic Bass,30
E-2,E-,Acoustic Bass,31
E-2,E-,Acoustic Bass,32
E-2,E-,Acoustic Bass,33
E-2,E-,Acoustic Bass,34
E-2,E-,Acoustic Bass,35
E-2,E-,Acoustic Bass,36
E-2,E-,Acoustic Bass,37
E-2,E-,Acoustic Bass,38
E-2,E-,Acoustic Bass,39
E-2,E-,Acoustic Bass,40
E-2,E-,Acoustic Bass,41
E-2,E-,Acoustic Bass,42
B-1,B-,Acoustic Bass,43
B-1,B-,Acoustic Bass,44
E-2,E-,Acoustic Bass,45
E-2,E-,Acoustic Bass,46
B-1,B-,Acoustic Bass,47
B-1,B-,Acoustic Bass,48
E-2,E-,Acoustic Bass,49
E-2,E-,Acoustic Bass,50
B-1,B-,Acoustic Bass,51
B-1,B-,Acoustic Bass,52
E-1,E-,Acoustic Bass,53
F4,F,Tuba,0
B-4,B-,Tuba,1
B-4,B-,Tuba,2
B-4,B-,Tuba,3
G#4,G#,Tuba,4
C5,C,Tuba,5
B-4,B-,Tuba,6
G#4,G#,Tuba,7
G4,G,Tuba,8
G4,G,Tuba,9
G4,G,Tuba,10
G4,G,Tuba,11
G4,G,Tuba,12
F4,F,Tuba,13
G#4,G#,Tuba,14
G4,G,Tuba,15
F4,F,Tuba,16
E-4,E-,Tuba,17
E-5,E-,Tuba,18
B-4,B-,Tuba,19
E-5,E-,Tuba,20
F5,F,Tuba,21
G5,G,Tuba,22
E-5,E-,Tuba,23
E-5,E-,Tuba,24
E-5,E-,Tuba,25
E-5,E-,Tuba,26
F5,F,Tuba,27
G5,G,Tuba,28
E-5,E-,Tuba,29
B-4,B-,Tuba,30
E-5,E-,Tuba,31
F5,F,Tuba,32
G5,G,Tuba,33
E-5,E-,Tuba,34
F4,F,Tuba,35
B-4,B-,Tuba,36
B-4,B-,Tuba,37
B-4,B-,Tuba,38
G#4,G#,Tuba,39
C5,C,Tuba,40
B-4,B-,Tuba,41
G#4,G#,Tuba,42
G4,G,Tuba,43
G4,G,Tuba,44
G4,G,Tuba,45
G4,G,Tuba,46
G4,G,Tuba,47
F4,F,Tuba,48
G#4,G#,Tuba,49
G4,G,Tuba,50
F4,F,Tuba,51
E-4,E-,Tuba,52
E-5,E-,Tuba,53
B-4,B-,Tuba,54
E-5,E-,Tuba,55
F5,F,Tuba,56
G5,G,Tuba,57
E-5,E-,Tuba,58
E-5,E-,Tuba,59
E-5,E-,Tuba,60
E-5,E-,Tuba,61
F5,F,Tuba,62
G5,G,Tuba,63
E-5,E-,Tuba,64
B-4,B-,Tuba,65
E-5,E-,Tuba,66
F5,F,Tuba,67
G5,G,Tuba,68
E-5,E-,Tuba,69
B-4,B-,Harpsichord,0
B-4,B-,Harpsichord,1
B-4,B-,Harpsichord,2
G#4,G#,Harpsichord,3
G4,G,Harpsichord,4
G4,G,Harpsichord,5
G4,G,Harpsichord,6
G4,G,Harpsichord,7
G4,G,Harpsichord,8
F4,F,Harpsichord,9
B-4,B-,Harpsichord,10
E-5,E-,Harpsichord,11
F5,F,Harpsichord,12
G5,G,Harpsichord,13
E-5,E-,Harpsichord,14
E-5,E-,Harpsichord,15
E-5,E-,Harpsichord,16
E-5,E-,Harpsichord,17
F5,F,Harpsichord,18
G5,G,Harpsichord,19
E-5,E-,Harpsichord,20
B-4,B-,Harpsichord,21
E-5,E-,Harpsichord,22
F5,F,Harpsichord,23
G5,G,Harpsichord,24
B-4,B-,Harpsichord,25
B-4,B-,Harpsichord,26
B-4,B-,Harpsichord,27
G#4,G#,Harpsichord,28
G4,G,Harpsichord,29
G4,G,Harpsichord,30
G4,G,Harpsichord,31
G4,G,Harpsichord,32
G4,G,Harpsichord,33
F4,F,Harpsichord,34
B-4,B-,Harpsichord,35
E-5,E-,Harpsichord,36
F5,F,Harpsichord,37
G5,G,Harpsichord,38
E-5,E-,Harpsichord,39
E-5,E-,Harpsichord,40
E-5,E-,Harpsichord,41
E-5,E-,Harpsichord,42
F5,F,Harpsichord,43
G5,G,Harpsichord,44
E-5,E-,Harpsichord,45
B-4,B-,Harpsichord,46
E-5,E-,Harpsichord,47
F5,F,Harpsichord,48
G5,G,Harpsichord,49
