NoteOctave,Note,Instrument,Position
B4,B,Bass clarinet,0
E5,E,Bass clarinet,1
F#5,F#,Bass clarinet,2
G5,G,Bass clarinet,3
A5,A,Bass clarinet,4
B5,B,Bass clarinet,5
E5,E,Bass clarinet,6
E5,E,Bass clarinet,7
C6,C,Bass clarinet,8
B5,B,Bass clarinet,9
A5,A,Bass clarinet,10
A5,A,Bass clarinet,11
D6,D,Bass clarinet,12
C6,C,Bass clarinet,13
B5,B,Bass clarinet,14
B5,B,Bass clarinet,15
E6,E,Bass clarinet,16
D6,D,Bass clarinet,17
C6,C,Bass clarinet,18
B5,B,Bass clarinet,19
A5,A,Bass clarinet,20
B5,B,Bass clarinet,21
G5,G,Bass clarinet,22
A5,A,Bass clarinet,23
B5,B,Bass clarinet,24
A5,A,Bass clarinet,25
G5,G,Bass clarinet,26
F#5,F#,Bass clarinet,27
E5,E,Bass clarinet,28
F#5,F#,Bass clarinet,29
G5,G,Bass clarinet,30
A5,A,Bass clarinet,31
B5,B,Bass clarinet,32
A5,A,Bass clarinet,33
G5,G,Bass clarinet,34
F#5,F#,Bass clarinet,35
G5,G,Bass clarinet,36
E5,E,Bass clarinet,37
E5,E,Bass clarinet,38
E5,E,Bass clarinet,39
E6,E,Bass clarinet,40
E6,E,Bass clarinet,41
E6,E,Bass clarinet,42
E6,E,Bass clarinet,43
D6,D,Bass clarinet,44
D6,D,Bass clarinet,45
E6,E,Bass clarinet,46
D6,D,Bass clarinet,47
C6,C,Bass clarinet,48
B5,B,Bass clarinet,49
A5,A,Bass clarinet,50
D6,D,Bass clarinet,51
C6,C,Bass clarinet,52
B5,B,Bass clarinet,53
B5,B,Bass clarinet,54
E6,E,Bass clarinet,55
D6,D,Bass clarinet,56
C6,C,Bass clarinet,57
B5,B,Bass clarinet,58
A5,A,Bass clarinet,59
B5,B,Bass clarinet,60
G5,G,Bass clarinet,61
A5,A,Bass clarinet,62
B5,B,Bass clarinet,63
A5,A,Bass clarinet,64
G5,G,Bass clarinet,65
F#5,F#,Bass clarinet,66
E5,E,Bass clarinet,67
F#5,F#,Bass clarinet,68
G5,G,Bass clarinet,69
A5,A,Bass clarinet,70
B5,B,Bass clarinet,71
A5,A,Bass clarinet,72
G5,G,Bass clarinet,73
F#5,F#,Bass clarinet,74
G5,G,Bass clarinet,75
E5,E,Bass clarinet,76
E5,E,Bass clarinet,77
E5,E,Bass clarinet,78
E6,E,Bass clarinet,79
E6,E,Bass clarinet,80
E6,E,Bass clarinet,81
E6,E,Bass clarinet,82
D6,D,Bass clarinet,83
D6,D,Bass clarinet,84
E6,E,Bass clarinet,85
D6,D,Bass clarinet,86
C6,C,Bass clarinet,87
B5,B,Bass clarinet,88
A5,A,Bass clarinet,89
D6,D,Bass clarinet,90
C6,C,Bass clarinet,91
B5,B,Bass clarinet,92
B5,B,Bass clarinet,93
E6,E,Bass clarinet,94
D6,D,Bass clarinet,95
C6,C,Bass clarinet,96
B5,B,Bass clarinet,97
A5,A,Bass clarinet,98
B5,B,Bass clarinet,99
G5,G,Bass clarinet,100
A5,A,Bass clarinet,101
B5,B,Bass clarinet,102
A5,A,Bass clarinet,103
G5,G,Bass clarinet,104
F#5,F#,Bass clarinet,105
E5,E,Bass clarinet,106
F#5,F#,Bass clarinet,107
G5,G,Bass clarinet,108
A5,A,Bass clarinet,109
B5,B,Bass clarinet,110
A5,A,Bass clarinet,111
G5,G,Bass clarinet,112
F#5,F#,Bass clarinet,113
G5,G,Bass clarinet,114
E5,E,Bass clarinet,115
E3,E,Acoustic Bass,0
E2,E,Acoustic Bass,1
E2,E,Acoustic Bass,2
E2,E,Acoustic Bass,3
E2,E,Acoustic Bass,4
E3,E,Acoustic Bass,5
E3,E,Acoustic Bass,6
E3,E,Acoustic Bass,7
E2,E,Acoustic Bass,8
E3,E,Acoustic Bass,9
E3,E,Acoustic Bass,10
E3,E,Acoustic Bass,11
A2,A,Acoustic Bass,12
A3,A,Acoustic Bass,13
D3,D,Acoustic Bass,14
D2,D,Acoustic Bass,15
D3,D,Acoustic Bass,16
D2,D,Acoustic Bass,17
G2,G,Acoustic Bass,18
G3,G,Acoustic Bass,19
C2,C,Acoustic Bass,20
D2,D,Acoustic Bass,21
E2,E,Acoustic Bass,22
E2,E,Acoustic Bass,23
E-2,E-,Acoustic Bass,24
E2,E,Acoustic Bass,25
E2,E,Acoustic Bass,26
C2,C,Acoustic Bass,27
B2,B,Acoustic Bass,28
B2,B,Acoustic Bass,29
B2,B,Acoustic Bass,30
B2,B,Acoustic Bass,31
E3,E,Acoustic Bass,32
E2,E,Acoustic Bass,33
E3,E,Acoustic Bass,34
C3,C,Acoustic Bass,35
B2,B,Acoustic Bass,36
B2,B,Acoustic Bass,37
B2,B,Acoustic Bass,38
B2,B,Acoustic Bass,39
E3,E,Acoustic Bass,40
E2,E,Acoustic Bass,41
E3,E,Acoustic Bass,42
D3,D,Acoustic Bass,43
C3,C,Acoustic Bass,44
C2,C,Acoustic Bass,45
C3,C,Acoustic Bass,46
C3,C,Acoustic Bass,47
C2,C,Acoustic Bass,48
D2,D,Acoustic Bass,49
E2,E,Acoustic Bass,50
F#2,F#,Acoustic Bass,51
G2,G,Acoustic Bass,52
A2,A,Acoustic Bass,53
B2,B,Acoustic Bass,54
G2,G,Acoustic Bass,55
C3,C,Acoustic Bass,56
B2,B,Acoustic Bass,57
C3,C,Acoustic Bass,58
B2,B,Acoustic Bass,59
A2,A,Acoustic Bass,60
G2,G,Acoustic Bass,61
F#2,F#,Acoustic Bass,62
E2,E,Acoustic Bass,63
D2,D,Acoustic Bass,64
D3,D,Acoustic Bass,65
D3,D,Acoustic Bass,66
D3,D,Acoustic Bass,67
G2,G,Acoustic Bass,68
G2,G,Acoustic Bass,69
C3,C,Acoustic Bass,70
B2,B,Acoustic Bass,71
C3,C,Acoustic Bass,72
D3,D,Acoustic Bass,73
E3,E,Acoustic Bass,74
E2,E,Acoustic Bass,75
E-2,E-,Acoustic Bass,76
E2,E,Acoustic Bass,77
E2,E,Acoustic Bass,78
C2,C,Acoustic Bass,79
B2,B,Acoustic Bass,80
B2,B,Acoustic Bass,81
B2,B,Acoustic Bass,82
B2,B,Acoustic Bass,83
B2,B,Acoustic Bass,84
B2,B,Acoustic Bass,85
E2,E,Acoustic Bass,86
E3,E,Acoustic Bass,87
E3,E,Acoustic Bass,88
E3,E,Acoustic Bass,89
E3,E,Acoustic Bass,90
C3,C,Acoustic Bass,91
B2,B,Acoustic Bass,92
B2,B,Acoustic Bass,93
