NoteOctave,Note,Instrument,Position
F4,F,Horn,0
F4,F,Horn,1
F4,F,Horn,2
C4,C,Horn,3
F4,F,Horn,4
G4,G,Horn,5
A4,A,Horn,6
B-4,B-,Horn,7
C5,C,Horn,8
C5,C,Horn,9
D5,D,Horn,10
C5,C,Horn,11
B-4,B-,Horn,12
A4,A,Horn,13
G4,G,Horn,14
F4,F,Horn,15
E4,E,Horn,16
F4,F,Horn,17
F4,F,Horn,18
F4,F,Horn,19
F4,F,Horn,20
C4,C,Horn,21
F4,F,Horn,22
G4,G,Horn,23
A4,A,Horn,24
B-4,B-,Horn,25
C5,C,Horn,26
C5,C,Horn,27
D5,D,Horn,28
C5,C,Horn,29
B-4,B-,Horn,30
A4,A,Horn,31
G4,G,Horn,32
F4,F,Horn,33
E4,E,Horn,34
F4,F,Horn,35
C5,C,Horn,36
C5,C,Horn,37
C5,C,Horn,38
D5,D,Horn,39
C5,C,Horn,40
B-4,B-,Horn,41
A4,A,Horn,42
F4,F,Horn,43
C5,C,Horn,44
C5,C,Horn,45
C5,C,Horn,46
F5,F,Horn,47
E5,E,Horn,48
D5,D,Horn,49
C5,C,Horn,50
C5,C,Horn,51
B-4,B-,Horn,52
B-4,B-,Horn,53
B-4,B-,Horn,54
D5,D,Horn,55
C5,C,Horn,56
B-4,B-,Horn,57
A4,A,Horn,58
F4,F,Horn,59
C5,C,Horn,60
D5,D,Horn,61
E5,E,Horn,62
F5,F,Horn,63
F4,F,Horn,64
F4,F,Horn,65
F4,F,Horn,66
C4,C,Horn,67
F4,F,Horn,68
G4,G,Horn,69
A4,A,Horn,70
B-4,B-,Horn,71
C5,C,Horn,72
C5,C,Horn,73
C5,C,Horn,74
C5,C,Horn,75
D5,D,Horn,76
C5,C,Horn,77
B-4,B-,Horn,78
C5,C,Horn,79
C5,C,Horn,80
C5,C,Horn,81
F5,F,Horn,82
C5,C,Horn,83
C5,C,Horn,84
F5,F,Horn,85
F5,F,Celesta,0
F5,F,Celesta,1
F5,F,Celesta,2
C5,C,Celesta,3
F5,F,Celesta,4
G5,G,Celesta,5
A5,A,Celesta,6
B-5,B-,Celesta,7
C6,C,Celesta,8
C6,C,Celesta,9
D6,D,Celesta,10
C6,C,Celesta,11
B-5,B-,Celesta,12
A5,A,Celesta,13
G5,G,Celesta,14
F5,F,Celesta,15
E5,E,Celesta,16
F5,F,Celesta,17
F5,F,Celesta,18
F5,F,Celesta,19
F5,F,Celesta,20
C5,C,Celesta,21
F5,F,Celesta,22
G5,G,Celesta,23
A5,A,Celesta,24
B-5,B-,Celesta,25
C6,C,Celesta,26
C6,C,Celesta,27
D6,D,Celesta,28
C6,C,Celesta,29
B-5,B-,Celesta,30
