NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
G4,G,Trumpet,1
G4,G,Trumpet,2
F#4,F#,Trumpet,3
E4,E,Trumpet,4
D4,D,Trumpet,5
G4,G,Trumpet,6
A4,A,Trumpet,7
A4,A,Trumpet,8
B4,B,Trumpet,9
C5,C,Trumpet,10
C5,C,Trumpet,11
C5,C,Trumpet,12
B4,B,Trumpet,13
A4,A,Trumpet,14
G4,G,Trumpet,15
G4,G,Trumpet,16
F#4,F#,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
G4,G,Trumpet,20
G4,G,Trumpet,21
G4,G,Trumpet,22
F#4,F#,Trumpet,23
E4,E,Trumpet,24
D4,D,Trumpet,25
D5,D,Trumpet,26
D5,D,Trumpet,27
E5,E,Trumpet,28
D5,D,Trumpet,29
G4,G,Trumpet,30
A4,A,Trumpet,31
B4,B,Trumpet,32
C5,C,Trumpet,33
B4,B,Trumpet,34
A4,A,Trumpet,35
G4,G,Trumpet,36
F#4,F#,Trumpet,37
E4,E,Trumpet,38
F#4,F#,Trumpet,39
G4,G,Trumpet,40
A4,A,Trumpet,41
A4,A,Trumpet,42
A4,A,Trumpet,43
A4,A,Trumpet,44
A4,A,Trumpet,45
A4,A,Trumpet,46
A4,A,Trumpet,47
B4,B,Trumpet,48
B4,B,Trumpet,49
B4,B,Trumpet,50
A4,A,Trumpet,51
A4,A,Trumpet,52
A4,A,Trumpet,53
A4,A,Trumpet,54
A4,A,Trumpet,55
A4,A,Trumpet,56
A4,A,Trumpet,57
G4,G,Trumpet,58
F#4,F#,Trumpet,59
E4,E,Trumpet,60
E4,E,Trumpet,61
D4,D,Trumpet,62
G4,G,Trumpet,63
G4,G,Trumpet,64
G4,G,Trumpet,65
F#4,F#,Trumpet,66
E4,E,Trumpet,67
D4,D,Trumpet,68
D5,D,Trumpet,69
D5,D,Trumpet,70
E5,E,Trumpet,71
D5,D,Trumpet,72
G4,G,Trumpet,73
A4,A,Trumpet,74
B4,B,Trumpet,75
C5,C,Trumpet,76
B4,B,Trumpet,77
A4,A,Trumpet,78
G4,G,Trumpet,79
F#4,F#,Trumpet,80
E4,E,Trumpet,81
F#4,F#,Trumpet,82
G4,G,Trumpet,83
C4,C,Horn,0
C4,C,Horn,1
D4,D,Horn,2
G3,G,Horn,3
F#4,F#,Horn,4
D4,D,Horn,5
D4,D,Horn,6
G4,G,Horn,7
G4,G,Horn,8
C4,C,Horn,9
D4,D,Horn,10
A4,A,Horn,11
D4,D,Horn,12
G4,G,Horn,13
C#4,C#,Horn,14
A3,A,Horn,15
C4,C,Horn,16
G4,G,Horn,17
F#4,F#,Horn,18
C4,C,Horn,19
C4,C,Horn,20
D4,D,Horn,21
G4,G,Horn,22
F#4,F#,Horn,23
C5,C,Horn,24
F4,F,Horn,25
C5,C,Horn,26
B4,B,Horn,27
E4,E,Horn,28
C4,C,Horn,29
E4,E,Horn,30
C4,C,Horn,31
C4,C,Horn,32
E4,E,Horn,33
A3,A,Horn,34
D4,D,Horn,35
B3,B,Horn,36
C4,C,Horn,37
B3,B,Horn,38
D4,D,Horn,39
C#4,C#,Horn,40
E4,E,Horn,41
D4,D,Horn,42
F#4,F#,Horn,43
D4,D,Horn,44
G4,G,Horn,45
D4,D,Horn,46
F#4,F#,Horn,47
D4,D,Horn,48
E4,E,Horn,49
C#4,C#,Horn,50
D4,D,Horn,51
D4,D,Horn,52
A3,A,Horn,53
C#4,C#,Horn,54
G3,G,Horn,55
F#3,F#,Horn,56
A3,A,Horn,57
D4,D,Horn,58
C4,C,Horn,59
A3,A,Horn,60
G3,G,Horn,61
F#3,F#,Horn,62
C4,C,Horn,63
D4,D,Horn,64
G4,G,Horn,65
F#4,F#,Horn,66
C5,C,Horn,67
F4,F,Horn,68
C5,C,Horn,69
B4,B,Horn,70
E4,E,Horn,71
C4,C,Horn,72
A3,A,Horn,73
E4,E,Horn,74
A3,A,Horn,75
D4,D,Horn,76
D4,D,Horn,77
C4,C,Horn,78
G2,G,Bass Trombone,0
G3,G,Bass Trombone,1
A3,A,Bass Trombone,2
G3,G,Bass Trombone,3
F#3,F#,Bass Trombone,4
B2,B,Bass Trombone,5
