NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
C4,C,Trumpet,1
F4,F,Trumpet,2
A4,A,Trumpet,3
F4,F,Trumpet,4
A4,A,Trumpet,5
D5,D,Trumpet,6
C5,C,Trumpet,7
C5,C,Trumpet,8
C5,C,Trumpet,9
C5,C,Trumpet,10
C5,C,Trumpet,11
C5,C,Trumpet,12
C4,C,Trumpet,13
F4,F,Trumpet,14
G4,G,Trumpet,15
A4,A,Trumpet,16
A4,A,Trumpet,17
A4,A,Trumpet,18
G4,G,Trumpet,19
F4,F,Trumpet,20
E4,E,Trumpet,21
F4,F,Trumpet,22
F4,F,Trumpet,23
F4,F,Trumpet,24
E4,E,Trumpet,25
D4,D,Trumpet,26
C4,C,Trumpet,27
D4,D,Trumpet,28
C4,C,Trumpet,29
C4,C,Trumpet,30
F4,F,Trumpet,31
G4,G,Trumpet,32
F4,F,Trumpet,33
E4,E,Trumpet,34
C4,C,Trumpet,35
E4,E,Trumpet,36
F4,F,Trumpet,37
G4,G,Trumpet,38
E4,E,Trumpet,39
F4,F,Trumpet,40
G4,G,Trumpet,41
A4,A,Trumpet,42
D5,D,Trumpet,43
C5,C,Trumpet,44
A4,A,Trumpet,45
A4,A,Trumpet,46
C5,C,Trumpet,47
C4,C,Trumpet,48
E4,E,Trumpet,49
G4,G,Trumpet,50
F4,F,Trumpet,51
F4,F,Trumpet,52
F4,F,Trumpet,53
B-4,B-,Trumpet,54
D5,D,Trumpet,55
D5,D,Trumpet,56
C5,C,Trumpet,57
B4,B,Trumpet,58
C5,C,Trumpet,59
C4,C,Trumpet,60
E4,E,Trumpet,61
F4,F,Trumpet,62
G4,G,Trumpet,63
E4,E,Trumpet,64
F4,F,Trumpet,65
G4,G,Trumpet,66
A4,A,Trumpet,67
F4,F,Trumpet,68
F4,F,Trumpet,69
B-4,B-,Trumpet,70
D5,D,Trumpet,71
D5,D,Trumpet,72
C5,C,Trumpet,73
B4,B,Trumpet,74
C5,C,Trumpet,75
A4,A,Trumpet,76
G4,G,Trumpet,77
F4,F,Trumpet,78
F4,F,Trumpet,79
A4,A,Trumpet,80
B-4,B-,Trumpet,81
C5,C,Trumpet,82
C5,C,Trumpet,83
D5,D,Trumpet,84
C5,C,Trumpet,85
B-4,B-,Trumpet,86
A4,A,Trumpet,87
G4,G,Trumpet,88
F4,F,Trumpet,89
C4,C,Horn,0
A3,A,Horn,1
C4,C,Horn,2
C4,C,Horn,3
C4,C,Horn,4
C4,C,Horn,5
C4,C,Horn,6
C4,C,Horn,7
C4,C,Horn,8
F4,F,Horn,9
G4,G,Horn,10
C4,C,Horn,11
A3,A,Horn,12
C#4,C#,Horn,13
A3,A,Horn,14
D4,D,Horn,15
A3,A,Horn,16
A3,A,Horn,17
A3,A,Horn,18
A3,A,Horn,19
B-3,B-,Horn,20
G3,G,Horn,21
A3,A,Horn,22
A3,A,Horn,23
C4,C,Horn,24
C4,C,Horn,25
D4,D,Horn,26
E4,E,Horn,27
C4,C,Horn,28
D4,D,Horn,29
E4,E,Horn,30
F4,F,Horn,31
A4,A,Horn,32
F4,F,Horn,33
C4,C,Horn,34
F4,F,Horn,35
G4,G,Horn,36
F4,F,Horn,37
C4,C,Horn,38
C4,C,Horn,39
C4,C,Horn,40
A3,A,Horn,41
F4,F,Horn,42
F4,F,Horn,43
F4,F,Horn,44
D4,D,Horn,45
B-4,B-,Horn,46
F4,F,Horn,47
A4,A,Horn,48
G#4,G#,Horn,49
A4,A,Horn,50
C4,C,Horn,51
E4,E,Horn,52
F4,F,Horn,53
E4,E,Horn,54
C4,C,Horn,55
