NoteOctave,Note,Instrument,Position
G4,G,Whistle,0
G4,G,Whistle,1
F4,F,Whistle,2
D4,D,Whistle,3
F4,F,Whistle,4
E-4,E-,Whistle,5
E-4,E-,Whistle,6
D4,D,Whistle,7
E-4,E-,Whistle,8
F4,F,Whistle,9
G4,G,Whistle,10
F4,F,Whistle,11
G4,G,Whistle,12
G#4,G#,Whistle,13
B-4,B-,Whistle,14
C5,C,Whistle,15
B-4,B-,Whistle,16
E-5,E-,Whistle,17
D5,D,Whistle,18
C5,C,Whistle,19
B-4,B-,Whistle,20
G#4,G#,Whistle,21
G4,G,Whistle,22
G4,G,Whistle,23
F4,F,Whistle,24
D4,D,Whistle,25
F4,F,Whistle,26
E-4,E-,Whistle,27
B-3,B-,Whistle,28
E-4,E-,Whistle,29
E-4,E-,Whistle,30
E-4,E-,Whistle,31
E-4,E-,Whistle,32
E-4,E-,Whistle,33
D4,D,Whistle,34
E-4,E-,Whistle,35
F4,F,Whistle,36
F4,F,Whistle,37
F4,F,Whistle,38
G4,G,Whistle,39
F4,F,Whistle,40
G4,G,Whistle,41
G#4,G#,Whistle,42
B-4,B-,Whistle,43
B-4,B-,Whistle,44
B-4,B-,Whistle,45
B-4,B-,Whistle,46
B-4,B-,Whistle,47
A4,A,Whistle,48
C5,C,Whistle,49
B-4,B-,Whistle,50
C5,C,Whistle,51
E-5,E-,Whistle,52
E-5,E-,Whistle,53
B-4,B-,Whistle,54
C5,C,Whistle,55
C5,C,Whistle,56
G#4,G#,Whistle,57
G#4,G#,Whistle,58
B-4,B-,Whistle,59
G4,G,Whistle,60
G4,G,Whistle,61
G#4,G#,Whistle,62
G#4,G#,Whistle,63
F4,F,Whistle,64
F4,F,Whistle,65
G#4,G#,Whistle,66
G#4,G#,Whistle,67
G4,G,Whistle,68
F4,F,Whistle,69
F4,F,Whistle,70
D4,D,Whistle,71
F4,F,Whistle,72
E-4,E-,Whistle,73
E-4,E-,Whistle,74
E-4,E-,Whistle,75
F4,F,Whistle,76
F4,F,Whistle,77
G4,G,Whistle,78
G4,G,Whistle,79
G#4,G#,Whistle,80
G#4,G#,Whistle,81
B-4,B-,Whistle,82
B-4,B-,Whistle,83
A4,A,Whistle,84
C5,C,Whistle,85
B-4,B-,Whistle,86
F4,F,Whistle,87
