NoteOctave,Note,Instrument,Position
C#3,C#,Glockenspiel,0
B1,B,Glockenspiel,1
B1,B,Glockenspiel,2
B1,B,Glockenspiel,3
B1,B,Glockenspiel,4
B1,B,Glockenspiel,5
B1,B,Glockenspiel,6
B1,B,Glockenspiel,7
B1,B,Glockenspiel,8
B1,B,Glockenspiel,9
B1,B,Glockenspiel,10
B1,B,Glockenspiel,11
C#3,C#,Glockenspiel,12
B1,B,Glockenspiel,13
B1,B,Glockenspiel,14
B1,B,Glockenspiel,15
B1,B,Glockenspiel,16
B1,B,Glockenspiel,17
B1,B,Glockenspiel,18
B1,B,Glockenspiel,19
B1,B,Glockenspiel,20
B1,B,Glockenspiel,21
B1,B,Glockenspiel,22
B1,B,Glockenspiel,23
C#3,C#,Glockenspiel,24
B1,B,Glockenspiel,25
B1,B,Glockenspiel,26
B1,B,Glockenspiel,27
B1,B,Glockenspiel,28
B1,B,Glockenspiel,29
B1,B,Glockenspiel,30
C#3,C#,Glockenspiel,31
B1,B,Glockenspiel,32
B1,B,Glockenspiel,33
B1,B,Glockenspiel,34
B1,B,Glockenspiel,35
B1,B,Glockenspiel,36
C#3,C#,Glockenspiel,37
B1,B,Glockenspiel,38
B1,B,Glockenspiel,39
B1,B,Glockenspiel,40
B1,B,Glockenspiel,41
B1,B,Glockenspiel,42
B1,B,Glockenspiel,43
C#3,C#,Glockenspiel,44
B1,B,Glockenspiel,45
B1,B,Glockenspiel,46
B1,B,Glockenspiel,47
C#3,C#,Glockenspiel,48
B1,B,Glockenspiel,49
B1,B,Glockenspiel,50
B1,B,Glockenspiel,51
C#3,C#,Glockenspiel,52
B1,B,Glockenspiel,53
B1,B,Glockenspiel,54
B1,B,Glockenspiel,55
B1,B,Glockenspiel,56
B1,B,Glockenspiel,57
B1,B,Glockenspiel,58
C#3,C#,Glockenspiel,59
B1,B,Glockenspiel,60
B1,B,Glockenspiel,61
B1,B,Glockenspiel,62
B1,B,Glockenspiel,63
B1,B,Glockenspiel,64
C#3,C#,Glockenspiel,65
B1,B,Glockenspiel,66
B1,B,Glockenspiel,67
B1,B,Glockenspiel,68
B1,B,Glockenspiel,69
B1,B,Glockenspiel,70
C#3,C#,Glockenspiel,71
B1,B,Glockenspiel,72
B1,B,Glockenspiel,73
B1,B,Glockenspiel,74
C#3,C#,Glockenspiel,75
B1,B,Glockenspiel,76
B1,B,Glockenspiel,77
B1,B,Glockenspiel,78
B1,B,Glockenspiel,79
C#3,C#,Glockenspiel,80
B1,B,Glockenspiel,81
B1,B,Glockenspiel,82
B1,B,Glockenspiel,83
B1,B,Glockenspiel,84
B1,B,Glockenspiel,85
B1,B,Glockenspiel,86
C#3,C#,Glockenspiel,87
B1,B,Glockenspiel,88
B1,B,Glockenspiel,89
B1,B,Glockenspiel,90
B1,B,Glockenspiel,91
B1,B,Glockenspiel,92
C#3,C#,Glockenspiel,93
B1,B,Glockenspiel,94
B1,B,Glockenspiel,95
B1,B,Glockenspiel,96
B1,B,Glockenspiel,97
B1,B,Glockenspiel,98
C#3,C#,Glockenspiel,99
B1,B,Glockenspiel,100
B1,B,Glockenspiel,101
B1,B,Glockenspiel,102
