NoteOctave,Note,Instrument,Position
E-4,E-,Trumpet,0
G#4,G#,Trumpet,1
B-4,B-,Trumpet,2
C5,C,Trumpet,3
C#5,C#,Trumpet,4
F4,F,Trumpet,5
F4,F,Trumpet,6
B-4,B-,Trumpet,7
B-4,B-,Trumpet,8
G#4,G#,Trumpet,9
B-4,B-,Trumpet,10
G4,G,Trumpet,11
G4,G,Trumpet,12
B-4,B-,Trumpet,13
G#4,G#,Trumpet,14
G#4,G#,Trumpet,15
E-4,E-,Trumpet,16
E-4,E-,Trumpet,17
E-4,E-,Trumpet,18
G#4,G#,Trumpet,19
E-4,E-,Trumpet,20
G#4,G#,Trumpet,21
G4,G,Trumpet,22
G4,G,Trumpet,23
E-4,E-,Trumpet,24
E-4,E-,Trumpet,25
E-4,E-,Trumpet,26
E-4,E-,Trumpet,27
E-4,E-,Trumpet,28
G4,G,Trumpet,29
C4,C,Trumpet,30
D4,D,Trumpet,31
C4,C,Trumpet,32
G#3,G#,Trumpet,33
C4,C,Trumpet,34
G#4,G#,Trumpet,35
E-4,E-,Trumpet,36
E-4,E-,Trumpet,37
G#4,G#,Trumpet,38
G4,G,Trumpet,39
D4,D,Trumpet,40
D4,D,Trumpet,41
C4,C,Trumpet,42
C4,C,Trumpet,43
G#3,G#,Trumpet,44
G#3,G#,Trumpet,45
G#4,G#,Trumpet,46
C5,C,Trumpet,47
G#4,G#,Trumpet,48
C5,C,Trumpet,49
C5,C,Trumpet,50
G#4,G#,Trumpet,51
C5,C,Trumpet,52
G4,G,Trumpet,53
G4,G,Trumpet,54
G4,G,Trumpet,55
E-4,E-,Trumpet,56
E-4,E-,Trumpet,57
G#4,G#,Trumpet,58
E-4,E-,Trumpet,59
G4,G,Trumpet,60
D4,D,Trumpet,61
C4,C,Trumpet,62
D4,D,Trumpet,63
C4,C,Trumpet,64
G#3,G#,Trumpet,65
C4,C,Trumpet,66
E-4,E-,Trumpet,67
G#4,G#,Trumpet,68
E-4,E-,Trumpet,69
E-4,E-,Trumpet,70
E-4,E-,Trumpet,71
E-4,E-,Trumpet,72
G#4,G#,Trumpet,73
G4,G,Trumpet,74
E-4,E-,Trumpet,75
E-4,E-,Trumpet,76
E-4,E-,Trumpet,77
G#4,G#,Trumpet,78
E-4,E-,Trumpet,79
E-4,E-,Trumpet,80
E-4,E-,Trumpet,81
G4,G,Trumpet,82
F4,F,Trumpet,83
E-4,E-,Trumpet,84
G#4,G#,Trumpet,85
C5,C,Trumpet,86
G#4,G#,Trumpet,87
G#4,G#,Trumpet,88
F4,F,Trumpet,89
B-4,B-,Trumpet,90
G#4,G#,Trumpet,91
B-4,B-,Trumpet,92
G#4,G#,Trumpet,93
G4,G,Trumpet,94
G#4,G#,Trumpet,95
G#4,G#,Trumpet,96
B-4,B-,Trumpet,97
G#4,G#,Trumpet,98
E-4,E-,Horn,0
F4,F,Horn,1
E-4,E-,Horn,2
E-4,E-,Horn,3
E-4,E-,Horn,4
E-4,E-,Horn,5
E-4,E-,Horn,6
E-4,E-,Horn,7
E-4,E-,Horn,8
E-4,E-,Horn,9
E-4,E-,Horn,10
E-4,E-,Horn,11
B-3,B-,Horn,12
B-3,B-,Horn,13
E-4,E-,Horn,14
E-4,E-,Horn,15
E-4,E-,Horn,16
C4,C,Horn,17
G3,G,Horn,18
G#3,G#,Horn,19
F3,F,Horn,20
F3,F,Horn,21
G#3,G#,Horn,22
C4,C,Horn,23
E-4,E-,Horn,24
D4,D,Horn,25
C4,C,Horn,26
C4,C,Horn,27
B-3,B-,Horn,28
B-3,B-,Horn,29
E-4,E-,Horn,30
G#4,G#,Horn,31
E-4,E-,Horn,32
G#4,G#,Horn,33
G#4,G#,Horn,34
E-4,E-,Horn,35
G4,G,Horn,36
C4,C,Horn,37
D4,D,Horn,38
D4,D,Horn,39
B-3,B-,Horn,40
B-3,B-,Horn,41
E-4,E-,Horn,42
C4,C,Horn,43
D4,D,Horn,44
D4,D,Horn,45
C4,C,Horn,46
G#3,G#,Horn,47
F3,F,Horn,48
G#3,G#,Horn,49
F3,F,Horn,50
G3,G,Horn,51
E-4,E-,Horn,52
E-4,E-,Horn,53
E-4,E-,Horn,54
E-4,E-,Horn,55
E-4,E-,Horn,56
E-4,E-,Horn,57
E-4,E-,Horn,58
B-3,B-,Horn,59
B-3,B-,Horn,60
G#3,G#,Horn,61
C4,C,Horn,62
C4,C,Horn,63
C4,C,Horn,64
E-4,E-,Horn,65
E-4,E-,Horn,66
C#4,C#,Horn,67
B-3,B-,Horn,68
G#3,G#,Horn,69
E-4,E-,Horn,70
E-4,E-,Horn,71
F4,F,Horn,72
F4,F,Horn,73
F4,F,Horn,74
F4,F,Horn,75
E-4,E-,Horn,76
C#4,C#,Horn,77
C4,C,Horn,78
E-4,E-,Horn,79
F4,F,Horn,80
E-4,E-,Horn,81
C4,C,Horn,82
E-3,E-,Bass Trombone,0
G#3,G#,Bass Trombone,1
B-3,B-,Bass Trombone,2
C#4,C#,Bass Trombone,3
B-3,B-,Bass Trombone,4
C4,C,Bass Trombone,5
B-3,B-,Bass Trombone,6
E-4,E-,Bass Trombone,7
E-4,E-,Bass Trombone,8
C4,C,Bass Trombone,9
C4,C,Bass Trombone,10
G#3,G#,Bass Trombone,11
G#3,G#,Bass Trombone,12
G#3,G#,Bass Trombone,13
C4,C,Bass Trombone,14
B-3,B-,Bass Trombone,15
E-3,E-,Bass Trombone,16
E-3,E-,Bass Trombone,17
E-3,E-,Bass Trombone,18
G#3,G#,Bass Trombone,19
E-3,E-,Bass Trombone,20
G3,G,Bass Trombone,21
F3,F,Bass Trombone,22
F3,F,Bass Trombone,23
G3,G,Bass Trombone,24
E-3,E-,Bass Trombone,25
G#3,G#,Bass Trombone,26
G3,G,Bass Trombone,27
G3,G,Bass Trombone,28
E-3,E-,Bass Trombone,29
G3,G,Bass Trombone,30
E-3,E-,Bass Trombone,31
E-3,E-,Bass Trombone,32
E-3,E-,Bass Trombone,33
E-3,E-,Bass Trombone,34
E-3,E-,Bass Trombone,35
G#3,G#,Bass Trombone,36
G#3,G#,Bass Trombone,37
E-3,E-,Bass Trombone,38
G3,G,Bass Trombone,39
E-3,E-,Bass Trombone,40
G3,G,Bass Trombone,41
G3,G,Bass Trombone,42
E-3,E-,Bass Trombone,43
E-3,E-,Bass Trombone,44
G#3,G#,Bass Trombone,45
G3,G,Bass Trombone,46
G3,G,Bass Trombone,47
F3,F,Bass Trombone,48
C3,C,Bass Trombone,49
E-3,E-,Bass Trombone,50
G3,G,Bass Trombone,51
E-3,E-,Bass Trombone,52
G#3,G#,Bass Trombone,53
E-3,E-,Bass Trombone,54
E-3,E-,Bass Trombone,55
E-3,E-,Bass Trombone,56
E-3,E-,Bass Trombone,57
C4,C,Bass Trombone,58
B-3,B-,Bass Trombone,59
G3,G,Bass Trombone,60
G3,G,Bass Trombone,61
G3,G,Bass Trombone,62
G#3,G#,Bass Trombone,63
E-3,E-,Bass Trombone,64
G#3,G#,Bass Trombone,65
C4,C,Bass Trombone,66
C#4,C#,Bass Trombone,67
B-3,B-,Bass Trombone,68
B-3,B-,Bass Trombone,69
G#3,G#,Bass Trombone,70
C4,C,Bass Trombone,71
G#3,G#,Bass Trombone,72
G#3,G#,Bass Trombone,73
G#3,G#,Bass Trombone,74
D4,D,Bass Trombone,75
B-3,B-,Bass Trombone,76
B-3,B-,Bass Trombone,77
B-3,B-,Bass Trombone,78
B-3,B-,Bass Trombone,79
C4,C,Bass Trombone,80
C4,C,Bass Trombone,81
C#4,C#,Bass Trombone,82
C4,C,Bass Trombone,83
B-3,B-,Bass Trombone,84
G#3,G#,Bass Trombone,85
E-2,E-,Tuba,0
G#2,G#,Tuba,1
C#2,C#,Tuba,2
E-2,E-,Tuba,3
E-2,E-,Tuba,4
E-2,E-,Tuba,5
E-2,E-,Tuba,6
G#2,G#,Tuba,7
E-2,E-,Tuba,8
E-2,E-,Tuba,9
E-2,E-,Tuba,10
E-2,E-,Tuba,11
E-2,E-,Tuba,12
E-2,E-,Tuba,13
C2,C,Tuba,14
E-2,E-,Tuba,15
C2,C,Tuba,16
C2,C,Tuba,17
C2,C,Tuba,18
E-2,E-,Tuba,19
D2,D,Tuba,20
D2,D,Tuba,21
C2,C,Tuba,22
C2,C,Tuba,23
G#1,G#,Tuba,24
G#1,G#,Tuba,25
G#1,G#,Tuba,26
G#1,G#,Tuba,27
G#1,G#,Tuba,28
E-2,E-,Tuba,29
E-2,E-,Tuba,30
C2,C,Tuba,31
C2,C,Tuba,32
C2,C,Tuba,33
G2,G,Tuba,34
G2,G,Tuba,35
E-2,E-,Tuba,36
E-2,E-,Tuba,37
C2,C,Tuba,38
B1,B,Tuba,39
D2,D,Tuba,40
C2,C,Tuba,41
G#1,G#,Tuba,42
G#1,G#,Tuba,43
C2,C,Tuba,44
E-2,E-,Tuba,45
G#2,G#,Tuba,46
E-2,E-,Tuba,47
E-2,E-,Tuba,48
E-2,E-,Tuba,49
E-2,E-,Tuba,50
E-2,E-,Tuba,51
E-2,E-,Tuba,52
E-2,E-,Tuba,53
B-1,B-,Tuba,54
C2,C,Tuba,55
E-2,E-,Tuba,56
C2,C,Tuba,57
G#1,G#,Tuba,58
B-1,B-,Tuba,59
B-1,B-,Tuba,60
G2,G,Tuba,61
F2,F,Tuba,62
E-2,E-,Tuba,63
C2,C,Tuba,64
B-1,B-,Tuba,65
G#1,G#,Tuba,66
F#2,F#,Tuba,67
F2,F,Tuba,68
E-2,E-,Tuba,69
F#2,F#,Tuba,70
F2,F,Tuba,71
E-2,E-,Tuba,72
C#2,C#,Tuba,73
E-2,E-,Tuba,74
G#1,G#,Tuba,75
E-4,E-,StringInstrument,0
E-5,E-,StringInstrument,1
B-4,B-,StringInstrument,2
B-5,B-,StringInstrument,3
F4,F,StringInstrument,4
F5,F,StringInstrument,5
E-4,E-,StringInstrument,6
E-5,E-,StringInstrument,7
G#3,G#,StringInstrument,8
G#4,G#,StringInstrument,9
G#4,G#,StringInstrument,10
G#5,G#,StringInstrument,11
D4,D,StringInstrument,12
D5,D,StringInstrument,13
G4,G,StringInstrument,14
G5,G,StringInstrument,15
E-2,E-,StringInstrument,0
G#2,G#,StringInstrument,1
C#2,C#,StringInstrument,2
E-2,E-,StringInstrument,3
E-2,E-,StringInstrument,4
E-2,E-,StringInstrument,5
E-2,E-,StringInstrument,6
G#2,G#,StringInstrument,7
E-2,E-,StringInstrument,8
E-2,E-,StringInstrument,9
E-2,E-,StringInstrument,10
E-2,E-,StringInstrument,11
E-2,E-,StringInstrument,12
E-2,E-,StringInstrument,13
C2,C,StringInstrument,14
E-2,E-,StringInstrument,15
C2,C,StringInstrument,16
C2,C,StringInstrument,17
C2,C,StringInstrument,18
E-2,E-,StringInstrument,19
D2,D,StringInstrument,20
D2,D,StringInstrument,21
C2,C,StringInstrument,22
C2,C,StringInstrument,23
G#1,G#,StringInstrument,24
G#1,G#,StringInstrument,25
G#1,G#,StringInstrument,26
G#1,G#,StringInstrument,27
G#1,G#,StringInstrument,28
E-2,E-,StringInstrument,29
E-2,E-,StringInstrument,30
C2,C,StringInstrument,31
C2,C,StringInstrument,32
C2,C,StringInstrument,33
G2,G,StringInstrument,34
G2,G,StringInstrument,35
E-2,E-,StringInstrument,36
E-2,E-,StringInstrument,37
C2,C,StringInstrument,38
B1,B,StringInstrument,39
D2,D,StringInstrument,40
C2,C,StringInstrument,41
G#1,G#,StringInstrument,42
G#1,G#,StringInstrument,43
C2,C,StringInstrument,44
E-2,E-,StringInstrument,45
G#2,G#,StringInstrument,46
E-2,E-,StringInstrument,47
E-2,E-,StringInstrument,48
E-2,E-,StringInstrument,49
E-2,E-,StringInstrument,50
E-2,E-,StringInstrument,51
E-2,E-,StringInstrument,52
B-1,B-,StringInstrument,53
C2,C,StringInstrument,54
E-2,E-,StringInstrument,55
C2,C,StringInstrument,56
G#1,G#,StringInstrument,57
B-1,B-,StringInstrument,58
B-1,B-,StringInstrument,59
G2,G,StringInstrument,60
F2,F,StringInstrument,61
E-2,E-,StringInstrument,62
C2,C,StringInstrument,63
B-1,B-,StringInstrument,64
G#1,G#,StringInstrument,65
F#1,F#,StringInstrument,66
F1,F,StringInstrument,67
E-1,E-,StringInstrument,68
F#1,F#,StringInstrument,69
F1,F,StringInstrument,70
E-1,E-,StringInstrument,71
C#2,C#,StringInstrument,72
E-2,E-,StringInstrument,73
G#1,G#,StringInstrument,74
