NoteOctave,Note,Instrument,Position
C4,C,Koto,0
C4,C,Koto,1
E4,E,Koto,2
E4,E,Koto,3
G4,G,Koto,4
G4,G,Koto,5
E4,E,Koto,6
D4,D,Koto,7
E4,E,Koto,8
C5,C,Koto,9
A4,A,Koto,10
G4,G,Koto,11
A4,A,Koto,12
E4,E,Koto,13
A4,A,Koto,14
G4,G,Koto,15
F#4,F#,Koto,16
G4,G,Koto,17
G4,G,Koto,18
F4,F,Koto,19
A4,A,Koto,20
G4,G,Koto,21
C5,C,Koto,22
B4,B,Koto,23
D5,D,Koto,24
C5,C,Koto,25
A4,A,Koto,26
A4,A,Koto,27
C5,C,Koto,28
A4,A,Koto,29
G4,G,Koto,30
E4,E,Koto,31
D4,D,Koto,32
C4,C,Koto,33
G4,G,Koto,34
G4,G,Koto,35
A4,A,Koto,36
G4,G,Koto,37
G4,G,Koto,38
C5,C,Koto,39
C5,C,Koto,40
A4,A,Koto,41
G4,G,Koto,42
G4,G,Koto,43
G4,G,Koto,44
E5,E,Koto,45
D5,D,Koto,46
E5,E,Koto,47
D5,D,Koto,48
G4,G,Koto,49
D5,D,Koto,50
D5,D,Koto,51
E5,E,Koto,52
C5,C,Koto,53
A4,A,Shakuhachi,0
G4,G,Shakuhachi,1
G4,G,Shakuhachi,2
F#4,F#,Shakuhachi,3
G4,G,Shakuhachi,4
A4,A,Shakuhachi,5
G4,G,Shakuhachi,6
