NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
E4,E,Trumpet,1
F4,F,Trumpet,2
G4,G,Trumpet,3
A4,A,Trumpet,4
A4,A,Trumpet,5
G4,G,Trumpet,6
G4,G,Trumpet,7
F4,F,Trumpet,8
A4,A,Trumpet,9
A4,A,Trumpet,10
G4,G,Trumpet,11
A4,A,Trumpet,12
B-4,B-,Trumpet,13
B-4,B-,Trumpet,14
A4,A,Trumpet,15
A4,A,Trumpet,16
G4,G,Trumpet,17
F4,F,Trumpet,18
F4,F,Trumpet,19
F4,F,Trumpet,20
G4,G,Trumpet,21
A4,A,Trumpet,22
A4,A,Trumpet,23
A4,A,Trumpet,24
G4,G,Trumpet,25
B-4,B-,Trumpet,26
A4,A,Trumpet,27
G4,G,Trumpet,28
F4,F,Trumpet,29
E4,E,Trumpet,30
F4,F,Trumpet,31
G4,G,Trumpet,32
F4,F,Trumpet,33
G4,G,Trumpet,34
G4,G,Trumpet,35
F4,F,Trumpet,36
F4,F,Trumpet,37
E4,E,Trumpet,38
F4,F,Trumpet,39
G4,G,Trumpet,40
F4,F,Trumpet,41
F4,F,Trumpet,42
E4,E,Trumpet,43
D4,D,Trumpet,44
C4,C,Trumpet,45
F4,F,Trumpet,46
C4,C,Trumpet,47
F4,F,Trumpet,48
C4,C,Trumpet,49
F4,F,Trumpet,50
E4,E,Trumpet,51
D4,D,Trumpet,52
C4,C,Trumpet,53
F4,F,Trumpet,54
C4,C,Trumpet,55
F4,F,Trumpet,56
C4,C,Trumpet,57
F4,F,Trumpet,58
G4,G,Trumpet,59
A4,A,Trumpet,60
D4,D,Trumpet,61
B-4,B-,Trumpet,62
A4,A,Trumpet,63
G4,G,Trumpet,64
F4,F,Trumpet,65
F4,F,Trumpet,66
E4,E,Trumpet,67
F4,F,Trumpet,68
G4,G,Trumpet,69
F4,F,Trumpet,70
C4,C,Horn,0
A3,A,Horn,1
F4,F,Horn,2
C4,C,Horn,3
C4,C,Horn,4
A3,A,Horn,5
C4,C,Horn,6
G4,G,Horn,7
F4,F,Horn,8
C4,C,Horn,9
C4,C,Horn,10
E4,E,Horn,11
B-3,B-,Horn,12
C4,C,Horn,13
B-3,B-,Horn,14
C4,C,Horn,15
C4,C,Horn,16
A3,A,Horn,17
D4,D,Horn,18
B-3,B-,Horn,19
F4,F,Horn,20
E4,E,Horn,21
D4,D,Horn,22
C4,C,Horn,23
A3,A,Horn,24
