NoteOctave,Note,Instrument,Position
G3,G,Horn,0
C4,C,Horn,1
E4,E,Horn,2
G4,G,Horn,3
G4,G,Horn,4
G4,G,Horn,5
A4,A,Horn,6
G4,G,Horn,7
F4,F,Horn,8
A4,A,Horn,9
G4,G,Horn,10
E4,E,Horn,11
E4,E,Horn,12
F4,F,Horn,13
E4,E,Horn,14
D4,D,Horn,15
D4,D,Horn,16
D4,D,Horn,17
D4,D,Horn,18
E4,E,Horn,19
D4,D,Horn,20
C4,C,Horn,21
C4,C,Horn,22
C4,C,Horn,23
E4,E,Horn,24
G4,G,Horn,25
G4,G,Horn,26
A4,A,Horn,27
G4,G,Horn,28
F4,F,Horn,29
A4,A,Horn,30
G4,G,Horn,31
G4,G,Horn,32
A4,A,Horn,33
B4,B,Horn,34
G4,G,Horn,35
D5,D,Horn,36
D4,D,Horn,37
A4,A,Horn,38
B4,B,Horn,39
A4,A,Horn,40
G4,G,Horn,41
G4,G,Horn,42
A4,A,Horn,43
G4,G,Horn,44
F4,F,Horn,45
D4,D,Horn,46
F4,F,Horn,47
A4,A,Horn,48
G4,G,Horn,49
E4,E,Horn,50
C4,C,Horn,51
C4,C,Horn,52
E4,E,Horn,53
D4,D,Horn,54
D4,D,Horn,55
D4,D,Horn,56
A4,A,Horn,57
B4,B,Horn,58
A4,A,Horn,59
G4,G,Horn,60
C4,C,Horn,61
C4,C,Horn,62
E4,E,Horn,63
G4,G,Horn,64
G4,G,Horn,65
A4,A,Horn,66
B4,B,Horn,67
C5,C,Horn,68
D5,D,Horn,69
E5,E,Horn,70
D5,D,Horn,71
C5,C,Horn,72
A4,A,Horn,73
G4,G,Horn,74
A4,A,Horn,75
B4,B,Horn,76
C5,C,Horn,77
E5,E,Horn,78
C5,C,Horn,79
D5,D,Horn,80
C5,C,Horn,81
C5,C,Horn,82
C2,C,Acoustic Bass,0
C3,C,Acoustic Bass,1
C2,C,Acoustic Bass,2
C3,C,Acoustic Bass,3
C2,C,Acoustic Bass,4
C3,C,Acoustic Bass,5
C3,C,Acoustic Bass,6
C3,C,Acoustic Bass,7
C3,C,Acoustic Bass,8
G2,G,Acoustic Bass,9
G3,G,Acoustic Bass,10
G3,G,Acoustic Bass,11
G3,G,Acoustic Bass,12
G3,G,Acoustic Bass,13
C2,C,Acoustic Bass,14
C3,C,Acoustic Bass,15
C3,C,Acoustic Bass,16
C3,C,Acoustic Bass,17
C3,C,Acoustic Bass,18
C2,C,Acoustic Bass,19
C3,C,Acoustic Bass,20
C2,C,Acoustic Bass,21
C3,C,Acoustic Bass,22
C2,C,Acoustic Bass,23
C3,C,Acoustic Bass,24
C3,C,Acoustic Bass,25
C3,C,Acoustic Bass,26
C3,C,Acoustic Bass,27
D2,D,Acoustic Bass,28
D3,D,Acoustic Bass,29
D3,D,Acoustic Bass,30
D3,D,Acoustic Bass,31
D3,D,Acoustic Bass,32
D2,D,Acoustic Bass,33
D2,D,Acoustic Bass,34
E2,E,Acoustic Bass,35
F#2,F#,Acoustic Bass,36
G2,G,Acoustic Bass,37
G2,G,Acoustic Bass,38
G3,G,Acoustic Bass,39
G2,G,Acoustic Bass,40
G3,G,Acoustic Bass,41
C2,C,Acoustic Bass,42
C3,C,Acoustic Bass,43
C2,C,Acoustic Bass,44
C3,C,Acoustic Bass,45
B2,B,Acoustic Bass,46
A2,A,Acoustic Bass,47
F#2,F#,Acoustic Bass,48
D2,D,Acoustic Bass,49
G2,G,Acoustic Bass,50
G3,G,Acoustic Bass,51
G3,G,Acoustic Bass,52
G3,G,Acoustic Bass,53
C2,C,Acoustic Bass,54
C3,C,Acoustic Bass,55
F2,F,Acoustic Bass,56
F3,F,Acoustic Bass,57
G4,G,Acoustic Bass,58
E3,E,Acoustic Bass,59
E3,E,Acoustic Bass,60
E3,E,Acoustic Bass,61
F#2,F#,Acoustic Bass,62
G2,G,Acoustic Bass,63
G3,G,Acoustic Bass,64
G2,G,Acoustic Bass,65
G3,G,Acoustic Bass,66
C2,C,Acoustic Bass,67
C3,C,Acoustic Bass,68
C3,C,Acoustic Bass,69
C2,C,Acoustic Bass,70
G2,G,Reed Organ,0
G3,G,Reed Organ,1
G3,G,Reed Organ,2
G3,G,Reed Organ,3
G3,G,Reed Organ,4
G2,G,Reed Organ,5
G2,G,Reed Organ,6
